date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-08-06,0.03,-0.73,-0.76,pos_then_down,positive,down
2003-11-05,0.65,1.11,0.45,pos_then_up,positive,up
2004-02-12,-0.13,-1.13,-1.01,neg_then_down,negative,down
2004-05-10,0.19,0.47,0.28,pos_then_up,positive,up
2004-08-06,0.44,0.87,0.43,pos_then_up,positive,up
2004-11-05,0.22,-0.61,-0.83,pos_then_down,positive,down
2005-02-18,-0.65,-2.02,-1.37,neg_then_down,negative,down
2005-05-09,-1.05,-2.11,-1.08,neg_then_down,negative,down
2005-08-05,0.02,1.0,0.99,pos_then_up,positive,up
2005-11-03,0.24,-0.8,-1.04,pos_then_down,positive,down
2006-02-17,0.18,-0.17,-0.35,pos_then_down,positive,down
2006-05-08,-0.68,0.06,0.74,neg_then_up,negative,up
2006-08-02,0.1,4.54,4.44,pos_then_up,positive,up
2006-11-08,-0.15,-0.55,-0.4,neg_then_down,negative,down
2007-02-13,-0.57,1.19,1.78,neg_then_up,negative,up
2007-05-04,-0.78,-0.96,-0.18,neg_then_down,negative,down
2007-08-08,-2.39,-0.61,1.83,neg_then_up,negative,up
2007-11-07,1.28,1.37,0.08,pos_then_up,positive,up
2008-02-13,-0.71,-1.78,-1.08,neg_then_down,negative,down
2008-05-09,-0.02,2.19,2.22,neg_then_up,negative,up
2008-08-11,-0.23,-0.48,-0.26,neg_then_down,negative,down
2008-11-05,0.29,-3.92,-4.2,pos_then_down,positive,down
2009-02-10,-0.4,-0.87,-0.47,neg_then_down,negative,down
2009-05-07,1.25,-0.56,-1.79,pos_then_down,positive,down
2009-07-14,0.57,1.04,0.47,pos_then_up,positive,up
2009-11-03,0.06,-3.02,-3.08,pos_then_down,positive,down
2010-02-23,-0.11,-0.87,-0.76,neg_then_down,negative,down
2010-07-13,7.21,6.67,-0.5,pos_then_down,positive,down
2010-11-02,0.06,1.74,1.68,pos_then_up,positive,up
2011-02-22,-1.08,-1.28,-0.21,neg_then_down,negative,down
2011-05-05,0.75,0.87,0.11,pos_then_up,positive,up
2011-08-03,-1.19,-5.39,-4.25,neg_then_down,negative,down
2012-02-21,-0.07,-1.02,-0.95,neg_then_down,negative,down
2012-05-02,-0.32,-1.79,-1.48,neg_then_down,negative,down
2012-08-07,-0.76,2.1,2.88,neg_then_up,negative,up
2012-11-06,-1.24,-1.93,-0.69,neg_then_down,negative,down
2013-02-26,0.35,3.13,2.77,pos_then_up,positive,up
2013-05-01,4.76,4.84,0.08,pos_then_up,positive,up
2013-08-06,-1.48,0.0,1.5,neg_then_up,negative,up
2013-11-05,-1.31,-1.84,-0.54,neg_then_down,negative,down
2014-02-25,-0.61,-0.1,0.52,neg_then_up,negative,up
2014-05-07,0.48,4.53,4.02,pos_then_up,positive,up
2014-08-05,-1.84,-2.92,-1.11,neg_then_down,negative,down
2014-11-05,0.32,1.27,0.94,pos_then_up,positive,up
2015-02-24,-0.77,0.58,1.37,neg_then_up,negative,up
2015-08-05,0.56,-1.22,-1.76,pos_then_down,positive,down
2015-11-03,-0.44,-1.35,-0.91,neg_then_down,negative,down
2016-02-23,-1.08,0.62,1.72,neg_then_up,negative,up
2016-05-03,-0.21,0.4,0.61,neg_then_up,negative,up
2016-08-02,-1.01,-0.53,0.49,neg_then_up,negative,up
2016-11-08,-1.81,-1.45,0.36,neg_then_up,negative,up
2017-02-21,-0.43,0.82,1.25,neg_then_up,negative,up
2017-05-02,-1.07,0.07,1.16,neg_then_up,negative,up
2017-08-08,-1.45,-0.54,0.93,neg_then_up,negative,up
2017-11-07,-2.34,-2.5,-0.17,neg_then_down,negative,down
2018-02-20,0.27,3.33,3.04,pos_then_up,positive,up
2018-05-08,-3.68,1.38,5.25,neg_then_up,negative,up
2018-08-07,-0.36,0.63,0.99,neg_then_up,negative,up
2018-11-06,0.49,2.69,2.19,pos_then_up,positive,up
2019-02-19,-0.07,0.71,0.77,neg_then_up,negative,up
2019-05-07,0.26,-1.04,-1.3,pos_then_down,positive,down
2019-08-06,-1.5,0.18,1.71,neg_then_up,negative,up
2019-11-05,-0.37,-0.71,-0.34,neg_then_down,negative,down
2020-01-17,-0.46,-3.64,-3.2,neg_then_down,negative,down
2020-05-05,-1.36,-0.22,1.15,neg_then_up,negative,up
2020-08-04,-5.93,-3.17,2.94,neg_then_up,negative,up
2020-11-03,1.29,0.05,-1.23,pos_then_down,positive,down
2021-02-16,0.3,1.04,0.74,pos_then_up,positive,up
2021-05-04,0.03,-0.3,-0.32,pos_then_down,positive,down
2021-08-03,0.3,-0.85,-1.15,pos_then_down,positive,down
2021-11-02,0.86,4.75,3.85,pos_then_up,positive,up
2022-02-22,0.45,-1.85,-2.29,pos_then_down,positive,down
2022-05-03,0.96,7.95,6.92,pos_then_up,positive,up
2022-08-02,0.49,0.52,0.03,pos_then_up,positive,up
2022-11-08,-0.48,0.36,0.85,neg_then_up,negative,up
2023-02-21,0.37,0.0,-0.37,pos_then_down,positive,down
2023-05-02,1.01,4.03,2.99,pos_then_up,positive,up
2023-08-08,0.04,-1.63,-1.68,pos_then_down,positive,down
2023-11-07,-0.35,2.55,2.91,neg_then_up,negative,up
2024-02-20,0.29,2.02,1.73,pos_then_up,positive,up
