date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-08-02,0.91,-0.83,-1.73,pos_then_down,positive,down
2005-11-03,13.38,9.75,-3.19,pos_then_down,positive,down
2006-02-15,-18.76,-18.27,0.61,neg_then_up,negative,up
2006-05-11,-23.19,-26.2,-3.91,neg_then_down,negative,down
2006-08-10,-0.34,-0.41,-0.07,neg_then_down,negative,down
2006-11-09,-0.77,-0.59,0.18,neg_then_up,negative,up
2007-02-15,-0.72,-2.11,-1.4,neg_then_down,negative,down
2007-05-08,-0.87,1.94,2.83,neg_then_up,negative,up
2007-08-02,2.3,0.87,-1.39,pos_then_down,positive,down
2008-02-07,0.04,5.86,5.82,pos_then_up,positive,up
2008-05-01,1.07,0.16,-0.91,pos_then_down,positive,down
2008-07-31,0.41,-1.84,-2.24,pos_then_down,positive,down
2008-10-30,-4.24,-6.31,-2.16,neg_then_down,negative,down
2009-02-19,-0.76,-2.03,-1.28,neg_then_down,negative,down
2009-04-30,1.98,8.67,6.56,pos_then_up,positive,up
2009-07-30,-0.1,1.12,1.22,neg_then_up,negative,up
2009-10-29,-0.25,-6.71,-6.48,neg_then_down,negative,down
2010-02-11,0.19,0.38,0.19,pos_then_up,positive,up
2010-04-29,1.96,-3.67,-5.52,pos_then_down,positive,down
2010-07-29,2.04,7.64,5.49,pos_then_up,positive,up
2010-10-28,-0.31,-0.65,-0.34,neg_then_down,negative,down
2011-02-10,-14.64,-17.05,-2.83,neg_then_down,negative,down
2011-04-28,-0.04,1.38,1.42,neg_then_up,negative,up
2011-07-28,5.24,9.31,3.87,pos_then_up,positive,up
2011-10-27,-3.54,-6.22,-2.78,neg_then_down,negative,down
2012-01-26,-0.06,2.22,2.28,neg_then_up,negative,up
2012-04-26,20.1,23.54,2.86,pos_then_up,positive,up
2012-07-26,17.44,20.11,2.27,pos_then_up,positive,up
2012-10-25,15.02,15.24,0.19,pos_then_up,positive,up
2013-02-05,-1.61,-2.67,-1.07,neg_then_down,negative,down
2013-04-25,-5.33,-9.87,-4.8,neg_then_down,negative,down
2013-07-25,-23.08,-27.38,-5.6,neg_then_down,negative,down
2013-10-30,17.31,18.03,0.61,pos_then_up,positive,up
2014-02-06,13.6,14.29,0.61,pos_then_up,positive,up
2014-05-01,-2.68,-3.68,-1.03,neg_then_down,negative,down
2014-07-31,3.48,6.35,2.77,pos_then_up,positive,up
2014-10-30,4.42,5.25,0.79,pos_then_up,positive,up
2015-02-05,-9.97,-11.51,-1.72,neg_then_down,negative,down
2015-04-30,6.23,7.92,1.59,pos_then_up,positive,up
2015-07-30,8.13,12.85,4.37,pos_then_up,positive,up
2015-10-29,7.17,7.27,0.1,pos_then_up,positive,up
2016-02-10,6.09,9.56,3.27,pos_then_up,positive,up
2016-04-28,9.21,8.21,-0.92,pos_then_down,positive,down
2016-07-28,-4.64,-2.2,2.56,neg_then_up,negative,up
2016-10-27,1.92,4.13,2.17,pos_then_up,positive,up
2017-02-09,1.43,-0.49,-1.89,pos_then_down,positive,down
2017-04-27,-1.72,-1.82,-0.1,neg_then_down,negative,down
2017-07-27,0.12,3.4,3.28,pos_then_up,positive,up
2017-10-26,-16.46,-15.99,0.56,neg_then_up,negative,up
2018-02-08,-14.65,-15.47,-0.95,neg_then_down,negative,down
2018-04-26,9.53,8.2,-1.21,pos_then_down,positive,down
2018-07-26,9.75,9.53,-0.2,pos_then_down,positive,down
2018-10-25,4.33,2.49,-1.76,pos_then_down,positive,down
2019-02-07,5.58,2.29,-3.11,pos_then_down,positive,down
2019-05-02,-2.99,-0.88,2.18,neg_then_up,negative,up
2019-07-25,2.0,0.88,-1.11,pos_then_down,positive,down
2019-11-06,-14.93,-27.39,-14.64,neg_then_down,negative,down
2020-02-13,12.17,11.04,-1.01,pos_then_down,positive,down
2020-05-20,3.78,-3.23,-6.76,pos_then_down,positive,down
2020-07-30,-4.83,-4.62,0.22,neg_then_up,negative,up
2020-11-04,3.56,4.67,1.07,pos_then_up,positive,up
2021-02-11,-1.03,-2.27,-1.25,neg_then_down,negative,down
2021-05-06,6.44,5.24,-1.13,pos_then_down,positive,down
2021-08-05,-7.5,-7.92,-0.45,neg_then_down,negative,down
2021-11-04,13.8,15.63,1.61,pos_then_up,positive,up
2022-05-02,-3.67,-14.02,-10.74,neg_then_down,negative,down
2022-08-04,4.71,0.31,-4.2,pos_then_down,positive,down
2022-11-03,6.7,5.71,-0.93,pos_then_down,positive,down
2023-02-09,-5.35,-8.55,-3.38,neg_then_down,negative,down
2023-05-04,5.81,4.9,-0.86,pos_then_down,positive,down
2023-08-03,2.45,4.58,2.08,pos_then_up,positive,up
2023-11-02,13.88,18.84,4.36,pos_then_up,positive,up
2024-02-08,-18.1,-17.78,0.38,neg_then_up,negative,up
2024-05-02,-10.13,-15.25,-5.71,neg_then_down,negative,down
2024-08-08,10.2,10.21,0.01,pos_then_up,positive,up
2024-11-07,3.98,3.81,-0.17,pos_then_down,positive,down
2025-02-06,12.84,17.27,3.93,pos_then_up,positive,up
2025-05-08,-9.7,-7.3,2.67,neg_then_up,negative,up
2025-08-07,12.79,4.08,-7.72,pos_then_down,positive,down
2025-11-06,12.43,17.55,4.55,pos_then_up,positive,up
