date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-09-22,-1.19,-0.29,-1.47,neg_then_down,negative,down
2004-12-16,0.09,2.26,2.35,pos_then_up,positive,up
2005-03-17,0.09,-0.83,-0.73,pos_then_down,positive,down
2005-06-23,0.9,-1.72,-0.83,pos_then_down,positive,down
2005-09-21,-0.66,0.88,0.22,neg_then_up,negative,up
2005-12-21,-0.63,1.18,0.55,neg_then_up,negative,up
2006-03-22,-0.39,-0.87,-1.26,neg_then_down,negative,down
2006-06-21,-0.32,-0.02,-0.33,neg_then_down,negative,down
2006-09-21,0.57,-0.53,0.03,pos_then_down,positive,down
2006-12-20,0.13,-3.09,-2.96,pos_then_down,positive,down
2007-03-21,0.03,-0.35,-0.32,pos_then_down,positive,down
2007-06-20,0.19,0.83,1.02,pos_then_up,positive,up
2007-09-20,0.27,-0.6,-0.34,pos_then_down,positive,down
2007-12-20,-1.09,1.81,0.7,neg_then_up,negative,up
2008-03-20,0.21,4.09,4.31,pos_then_up,positive,up
2008-06-02,0.36,-1.14,-0.78,pos_then_down,positive,down
2008-09-10,-1.59,4.64,2.97,neg_then_up,negative,up
2008-12-09,-0.11,-3.86,-3.97,neg_then_down,negative,down
2009-03-19,-0.24,-6.87,-7.1,neg_then_down,negative,down
2009-06-03,0.16,1.08,1.24,pos_then_up,positive,up
2009-09-11,-0.41,2.44,2.02,neg_then_up,negative,up
2009-12-07,2.23,0.46,2.7,pos_then_up,positive,up
2010-06-16,0.55,-0.5,0.05,pos_then_down,positive,down
2010-09-16,0.16,-0.69,-0.53,pos_then_down,positive,down
2010-12-16,0.01,-1.23,-1.22,pos_then_down,positive,down
2011-03-17,2.51,-0.91,1.58,pos_then_down,positive,down
2011-06-22,-0.35,2.02,1.66,neg_then_up,negative,up
2011-09-22,0.42,0.66,1.08,pos_then_up,positive,up
2011-12-15,0.75,0.94,1.7,pos_then_up,positive,up
2012-03-22,-0.19,0.06,-0.13,neg_then_up,negative,up
2012-06-04,-0.12,-0.89,-1.01,neg_then_down,negative,down
2012-09-04,-2.22,0.23,-1.99,neg_then_up,negative,up
2012-12-19,-0.21,0.29,0.08,neg_then_up,negative,up
2013-03-20,-0.35,-2.31,-2.65,neg_then_down,negative,down
2013-06-03,-0.06,0.76,0.7,neg_then_up,negative,up
2013-09-18,-1.39,1.92,0.5,neg_then_up,negative,up
2013-12-18,-0.08,0.06,-0.02,neg_then_up,negative,up
2014-03-19,-0.98,-0.39,-1.36,neg_then_down,negative,down
2014-06-18,-0.66,-0.24,-0.91,neg_then_down,negative,down
2014-09-17,0.06,-0.54,-0.49,pos_then_down,positive,down
2014-12-17,1.89,2.01,3.93,pos_then_up,positive,up
2015-03-18,0.17,0.15,0.32,pos_then_up,positive,up
2015-06-01,-0.47,0.68,0.2,neg_then_up,negative,up
2015-09-16,-0.23,0.13,-0.09,neg_then_up,negative,up
2015-12-16,5.39,-3.19,2.02,pos_then_down,positive,down
2016-03-16,7.6,3.94,11.83,pos_then_up,positive,up
2016-06-21,-1.15,-3.43,-4.54,neg_then_down,negative,down
2016-09-20,4.89,1.9,6.89,pos_then_up,positive,up
2016-12-20,-2.13,-1.22,-3.33,neg_then_down,negative,down
2017-03-21,2.0,0.13,2.13,pos_then_up,positive,up
2017-06-20,-0.45,2.07,1.6,neg_then_up,negative,up
2017-09-19,0.17,1.91,2.08,pos_then_up,positive,up
2017-12-19,4.15,-0.61,3.52,pos_then_down,positive,down
2018-03-20,0.1,-1.28,-1.18,pos_then_down,positive,down
2018-06-19,-0.42,-2.29,-2.69,neg_then_down,negative,down
2018-09-06,-0.22,0.4,0.18,neg_then_up,negative,up
2018-12-18,-8.53,-3.97,-12.16,neg_then_down,negative,down
2019-03-19,-4.77,1.34,-3.49,neg_then_up,negative,up
2019-06-25,0.3,2.22,2.53,pos_then_up,positive,up
2019-09-17,-11.54,-1.56,-12.92,neg_then_down,negative,down
2019-12-17,-7.24,-3.01,-10.03,neg_then_down,negative,down
2020-03-17,-4.81,10.28,4.97,neg_then_up,negative,up
2020-06-30,13.29,-1.38,11.72,pos_then_down,positive,down
2020-09-15,6.91,-1.08,5.76,pos_then_down,positive,down
2020-12-17,-3.0,-2.8,-5.71,neg_then_down,negative,down
2021-03-18,5.9,0.19,6.1,pos_then_up,positive,up
2021-06-24,-3.37,-0.27,-3.63,neg_then_down,negative,down
2021-09-21,-7.1,-2.18,-9.12,neg_then_down,negative,down
2021-12-16,6.38,-1.35,4.95,pos_then_down,positive,down
2022-03-17,-3.5,-0.5,-3.98,neg_then_down,negative,down
2022-06-23,4.42,2.62,7.16,pos_then_up,positive,up
2022-09-15,-22.24,1.07,-21.4,neg_then_up,negative,up
2022-12-20,6.2,-2.61,3.43,pos_then_down,positive,down
2023-03-16,10.78,-2.54,7.97,pos_then_down,positive,down
2023-06-20,-3.39,0.91,-2.51,neg_then_up,negative,up
2023-09-20,4.58,-0.06,4.52,pos_then_down,positive,down
2023-12-19,-11.96,-0.1,-12.05,neg_then_down,negative,down
2024-03-21,7.99,-0.59,7.35,pos_then_down,positive,down
2024-06-25,12.5,2.69,15.53,pos_then_up,positive,up
2024-09-03,0.15,-0.36,-0.22,pos_then_down,positive,down
2024-12-19,6.57,-6.21,-0.05,pos_then_down,positive,down
2025-03-20,-10.72,4.79,-6.45,neg_then_up,negative,up
2025-06-24,-4.76,1.56,-3.27,neg_then_up,negative,up
2025-09-18,0.79,1.51,2.32,pos_then_up,positive,up
