date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-21,-0.14,-4.08,-4.21,neg_then_down,negative,down
2005-01-26,-0.28,-2.42,-2.7,neg_then_down,negative,down
2005-04-11,-0.93,0.52,-0.42,neg_then_up,negative,up
2005-07-21,0.22,-1.78,-1.56,pos_then_down,positive,down
2005-10-12,-0.53,0.16,-0.37,neg_then_up,negative,up
2006-01-27,0.05,-0.98,-0.94,pos_then_down,positive,down
2006-10-30,0.14,-0.79,-0.65,pos_then_down,positive,down
2007-02-09,0.22,-0.79,-0.57,pos_then_down,positive,down
2007-04-27,0.04,-1.21,-1.17,pos_then_down,positive,down
2007-07-25,-0.91,-3.44,-4.32,neg_then_down,negative,down
2007-10-26,0.2,-0.28,-0.09,pos_then_down,positive,down
2008-02-19,-0.49,2.37,1.87,neg_then_up,negative,up
2008-04-24,-3.9,-1.49,-5.33,neg_then_down,negative,down
2008-08-01,-0.94,0.11,-0.84,neg_then_up,negative,up
2008-10-28,-0.38,-9.23,-9.58,neg_then_down,negative,down
2009-02-11,-7.83,9.51,0.93,neg_then_up,negative,up
2009-04-29,0.38,-3.09,-2.72,pos_then_down,positive,down
2009-07-29,0.73,0.13,0.86,pos_then_up,positive,up
2009-10-22,0.63,-4.08,-3.47,pos_then_down,positive,down
2010-02-05,-0.17,-0.35,-0.52,neg_then_down,negative,down
2010-04-27,1.2,3.95,5.19,pos_then_up,positive,up
2010-07-20,0.36,-1.04,-0.68,pos_then_down,positive,down
2010-10-26,-0.82,-2.07,-2.87,neg_then_down,negative,down
2011-02-08,-0.38,-0.22,-0.6,neg_then_down,negative,down
2011-05-03,-0.12,-1.37,-1.49,neg_then_down,negative,down
2011-07-19,1.54,0.76,2.32,pos_then_up,positive,up
2011-11-01,1.33,-2.15,-0.85,pos_then_down,positive,down
2012-02-13,2.28,4.65,7.03,pos_then_up,positive,up
2012-04-26,0.62,0.15,0.77,pos_then_up,positive,up
2012-07-03,-0.57,-0.38,-0.95,neg_then_down,negative,down
2012-11-05,2.73,1.58,4.36,pos_then_up,positive,up
2013-02-12,0.36,1.56,1.92,pos_then_up,positive,up
2013-04-30,-0.29,0.41,0.12,neg_then_up,negative,up
2013-07-30,-0.26,0.49,0.23,neg_then_up,negative,up
2013-10-29,0.02,-0.99,-0.97,pos_then_down,positive,down
2014-05-01,0.32,1.08,1.4,pos_then_up,positive,up
2014-07-29,0.21,0.97,1.19,pos_then_up,positive,up
2014-10-30,1.39,0.34,1.74,pos_then_up,positive,up
2015-02-05,0.06,-0.19,-0.12,pos_then_down,positive,down
2015-04-09,-3.25,-0.56,-3.79,neg_then_down,negative,down
2015-07-23,-0.11,0.21,0.1,neg_then_up,negative,up
2015-11-03,0.02,1.64,1.66,pos_then_up,positive,up
2016-02-09,-0.07,-0.85,-0.91,neg_then_down,negative,down
2016-07-26,0.2,-0.26,-0.06,pos_then_down,positive,down
2016-11-01,-0.31,-2.04,-2.34,neg_then_down,negative,down
2017-02-07,0.91,2.36,3.29,pos_then_up,positive,up
2017-05-02,-1.19,0.86,-0.34,neg_then_up,negative,up
2017-08-02,-0.2,-0.71,-0.91,neg_then_down,negative,down
2017-10-31,1.47,-1.07,0.38,pos_then_down,positive,down
2018-02-06,0.02,1.08,1.1,pos_then_up,positive,up
2018-05-01,0.1,-1.27,-1.17,pos_then_down,positive,down
2018-07-31,0.14,-0.31,-0.17,pos_then_down,positive,down
2018-10-30,1.14,-0.67,0.46,pos_then_down,positive,down
2019-02-12,0.84,-0.6,0.23,pos_then_down,positive,down
2019-04-30,-0.14,-0.48,-0.61,neg_then_down,negative,down
2019-08-06,-1.44,4.22,2.72,neg_then_up,negative,up
2019-11-05,-0.14,-0.85,-0.98,neg_then_down,negative,down
2020-02-13,0.02,2.0,2.02,pos_then_up,positive,up
2020-05-07,1.33,-2.23,-0.93,pos_then_down,positive,down
2020-08-04,0.87,-1.33,-0.48,pos_then_down,positive,down
2020-10-29,-0.44,0.1,-0.34,neg_then_up,negative,up
2021-02-09,0.47,-0.1,0.37,pos_then_down,positive,down
2021-05-06,0.2,-0.34,-0.14,pos_then_down,positive,down
2021-08-03,-0.4,-0.85,-1.25,neg_then_down,negative,down
2021-11-04,1.49,0.21,1.71,pos_then_up,positive,up
2022-02-15,-0.22,-2.13,-2.35,neg_then_down,negative,down
2022-05-03,0.74,3.92,4.69,pos_then_up,positive,up
2022-08-04,-1.24,2.1,0.83,neg_then_up,negative,up
2022-10-19,0.3,-0.53,-0.23,pos_then_down,positive,down
2023-02-13,0.11,2.63,2.74,pos_then_up,positive,up
2023-04-27,1.74,2.5,4.28,pos_then_up,positive,up
2023-08-02,-0.59,-3.16,-3.73,neg_then_down,negative,down
2023-11-07,-0.29,4.02,3.72,neg_then_up,negative,up
2024-02-26,0.49,-1.01,-0.52,pos_then_down,positive,down
2024-05-06,3.62,1.79,5.48,pos_then_up,positive,up
2024-08-06,1.61,-1.7,-0.12,pos_then_down,positive,down
2024-11-04,0.23,-3.71,-3.49,pos_then_down,positive,down
2025-02-11,-1.98,1.21,-0.79,neg_then_up,negative,up
2025-04-17,1.82,0.57,2.4,pos_then_up,positive,up
2025-08-05,0.01,-3.23,-3.21,pos_then_down,positive,down
2025-11-05,0.51,-0.61,-0.11,pos_then_down,positive,down
