date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-22,-0.56,1.18,0.62,neg_then_up,negative,up
2005-01-28,-0.26,-0.31,-0.57,neg_then_down,negative,down
2005-04-22,0.31,0.76,1.08,pos_then_up,positive,up
2005-07-22,-0.89,-1.06,-1.95,neg_then_down,negative,down
2005-10-21,-0.16,0.52,0.35,neg_then_up,negative,up
2006-01-31,-0.32,0.32,0.0,neg_then_up,negative,up
2006-04-25,4.6,3.1,7.84,pos_then_up,positive,up
2006-07-25,1.83,1.84,3.7,pos_then_up,positive,up
2006-10-24,-1.41,-1.66,-3.04,neg_then_down,negative,down
2007-01-31,0.1,-1.22,-1.12,pos_then_down,positive,down
2007-04-25,-0.26,-2.5,-2.75,neg_then_down,negative,down
2007-07-25,-6.35,-1.62,-7.86,neg_then_down,negative,down
2007-10-24,3.32,-1.52,1.74,pos_then_down,positive,down
2008-02-06,-1.47,4.83,3.29,neg_then_up,negative,up
2008-07-29,1.39,1.62,3.03,pos_then_up,positive,up
2008-10-28,-3.19,-6.07,-9.07,neg_then_down,negative,down
2009-02-03,1.67,1.58,3.28,pos_then_up,positive,up
2009-04-30,0.7,5.35,6.08,pos_then_up,positive,up
2009-07-29,-0.91,-4.26,-5.13,neg_then_down,negative,down
2009-10-27,-2.2,-3.88,-5.99,neg_then_down,negative,down
2010-02-02,0.67,0.6,1.27,pos_then_up,positive,up
2010-04-29,-4.92,-1.67,-6.51,neg_then_down,negative,down
2010-07-27,-0.02,2.65,2.62,neg_then_up,negative,up
2010-10-26,-0.74,-0.36,-1.1,neg_then_down,negative,down
2011-02-03,-3.35,0.08,-3.27,neg_then_up,negative,up
2011-04-27,-0.5,-4.06,-4.53,neg_then_down,negative,down
2011-07-26,1.4,-1.48,-0.1,pos_then_down,positive,down
2011-11-01,1.21,-1.83,-0.65,pos_then_down,positive,down
2012-02-02,1.47,2.87,4.39,pos_then_up,positive,up
2012-05-01,-3.89,2.69,-1.3,neg_then_up,negative,up
2012-07-30,-3.11,0.19,-2.93,neg_then_up,negative,up
2013-01-14,-4.67,1.82,-2.93,neg_then_up,negative,up
2013-04-30,-4.7,0.12,-4.59,neg_then_up,negative,up
2013-07-30,3.48,0.53,4.03,pos_then_up,positive,up
2013-10-29,-1.07,-0.29,-1.36,neg_then_down,negative,down
2014-02-05,-1.26,-0.33,-1.58,neg_then_down,negative,down
2014-04-29,1.01,4.65,5.7,pos_then_up,positive,up
2014-07-29,-1.44,1.77,0.3,neg_then_up,negative,up
2014-10-28,2.25,-1.57,0.64,pos_then_down,positive,down
2015-02-03,-0.55,2.32,1.75,neg_then_up,negative,up
2015-05-05,-0.28,2.11,1.82,neg_then_up,negative,up
2015-07-29,-1.2,0.95,-0.26,neg_then_up,negative,up
2015-10-27,0.8,0.42,1.22,pos_then_up,positive,up
2016-02-02,2.11,-0.21,1.89,pos_then_down,positive,down
2016-05-05,-0.45,3.89,3.42,neg_then_up,negative,up
2016-08-02,-2.48,-2.11,-4.53,neg_then_down,negative,down
2016-10-26,-6.76,3.78,-3.24,neg_then_up,negative,up
2017-04-26,0.72,-0.79,-0.08,pos_then_down,positive,down
2017-08-01,-3.66,-0.46,-4.1,neg_then_down,negative,down
2017-10-31,-4.2,1.23,-3.02,neg_then_up,negative,up
2018-02-07,10.05,-6.4,3.0,pos_then_down,positive,down
2018-05-01,-0.88,-2.77,-3.63,neg_then_down,negative,down
2018-10-31,-6.57,1.11,-5.54,neg_then_up,negative,up
2019-01-16,-0.69,3.37,2.66,neg_then_up,negative,up
2019-04-30,-1.71,0.21,-1.5,neg_then_up,negative,up
2019-07-25,2.71,3.36,6.16,pos_then_up,positive,up
2019-10-03,0.59,1.97,2.57,pos_then_up,positive,up
2020-02-04,-1.01,-0.79,-1.79,neg_then_down,negative,down
2020-05-07,-0.59,-1.79,-2.37,neg_then_down,negative,down
2020-08-05,2.96,1.46,4.47,pos_then_up,positive,up
2020-10-27,0.4,-3.59,-3.2,pos_then_down,positive,down
2021-02-09,0.44,-3.98,-3.55,pos_then_down,positive,down
2021-04-27,0.39,1.05,1.45,pos_then_up,positive,up
2021-07-27,0.4,-1.07,-0.67,pos_then_down,positive,down
2021-10-27,-0.12,-0.18,-0.3,neg_then_down,negative,down
2022-02-08,1.22,1.42,2.65,pos_then_up,positive,up
2022-04-27,1.1,2.65,3.77,pos_then_up,positive,up
2022-07-26,0.34,1.84,2.19,pos_then_up,positive,up
2022-10-27,0.88,2.93,3.84,pos_then_up,positive,up
2023-04-25,-0.56,-0.87,-1.42,neg_then_down,negative,down
2023-07-26,0.6,-3.56,-2.98,pos_then_down,positive,down
2023-10-24,-0.52,-0.64,-1.15,neg_then_down,negative,down
2024-02-06,0.01,1.13,1.15,pos_then_up,positive,up
2024-04-23,0.03,-2.05,-2.02,pos_then_down,positive,down
2024-07-24,0.27,-3.46,-3.2,pos_then_down,positive,down
2024-10-22,0.04,1.31,1.35,pos_then_up,positive,up
2025-02-05,-0.01,0.76,0.75,neg_then_up,negative,up
2025-04-24,2.4,-2.0,0.36,pos_then_down,positive,down
2025-07-23,0.22,-2.25,-2.04,pos_then_down,positive,down
2025-10-29,-2.45,-5.34,-7.66,neg_then_down,negative,down
