date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-11-03,0.1,1.68,1.57,pos_then_up,positive,up
2005-07-28,0.3,-0.64,-0.94,pos_then_down,positive,down
2005-10-31,-0.58,-1.73,-1.16,neg_then_down,negative,down
2006-02-21,-0.12,1.64,1.76,neg_then_up,negative,up
2006-05-03,0.23,2.26,2.03,pos_then_up,positive,up
2006-08-02,-1.11,0.33,1.46,neg_then_up,negative,up
2006-11-06,-0.29,-1.19,-0.9,neg_then_down,negative,down
2007-02-13,-2.04,-1.3,0.76,neg_then_up,negative,up
2007-08-01,-1.54,2.04,3.63,neg_then_up,negative,up
2007-10-31,-1.38,-4.16,-2.82,neg_then_down,negative,down
2008-02-12,0.93,0.72,-0.21,pos_then_down,positive,down
2008-05-07,-2.88,-2.72,0.16,neg_then_up,negative,up
2008-07-30,-1.77,0.46,2.27,neg_then_up,negative,up
2008-10-29,0.19,8.44,8.23,pos_then_up,positive,up
2009-02-18,1.25,-0.92,-2.13,pos_then_down,positive,down
2009-05-06,1.04,-6.3,-7.27,pos_then_down,positive,down
2009-08-04,-1.97,-0.44,1.56,neg_then_up,negative,up
2009-11-04,4.48,6.03,1.48,pos_then_up,positive,up
2010-02-17,0.19,1.42,1.22,pos_then_up,positive,up
2010-05-04,0.47,-1.44,-1.9,pos_then_down,positive,down
2010-08-04,-0.43,-2.77,-2.35,neg_then_down,negative,down
2010-11-03,-0.62,-0.41,0.21,neg_then_up,negative,up
2011-02-15,0.39,-0.1,-0.49,pos_then_down,positive,down
2011-05-05,1.17,0.66,-0.5,pos_then_down,positive,down
2011-08-03,-1.0,-2.59,-1.6,neg_then_down,negative,down
2011-11-03,-0.3,0.65,0.96,neg_then_up,negative,up
2012-02-15,-0.5,0.16,0.66,neg_then_up,negative,up
2012-05-07,-0.63,-0.13,0.5,neg_then_up,negative,up
2012-08-01,-0.3,-0.73,-0.44,neg_then_down,negative,down
2012-11-01,-0.23,-1.0,-0.77,neg_then_down,negative,down
2013-02-12,0.04,0.21,0.17,pos_then_up,positive,up
2013-05-01,0.14,0.76,0.62,pos_then_up,positive,up
2013-08-01,-0.09,-1.34,-1.25,neg_then_down,negative,down
2013-10-31,5.04,4.39,-0.62,pos_then_down,positive,down
2014-02-11,-1.01,-1.92,-0.93,neg_then_down,negative,down
2014-05-08,0.08,-0.74,-0.81,pos_then_down,positive,down
2014-08-07,1.0,0.23,-0.76,pos_then_down,positive,down
2014-10-30,1.91,0.54,-1.35,pos_then_down,positive,down
2015-02-10,0.84,-0.09,-0.93,pos_then_down,positive,down
2015-05-07,1.01,0.02,-0.98,pos_then_down,positive,down
2015-08-05,0.59,-0.31,-0.9,pos_then_down,positive,down
2015-11-04,-2.98,2.13,5.27,neg_then_up,negative,up
2016-02-09,-0.52,-0.05,0.48,neg_then_up,negative,up
2016-05-04,-0.41,0.17,0.58,neg_then_up,negative,up
2016-08-04,0.8,-0.63,-1.42,pos_then_down,positive,down
2016-11-02,-0.91,-2.28,-1.39,neg_then_down,negative,down
2017-02-13,-0.58,-1.31,-0.73,neg_then_down,negative,down
2017-05-03,1.01,-0.68,-1.67,pos_then_down,positive,down
2017-08-02,-0.11,0.11,0.22,neg_then_up,negative,up
2017-11-01,0.47,5.26,4.77,pos_then_up,positive,up
2018-02-13,-1.78,0.51,2.33,neg_then_up,negative,up
2018-05-02,0.46,1.62,1.15,pos_then_up,positive,up
2018-08-01,0.12,0.85,0.73,pos_then_up,positive,up
2018-10-31,0.27,0.19,-0.08,pos_then_down,positive,down
2019-02-13,-0.13,-1.0,-0.87,neg_then_down,negative,down
2019-05-02,-0.22,-0.84,-0.63,neg_then_down,negative,down
2019-08-01,2.27,1.29,-0.95,pos_then_down,positive,down
2019-10-30,-0.56,-3.65,-3.11,neg_then_down,negative,down
2020-02-10,-0.22,-3.1,-2.89,neg_then_down,negative,down
2020-05-06,2.37,2.29,-0.08,pos_then_down,positive,down
2020-08-05,-1.44,0.32,1.78,neg_then_up,negative,up
2020-11-05,1.14,-4.4,-5.47,pos_then_down,positive,down
2021-02-11,-0.35,4.43,4.79,neg_then_up,negative,up
2021-05-05,4.79,3.71,-1.02,pos_then_down,positive,down
2021-08-04,4.44,5.98,1.47,pos_then_up,positive,up
2021-11-04,3.09,4.61,1.48,pos_then_up,positive,up
2022-02-10,-0.76,-3.04,-2.3,neg_then_down,negative,down
2022-05-05,-0.64,-2.08,-1.45,neg_then_down,negative,down
2022-11-03,4.61,5.71,1.06,pos_then_up,positive,up
2023-02-08,2.61,-0.51,-3.04,pos_then_down,positive,down
2023-05-04,-1.73,-0.09,1.67,neg_then_up,negative,up
2023-08-02,0.26,1.88,1.61,pos_then_up,positive,up
2023-11-02,2.22,2.19,-0.02,pos_then_down,positive,down
2024-02-12,-0.05,0.34,0.39,neg_then_up,negative,up
2024-05-02,-0.4,-2.76,-2.37,neg_then_down,negative,down
2024-08-01,1.95,-0.28,-2.19,pos_then_down,positive,down
2024-10-30,-2.84,-2.98,-0.15,neg_then_down,negative,down
2025-02-13,-0.29,-6.07,-5.8,neg_then_down,negative,down
2025-05-08,0.02,-1.82,-1.84,pos_then_down,positive,down
2025-08-06,1.77,-0.88,-2.6,pos_then_down,positive,down
2025-10-31,-2.1,-0.53,1.6,neg_then_up,negative,up
