date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2007-02-13,17.79,27.54,8.27,pos_then_up,positive,up
2007-05-03,6.19,15.1,8.38,pos_then_up,positive,up
2007-07-31,-8.62,-4.5,4.5,neg_then_up,negative,up
2007-11-07,32.35,34.29,1.46,pos_then_up,positive,up
2008-02-13,1.34,-1.9,-3.2,pos_then_down,positive,down
2008-04-30,-2.39,-9.81,-7.6,neg_then_down,negative,down
2008-07-30,4.42,0.01,-4.22,pos_then_down,positive,down
2008-10-29,16.14,24.47,7.17,pos_then_up,positive,up
2009-02-24,-15.91,-21.81,-7.01,neg_then_down,negative,down
2009-04-29,15.38,23.49,7.02,pos_then_up,positive,up
2009-07-30,-10.69,-11.04,-0.39,neg_then_down,negative,down
2009-10-28,-15.78,-16.57,-0.93,neg_then_down,negative,down
2010-02-18,-7.61,-8.15,-0.58,neg_then_down,negative,down
2010-04-28,10.69,17.75,6.37,pos_then_up,positive,up
2010-07-29,-4.76,-7.42,-2.79,neg_then_down,negative,down
2010-10-28,-7.94,-8.91,-1.06,neg_then_down,negative,down
2011-02-24,-1.92,-5.44,-3.58,neg_then_down,negative,down
2011-05-03,-5.98,-6.2,-0.24,neg_then_down,negative,down
2011-08-04,-2.26,-2.33,-0.07,neg_then_down,negative,down
2011-10-26,4.6,14.73,9.68,pos_then_up,positive,up
2012-02-28,-7.42,-11.26,-4.15,neg_then_down,negative,down
2012-05-03,2.55,-6.25,-8.58,pos_then_down,positive,down
2012-08-01,14.86,21.15,5.47,pos_then_up,positive,up
2012-11-01,-7.68,-8.93,-1.36,neg_then_down,negative,down
2013-02-26,-14.41,-13.78,0.75,neg_then_up,negative,up
2013-05-06,-2.24,-8.93,-6.84,neg_then_down,negative,down
2013-08-06,-9.8,-13.43,-4.03,neg_then_down,negative,down
2013-10-31,10.59,17.55,6.29,pos_then_up,positive,up
2014-02-25,-13.58,-9.12,5.16,neg_then_up,negative,up
2014-05-06,0.52,-5.75,-6.24,pos_then_down,positive,down
2014-08-05,-3.11,3.05,6.36,neg_then_up,negative,up
2014-11-06,-6.54,-10.85,-4.61,neg_then_down,negative,down
2015-02-24,2.65,7.02,4.26,pos_then_up,positive,up
2015-04-30,-3.64,-3.9,-0.28,neg_then_down,negative,down
2015-08-04,12.63,16.67,3.59,pos_then_up,positive,up
2015-10-29,11.59,11.92,0.3,pos_then_up,positive,up
2016-02-23,3.51,12.4,8.58,pos_then_up,positive,up
2016-04-27,-4.8,-8.08,-3.44,neg_then_down,negative,down
2016-08-03,0.49,-11.21,-11.64,pos_then_down,positive,down
2016-11-02,-5.13,-14.96,-10.36,neg_then_down,negative,down
2017-02-21,-3.03,-8.33,-5.46,neg_then_down,negative,down
2017-05-02,7.19,11.84,4.34,pos_then_up,positive,up
2017-07-27,8.95,9.06,0.1,pos_then_up,positive,up
2017-10-26,8.72,20.35,10.69,pos_then_up,positive,up
2018-02-22,-1.09,-6.77,-5.75,neg_then_down,negative,down
2018-04-26,1.23,3.82,2.57,pos_then_up,positive,up
2018-07-26,-5.72,-3.76,2.08,neg_then_up,negative,up
2018-10-25,-6.36,-9.51,-3.36,neg_then_down,negative,down
2019-02-21,-1.81,3.43,5.33,neg_then_up,negative,up
2019-05-02,2.56,3.17,0.6,pos_then_up,positive,up
2019-08-01,0.63,-0.3,-0.92,pos_then_down,positive,down
2019-10-24,-3.38,-5.78,-2.48,neg_then_down,negative,down
2020-02-20,-10.65,-14.72,-4.55,neg_then_down,negative,down
2020-05-07,1.66,-1.12,-2.73,pos_then_down,positive,down
2020-08-06,7.2,13.14,5.54,pos_then_up,positive,up
2020-10-27,12.06,13.25,1.06,pos_then_up,positive,up
2021-02-25,-1.34,-0.47,0.88,neg_then_up,negative,up
2021-04-29,-3.76,-12.33,-8.9,neg_then_down,negative,down
2021-07-29,-2.1,2.75,4.95,neg_then_up,negative,up
2021-11-04,-2.46,-0.3,2.21,neg_then_up,negative,up
2022-03-01,-12.93,-8.08,5.57,neg_then_up,negative,up
2022-07-28,2.18,12.06,9.66,pos_then_up,positive,up
2022-10-27,-0.02,1.14,1.16,neg_then_up,negative,up
2023-02-28,6.75,15.69,8.38,pos_then_up,positive,up
2023-07-27,12.47,4.83,-6.79,pos_then_down,positive,down
2023-10-31,4.24,0.27,-3.8,pos_then_down,positive,down
2024-02-27,6.18,2.94,-3.05,pos_then_down,positive,down
2024-05-01,0.54,1.65,1.1,pos_then_up,positive,up
2024-07-30,4.38,2.42,-1.88,pos_then_down,positive,down
2024-10-29,-6.03,-1.09,5.26,neg_then_up,negative,up
2025-02-20,-0.99,-5.27,-4.32,neg_then_down,negative,down
2025-04-29,-12.01,-8.32,4.19,neg_then_up,negative,up
2025-07-31,6.64,5.29,-1.27,pos_then_down,positive,down
2025-10-30,6.66,14.28,7.15,pos_then_up,positive,up
