date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-01-21,-0.62,0.29,-0.33,neg_then_up,negative,up
2004-04-21,0.59,1.86,2.46,pos_then_up,positive,up
2005-01-26,-0.18,1.54,1.37,neg_then_up,negative,up
2005-04-20,1.17,1.57,2.76,pos_then_up,positive,up
2006-01-25,1.5,2.43,3.96,pos_then_up,positive,up
2006-04-19,-1.3,-0.26,-1.56,neg_then_down,negative,down
2006-07-19,1.63,-1.69,-0.09,pos_then_down,positive,down
2006-10-18,-2.71,-0.75,-3.44,neg_then_down,negative,down
2007-01-24,-0.44,-2.2,-2.63,neg_then_down,negative,down
2007-04-25,-1.1,0.74,-0.37,neg_then_up,negative,up
2007-07-25,-1.17,-1.8,-2.95,neg_then_down,negative,down
2007-10-24,0.43,-0.01,0.42,pos_then_down,positive,down
2008-01-23,1.61,3.42,5.09,pos_then_up,positive,up
2008-04-23,0.47,0.68,1.15,pos_then_up,positive,up
2008-07-23,-0.41,-2.07,-2.48,neg_then_down,negative,down
2008-10-22,-0.19,1.03,0.83,neg_then_up,negative,up
2009-01-28,-1.95,-1.02,-2.95,neg_then_down,negative,down
2009-04-29,0.32,-3.44,-3.13,pos_then_down,positive,down
2009-07-29,1.15,-0.09,1.06,pos_then_down,positive,down
2009-10-28,0.4,-1.41,-1.01,pos_then_down,positive,down
2010-01-27,0.57,-0.01,0.55,pos_then_down,positive,down
2010-04-28,0.74,0.53,1.27,pos_then_up,positive,up
2010-07-28,0.81,-0.91,-0.11,pos_then_down,positive,down
2010-10-27,1.38,2.2,3.61,pos_then_up,positive,up
2011-01-26,-0.05,2.14,2.09,neg_then_up,negative,up
2011-04-27,-0.41,-1.2,-1.61,neg_then_down,negative,down
2011-07-27,-0.13,-1.15,-1.28,neg_then_down,negative,down
2011-10-26,2.61,0.08,2.69,pos_then_up,positive,up
2012-01-25,-1.38,1.32,-0.08,neg_then_up,negative,up
2012-04-25,-1.14,0.39,-0.75,neg_then_up,negative,up
2012-07-25,1.37,0.08,1.45,pos_then_up,positive,up
2012-10-24,0.65,-0.91,-0.27,pos_then_down,positive,down
2013-01-23,-0.13,-1.01,-1.13,neg_then_down,negative,down
2013-04-24,-0.24,2.75,2.51,neg_then_up,negative,up
2013-07-24,0.11,0.47,0.57,pos_then_up,positive,up
2013-10-23,-0.03,1.07,1.03,neg_then_up,negative,up
2014-01-22,0.31,1.59,1.91,pos_then_up,positive,up
2014-04-23,0.2,-1.23,-1.04,pos_then_down,positive,down
2014-07-23,-0.01,0.63,0.62,neg_then_up,negative,up
2014-10-22,1.81,1.36,3.19,pos_then_up,positive,up
2015-01-28,-0.06,-1.35,-1.41,neg_then_down,negative,down
2015-04-29,-0.45,-0.43,-0.87,neg_then_down,negative,down
2015-07-29,-0.01,0.22,0.21,neg_then_up,negative,up
2015-10-28,-0.21,-0.33,-0.54,neg_then_down,negative,down
2016-01-27,-0.12,-0.16,-0.27,neg_then_down,negative,down
2016-04-27,-0.97,-0.74,-1.71,neg_then_down,negative,down
2016-07-27,-0.09,0.41,0.32,neg_then_up,negative,up
2016-10-26,0.29,-0.96,-0.67,pos_then_down,positive,down
2017-01-27,0.05,-1.49,-1.44,pos_then_down,positive,down
2017-04-26,0.32,-0.23,0.09,pos_then_down,positive,down
2017-07-26,0.55,-0.97,-0.42,pos_then_down,positive,down
2017-10-25,0.45,-2.05,-1.61,pos_then_down,positive,down
2018-01-24,0.33,2.97,3.31,pos_then_up,positive,up
2018-04-25,0.18,-1.47,-1.3,pos_then_down,positive,down
2018-07-25,-0.7,-0.76,-1.46,neg_then_down,negative,down
2018-10-24,-0.15,-1.38,-1.52,neg_then_down,negative,down
2019-01-30,-1.01,1.18,0.15,neg_then_up,negative,up
2019-04-24,-0.55,-1.59,-2.13,neg_then_down,negative,down
2019-07-24,-0.13,0.12,-0.02,neg_then_up,negative,up
2019-10-23,1.39,-0.74,0.64,pos_then_down,positive,down
2020-01-29,-0.64,-0.59,-1.22,neg_then_down,negative,down
2020-04-29,-1.98,-2.48,-4.41,neg_then_down,negative,down
2020-07-29,-1.62,1.25,-0.39,neg_then_up,negative,up
2020-10-28,-0.46,-0.38,-0.84,neg_then_down,negative,down
2021-01-27,0.28,-1.78,-1.51,pos_then_down,positive,down
2021-04-28,1.54,1.38,2.94,pos_then_up,positive,up
2021-07-28,0.92,0.42,1.35,pos_then_up,positive,up
2021-10-27,0.71,-2.24,-1.55,pos_then_down,positive,down
2022-01-26,0.08,1.81,1.89,pos_then_up,positive,up
2022-04-27,1.02,-0.51,0.51,pos_then_down,positive,down
2022-07-27,-0.38,2.18,1.8,neg_then_up,negative,up
2022-10-26,0.66,0.27,0.94,pos_then_up,positive,up
2023-01-25,0.05,0.49,0.54,pos_then_up,positive,up
2023-04-26,0.16,0.24,0.4,pos_then_up,positive,up
2023-07-26,0.2,-1.52,-1.33,pos_then_down,positive,down
2023-10-25,0.25,-1.01,-0.76,pos_then_down,positive,down
2024-01-24,0.22,1.57,1.79,pos_then_up,positive,up
2024-04-24,0.59,0.76,1.35,pos_then_up,positive,up
2024-07-24,0.68,1.52,2.22,pos_then_up,positive,up
2024-10-23,-0.88,-0.15,-1.03,neg_then_down,negative,down
2025-01-29,0.95,1.21,2.18,pos_then_up,positive,up
2025-04-23,-0.3,2.56,2.25,neg_then_up,negative,up
2025-07-23,0.65,-1.49,-0.85,pos_then_down,positive,down
