date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-08,0.18,0.77,0.59,pos_then_up,positive,up
2005-01-21,0.26,0.37,0.11,pos_then_up,positive,up
2005-07-15,-0.42,-0.93,-0.51,neg_then_down,negative,down
2005-10-14,-0.38,-0.96,-0.58,neg_then_down,negative,down
2006-01-20,0.48,-0.24,-0.72,pos_then_down,positive,down
2006-04-13,-0.38,-1.77,-1.39,neg_then_down,negative,down
2006-07-14,-0.09,0.78,0.87,neg_then_up,negative,up
2006-10-13,-0.69,-1.17,-0.48,neg_then_down,negative,down
2007-01-19,0.49,-0.54,-1.02,pos_then_down,positive,down
2007-04-13,0.34,-0.06,-0.39,pos_then_down,positive,down
2007-07-13,0.25,1.57,1.31,pos_then_up,positive,up
2007-10-12,-0.32,-0.51,-0.2,neg_then_down,negative,down
2008-01-18,-3.24,-0.76,2.56,neg_then_up,negative,up
2008-04-11,1.03,-0.94,-1.95,pos_then_down,positive,down
2008-07-11,1.7,-1.74,-3.38,pos_then_down,positive,down
2008-10-10,3.58,-2.33,-5.7,pos_then_down,positive,down
2009-01-23,3.74,3.24,-0.48,pos_then_down,positive,down
2009-04-17,-3.15,-8.39,-5.42,neg_then_down,negative,down
2009-07-17,0.52,0.17,-0.34,pos_then_down,positive,down
2009-10-16,-0.19,-1.49,-1.31,neg_then_down,negative,down
2010-01-22,2.17,1.61,-0.55,pos_then_down,positive,down
2010-04-16,-1.74,-0.16,1.61,neg_then_up,negative,up
2010-07-16,0.62,0.48,-0.14,pos_then_down,positive,down
2010-10-15,0.06,-0.31,-0.37,pos_then_down,positive,down
2011-01-21,0.96,1.52,0.55,pos_then_up,positive,up
2011-04-21,0.95,-0.3,-1.24,pos_then_down,positive,down
2011-07-22,-0.37,-0.42,-0.05,neg_then_down,negative,down
2011-10-21,0.37,0.86,0.49,pos_then_up,positive,up
2012-01-20,-0.31,-1.1,-0.79,neg_then_down,negative,down
2012-04-20,-1.55,-1.5,0.05,neg_then_up,negative,up
2012-07-20,-1.56,1.11,2.71,neg_then_up,negative,up
2012-10-19,-0.77,-1.5,-0.73,neg_then_down,negative,down
2013-01-18,0.64,-0.14,-0.77,pos_then_down,positive,down
2013-04-19,-0.37,-1.84,-1.48,neg_then_down,negative,down
2013-07-19,0.2,0.57,0.36,pos_then_up,positive,up
2013-10-18,1.25,2.31,1.04,pos_then_up,positive,up
2014-01-17,0.56,-1.09,-1.65,pos_then_down,positive,down
2014-04-17,0.26,0.11,-0.15,pos_then_down,positive,down
2014-07-18,-0.49,-1.81,-1.33,neg_then_down,negative,down
2014-10-17,0.36,0.85,0.48,pos_then_up,positive,up
2015-01-23,0.98,0.45,-0.53,pos_then_down,positive,down
2015-04-10,-1.58,-3.09,-1.53,neg_then_down,negative,down
2015-07-17,-0.44,-0.37,0.07,neg_then_up,negative,up
2015-10-16,-0.62,0.03,0.66,neg_then_up,negative,up
2016-01-22,0.28,-0.71,-0.99,pos_then_down,positive,down
2016-04-22,0.16,-0.26,-0.42,pos_then_down,positive,down
2016-07-22,0.03,-1.31,-1.34,pos_then_down,positive,down
2016-10-21,0.07,-0.21,-0.28,pos_then_down,positive,down
2017-01-20,-0.1,-2.55,-2.46,neg_then_down,negative,down
2017-07-21,-0.5,-1.85,-1.36,neg_then_down,negative,down
2017-10-20,-1.64,-6.34,-4.78,neg_then_down,negative,down
2018-01-24,0.37,-1.58,-1.94,pos_then_down,positive,down
2018-04-20,1.44,-0.14,-1.56,pos_then_down,positive,down
2018-07-20,-0.76,-0.99,-0.23,neg_then_down,negative,down
2019-01-31,0.39,0.3,-0.1,pos_then_down,positive,down
2019-04-30,-0.2,-0.69,-0.49,neg_then_down,negative,down
2019-07-31,-0.77,-3.54,-2.8,neg_then_down,negative,down
2019-10-30,-0.59,-1.29,-0.7,neg_then_down,negative,down
2020-01-29,-0.39,-1.62,-1.24,neg_then_down,negative,down
2020-04-09,-0.14,-1.68,-1.54,neg_then_down,negative,down
2020-07-29,-1.37,-5.01,-3.69,neg_then_down,negative,down
2020-10-28,3.23,-0.67,-3.79,pos_then_down,positive,down
2021-01-26,-1.86,0.8,2.71,neg_then_up,negative,up
2021-04-27,-1.19,-2.15,-0.98,neg_then_down,negative,down
2021-07-27,0.54,0.38,-0.15,pos_then_down,positive,down
2021-10-26,0.41,-3.34,-3.74,pos_then_down,positive,down
2022-01-25,0.44,-1.96,-2.39,pos_then_down,positive,down
2022-04-26,-0.73,-2.95,-2.24,neg_then_down,negative,down
2022-07-26,0.69,0.1,-0.58,pos_then_down,positive,down
2022-10-25,0.4,3.37,2.96,pos_then_up,positive,up
2023-01-10,0.73,3.22,2.47,pos_then_up,positive,up
2023-04-25,-0.21,-2.27,-2.06,neg_then_down,negative,down
2023-07-25,-0.02,-2.08,-2.07,neg_then_down,negative,down
2023-10-24,0.62,-2.13,-2.74,pos_then_down,positive,down
2024-01-23,0.25,-0.02,-0.26,pos_then_down,positive,down
2024-04-23,-0.46,-2.11,-1.66,neg_then_down,negative,down
2024-07-23,-0.29,-5.64,-5.36,neg_then_down,negative,down
2024-10-22,1.72,2.85,1.11,pos_then_up,positive,up
2025-01-23,0.85,-2.02,-2.84,pos_then_down,positive,down
2025-04-22,3.57,2.38,-1.15,pos_then_down,positive,down
2025-07-17,1.97,1.15,-0.8,pos_then_down,positive,down
2025-10-21,0.32,-2.85,-3.16,pos_then_down,positive,down
