date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-21,-5.67,-3.9,-9.35,neg_then_down,negative,down
2005-01-28,1.51,0.3,1.81,pos_then_up,positive,up
2005-04-19,2.1,0.46,2.57,pos_then_up,positive,up
2005-07-19,1.65,-1.63,0.0,pos_then_down,positive,down
2005-10-18,-3.63,-1.01,-4.6,neg_then_down,negative,down
2006-04-18,1.88,3.38,5.32,pos_then_up,positive,up
2006-07-20,-1.99,2.65,0.61,neg_then_up,negative,up
2006-10-18,0.35,0.5,0.86,pos_then_up,positive,up
2007-01-31,8.6,2.41,11.21,pos_then_up,positive,up
2007-04-18,1.49,2.65,4.18,pos_then_up,positive,up
2007-07-19,-0.99,-3.17,-4.13,neg_then_down,negative,down
2007-10-18,-0.07,-3.4,-3.47,neg_then_down,negative,down
2008-01-23,2.48,-0.7,1.76,pos_then_down,positive,down
2008-04-16,-1.56,-2.02,-3.55,neg_then_down,negative,down
2008-07-17,-7.22,-3.64,-10.6,neg_then_down,negative,down
2008-10-16,2.68,1.25,3.96,pos_then_up,positive,up
2009-01-27,2.47,2.27,4.79,pos_then_up,positive,up
2009-04-21,5.72,-0.02,5.69,pos_then_down,positive,down
2009-07-21,-4.41,3.12,-1.42,neg_then_up,negative,up
2009-10-20,-1.84,0.13,-1.71,neg_then_up,negative,up
2010-01-26,4.93,2.04,7.06,pos_then_up,positive,up
2010-04-20,-6.86,-2.91,-9.56,neg_then_down,negative,down
2010-07-20,-1.27,1.01,-0.27,neg_then_up,negative,up
2010-10-19,2.07,2.4,4.52,pos_then_up,positive,up
2011-01-25,-0.45,4.4,3.93,neg_then_up,negative,up
2011-04-20,-3.02,-1.24,-4.22,neg_then_down,negative,down
2011-07-26,-0.71,2.65,1.92,neg_then_up,negative,up
2011-10-27,-0.21,1.83,1.61,neg_then_up,negative,up
2012-02-02,8.31,2.42,10.93,pos_then_up,positive,up
2012-04-26,-0.42,-0.65,-1.06,neg_then_down,negative,down
2012-07-26,4.41,2.85,7.39,pos_then_up,positive,up
2012-10-23,5.82,-0.51,5.28,pos_then_down,positive,down
2013-02-04,1.41,0.97,2.4,pos_then_up,positive,up
2013-05-02,4.54,1.1,5.69,pos_then_up,positive,up
2013-07-25,4.86,-1.96,2.81,pos_then_down,positive,down
2013-10-29,3.44,1.08,4.56,pos_then_up,positive,up
2014-02-04,-0.05,-4.67,-4.72,neg_then_down,negative,down
2014-04-22,3.94,-2.47,1.37,pos_then_down,positive,down
2014-07-23,1.35,-1.11,0.22,pos_then_down,positive,down
2014-10-28,-3.17,0.79,-2.41,neg_then_up,negative,up
2015-02-03,-7.7,-0.51,-8.16,neg_then_down,negative,down
2015-04-30,2.68,1.75,4.48,pos_then_up,positive,up
2015-07-28,4.7,-2.26,2.33,pos_then_down,positive,down
2015-10-27,-1.77,-0.8,-2.55,neg_then_down,negative,down
2016-02-02,2.66,1.74,4.45,pos_then_up,positive,up
2016-04-28,-5.99,-3.27,-9.06,neg_then_down,negative,down
2016-07-25,-5.08,-3.57,-8.47,neg_then_down,negative,down
2016-11-01,-0.09,-2.01,-2.11,neg_then_down,negative,down
2017-02-07,-8.01,-0.65,-8.61,neg_then_down,negative,down
2017-05-02,-2.16,0.15,-2.01,neg_then_up,negative,up
2017-07-26,1.67,-0.62,1.04,pos_then_down,positive,down
2017-10-26,-3.69,2.75,-1.04,neg_then_up,negative,up
2018-02-06,-0.88,3.88,2.96,neg_then_up,negative,up
2018-05-01,-5.93,-2.02,-7.83,neg_then_down,negative,down
2018-07-25,-1.46,0.5,-0.96,neg_then_up,negative,up
2018-10-25,-2.67,4.42,1.63,neg_then_up,negative,up
2019-02-04,-3.28,-0.1,-3.38,neg_then_down,negative,down
2019-05-02,1.03,1.76,2.8,pos_then_up,positive,up
2019-07-30,-2.15,-0.2,-2.34,neg_then_down,negative,down
2019-10-24,-4.55,0.51,-4.06,neg_then_up,negative,up
2020-02-04,-1.75,-0.53,-2.27,neg_then_down,negative,down
2020-04-30,-3.33,-1.54,-4.82,neg_then_down,negative,down
2020-07-30,-3.59,-0.29,-3.87,neg_then_down,negative,down
2020-10-28,-1.57,1.26,-0.32,neg_then_up,negative,up
2021-01-11,0.24,-0.93,-0.69,pos_then_down,positive,down
2021-04-29,-2.16,1.62,-0.58,neg_then_up,negative,up
2021-07-29,-1.62,-0.6,-2.21,neg_then_down,negative,down
2021-10-28,-2.14,-1.55,-3.65,neg_then_down,negative,down
2022-02-01,-4.34,0.49,-3.87,neg_then_up,negative,up
2022-08-02,2.23,2.3,4.59,pos_then_up,positive,up
2022-10-27,5.93,6.6,12.92,pos_then_up,positive,up
2023-02-02,4.02,-0.19,3.82,pos_then_down,positive,down
2023-04-27,-1.23,-0.38,-1.6,neg_then_down,negative,down
2023-08-03,2.45,1.68,4.17,pos_then_up,positive,up
2023-11-07,-3.87,0.53,-3.36,neg_then_up,negative,up
2024-02-06,-1.94,-2.35,-4.25,neg_then_down,negative,down
2024-04-25,0.35,-0.12,0.23,pos_then_down,positive,down
2024-08-08,-0.86,-1.71,-2.55,neg_then_down,negative,down
2024-11-06,2.52,4.15,6.77,pos_then_up,positive,up
2025-02-11,5.82,1.54,7.46,pos_then_up,positive,up
2025-04-24,-3.27,0.48,-2.81,neg_then_up,negative,up
2025-08-07,4.48,3.64,8.28,pos_then_up,positive,up
2025-10-30,-2.01,3.21,1.14,neg_then_up,negative,up
