date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-20,-0.96,2.78,3.77,neg_then_up,negative,up
2005-01-11,-0.85,0.43,1.29,neg_then_up,negative,up
2005-04-18,0.78,1.12,0.34,pos_then_up,positive,up
2005-07-26,3.3,5.33,1.97,pos_then_up,positive,up
2005-10-26,3.01,6.01,2.92,pos_then_up,positive,up
2006-01-24,-5.24,4.7,10.49,neg_then_up,negative,up
2006-04-25,-0.54,2.9,3.46,neg_then_up,negative,up
2006-07-25,-7.07,-14.46,-7.95,neg_then_down,negative,down
2006-10-24,-4.41,-8.82,-4.61,neg_then_down,negative,down
2007-01-24,1.91,1.24,-0.66,pos_then_down,positive,down
2007-04-25,1.12,-0.28,-1.39,pos_then_down,positive,down
2007-07-25,-1.46,-1.34,0.12,neg_then_up,negative,up
2007-10-24,0.69,-0.43,-1.11,pos_then_down,positive,down
2008-01-28,0.65,2.47,1.81,pos_then_up,positive,up
2008-03-31,1.5,3.79,2.25,pos_then_up,positive,up
2008-07-30,-0.34,-2.25,-1.91,neg_then_down,negative,down
2008-10-29,2.47,-4.0,-6.31,pos_then_down,positive,down
2009-01-27,1.7,8.81,6.99,pos_then_up,positive,up
2009-04-27,-2.21,-7.26,-5.16,neg_then_down,negative,down
2009-07-27,-0.36,2.24,2.62,neg_then_up,negative,up
2009-10-26,0.06,-2.64,-2.71,pos_then_down,positive,down
2010-04-28,1.1,-0.65,-1.72,pos_then_down,positive,down
2010-07-28,0.17,2.83,2.66,pos_then_up,positive,up
2010-11-01,0.16,-0.92,-1.08,pos_then_down,positive,down
2011-01-25,0.66,2.69,2.01,pos_then_up,positive,up
2011-04-27,-0.28,-0.19,0.1,neg_then_up,negative,up
2011-07-27,-0.31,-0.25,0.06,neg_then_up,negative,up
2011-10-26,8.92,9.13,0.19,pos_then_up,positive,up
2012-01-25,-0.46,-2.91,-2.46,neg_then_down,negative,down
2012-04-25,-0.49,0.0,0.49,neg_then_up,negative,up
2012-07-25,-0.18,0.81,0.99,neg_then_up,negative,up
2012-10-24,1.23,-0.49,-1.71,pos_then_down,positive,down
2013-01-29,0.16,-1.88,-2.04,pos_then_down,positive,down
2013-04-05,0.15,0.3,0.15,pos_then_up,positive,up
2013-07-30,0.33,0.0,-0.33,pos_then_down,positive,down
2013-10-22,17.52,14.14,-2.88,pos_then_down,positive,down
2014-01-28,-0.58,0.35,0.94,neg_then_up,negative,up
2014-04-28,-0.29,-0.52,-0.24,neg_then_down,negative,down
2014-07-29,0.5,-0.65,-1.14,pos_then_down,positive,down
2014-10-28,0.87,1.48,0.61,pos_then_up,positive,up
2015-01-27,0.57,-2.06,-2.61,pos_then_down,positive,down
2015-04-28,-1.36,-3.22,-1.88,neg_then_down,negative,down
2015-07-28,-0.6,0.93,1.53,neg_then_up,negative,up
2015-10-27,-0.05,3.07,3.12,neg_then_up,negative,up
2016-01-26,-0.56,1.13,1.7,neg_then_up,negative,up
2016-04-26,0.05,0.42,0.36,pos_then_up,positive,up
2016-10-25,-0.26,0.22,0.48,neg_then_up,negative,up
2017-01-24,-0.15,1.91,2.07,neg_then_up,negative,up
2017-04-25,0.32,-0.53,-0.84,pos_then_down,positive,down
2017-10-24,-0.91,-1.25,-0.35,neg_then_down,negative,down
2018-01-30,0.49,-3.43,-3.91,pos_then_down,positive,down
2018-07-25,-1.11,1.26,2.41,neg_then_up,negative,up
2018-10-23,-0.1,-3.53,-3.44,neg_then_down,negative,down
2019-01-29,0.33,-0.59,-0.92,pos_then_down,positive,down
2019-04-30,0.47,1.44,0.97,pos_then_up,positive,up
2019-07-30,-0.41,-2.07,-1.66,neg_then_down,negative,down
2019-10-29,-3.93,0.43,4.54,neg_then_up,negative,up
2020-01-29,-1.38,-2.33,-0.97,neg_then_down,negative,down
2020-04-28,1.04,1.54,0.49,pos_then_up,positive,up
2020-07-28,1.79,4.53,2.7,pos_then_up,positive,up
2020-10-27,-2.25,-3.41,-1.18,neg_then_down,negative,down
2021-01-27,2.41,3.43,1.0,pos_then_up,positive,up
2021-04-27,-0.18,-0.34,-0.16,neg_then_down,negative,down
2021-07-27,0.3,0.79,0.49,pos_then_up,positive,up
2021-10-26,-0.27,-3.25,-2.99,neg_then_down,negative,down
2022-01-26,2.5,3.36,0.85,pos_then_up,positive,up
2022-04-26,0.23,1.61,1.38,pos_then_up,positive,up
2022-07-26,0.2,2.89,2.68,pos_then_up,positive,up
2022-10-25,-0.95,2.08,3.05,neg_then_up,negative,up
2023-01-31,-0.26,1.94,2.2,neg_then_up,negative,up
2023-04-25,-0.76,-1.98,-1.23,neg_then_down,negative,down
2023-07-25,-0.88,1.18,2.08,neg_then_up,negative,up
2023-10-24,-1.49,-0.3,1.21,neg_then_up,negative,up
2024-01-30,0.06,-2.43,-2.49,pos_then_down,positive,down
2024-04-30,0.12,0.3,0.18,pos_then_up,positive,up
2024-07-08,1.16,3.76,2.57,pos_then_up,positive,up
2024-10-29,-0.22,-2.02,-1.8,neg_then_down,negative,down
2025-01-29,0.72,0.38,-0.34,pos_then_down,positive,down
2025-04-29,-1.62,-0.18,1.46,neg_then_up,negative,up
2025-07-29,-0.29,1.02,1.31,neg_then_up,negative,up
2025-10-28,1.06,4.47,3.37,pos_then_up,positive,up
