date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2005-01-05,-0.1,-0.73,-0.82,neg_then_down,negative,down
2005-04-15,-0.09,-2.03,-2.12,neg_then_down,negative,down
2005-07-15,1.93,1.47,3.43,pos_then_up,positive,up
2005-10-17,0.06,-0.71,-0.65,pos_then_down,positive,down
2006-01-26,-0.14,-2.25,-2.39,neg_then_down,negative,down
2006-04-17,0.87,4.49,5.41,pos_then_up,positive,up
2006-07-17,-0.79,-2.4,-3.17,neg_then_down,negative,down
2006-10-16,-0.76,0.29,-0.47,neg_then_up,negative,up
2007-01-26,2.64,2.61,5.32,pos_then_up,positive,up
2007-07-16,0.32,0.81,1.13,pos_then_up,positive,up
2007-10-15,0.27,-0.44,-0.17,pos_then_down,positive,down
2008-01-25,-0.05,-1.12,-1.17,neg_then_down,negative,down
2008-04-14,0.99,0.11,1.1,pos_then_up,positive,up
2008-07-15,0.64,2.37,3.03,pos_then_up,positive,up
2008-10-14,-1.67,-8.29,-9.82,neg_then_down,negative,down
2009-01-26,0.73,2.55,3.3,pos_then_up,positive,up
2009-04-14,0.68,-1.13,-0.46,pos_then_down,positive,down
2009-10-14,-0.09,2.41,2.33,neg_then_up,negative,up
2010-01-26,0.13,0.57,0.7,pos_then_up,positive,up
2010-04-14,-1.48,-1.57,-3.03,neg_then_down,negative,down
2010-07-15,-0.46,-1.33,-1.79,neg_then_down,negative,down
2010-10-14,0.89,-1.14,-0.26,pos_then_down,positive,down
2011-01-25,-0.51,0.22,-0.29,neg_then_up,negative,up
2011-04-18,0.37,0.04,0.41,pos_then_up,positive,up
2011-07-19,0.77,-1.14,-0.37,pos_then_down,positive,down
2011-10-18,0.38,-2.01,-1.63,pos_then_down,positive,down
2012-01-25,-0.37,-0.95,-1.32,neg_then_down,negative,down
2012-04-17,0.21,0.31,0.52,pos_then_up,positive,up
2012-07-18,-0.03,-2.27,-2.3,neg_then_down,negative,down
2012-10-16,0.2,-0.35,-0.15,pos_then_down,positive,down
2013-01-24,0.14,1.15,1.3,pos_then_up,positive,up
2013-04-16,-2.0,0.47,-1.54,neg_then_up,negative,up
2013-10-16,-0.57,2.19,1.6,neg_then_up,negative,up
2014-01-24,-0.07,-1.14,-1.21,neg_then_down,negative,down
2014-04-16,-0.26,1.05,0.78,neg_then_up,negative,up
2014-07-17,0.36,0.25,0.6,pos_then_up,positive,up
2014-10-16,1.32,-0.37,0.95,pos_then_down,positive,down
2015-01-26,-1.81,0.49,-1.33,neg_then_up,negative,up
2015-04-16,-0.81,-0.24,-1.05,neg_then_down,negative,down
2015-07-17,-0.05,0.79,0.75,neg_then_up,negative,up
2015-10-16,-0.47,-2.28,-2.74,neg_then_down,negative,down
2016-01-26,0.41,-0.88,-0.47,pos_then_down,positive,down
2016-04-18,0.42,-1.16,-0.75,pos_then_down,positive,down
2016-07-19,-0.3,-0.03,-0.34,neg_then_down,negative,down
2016-10-18,-0.2,-0.22,-0.42,neg_then_down,negative,down
2017-01-25,0.08,1.19,1.28,pos_then_up,positive,up
2017-04-18,-0.82,-0.31,-1.12,neg_then_down,negative,down
2017-07-19,0.72,1.6,2.32,pos_then_up,positive,up
2017-10-17,1.8,-0.14,1.65,pos_then_down,positive,down
2018-01-24,1.11,4.16,5.32,pos_then_up,positive,up
2018-04-19,0.87,-4.66,-3.83,pos_then_down,positive,down
2018-07-18,0.78,-0.05,0.73,pos_then_down,positive,down
2018-10-16,0.38,-0.61,-0.24,pos_then_down,positive,down
2019-01-24,0.59,1.37,1.96,pos_then_up,positive,up
2019-04-22,-1.01,1.71,0.68,neg_then_up,negative,up
2019-07-24,0.22,-1.51,-1.3,pos_then_down,positive,down
2019-10-23,0.46,0.42,0.89,pos_then_up,positive,up
2020-01-30,-0.99,-2.19,-3.16,neg_then_down,negative,down
2020-04-23,0.63,3.68,4.33,pos_then_up,positive,up
2020-07-23,0.11,0.69,0.81,pos_then_up,positive,up
2020-10-22,0.32,-0.59,-0.27,pos_then_down,positive,down
2021-02-03,0.63,0.97,1.61,pos_then_up,positive,up
2021-04-30,1.16,1.21,2.39,pos_then_up,positive,up
2021-07-30,-1.06,0.07,-0.99,neg_then_up,negative,up
2021-10-29,0.41,0.63,1.04,pos_then_up,positive,up
2022-02-03,-0.25,-3.68,-3.92,neg_then_down,negative,down
2022-04-28,-0.17,-2.73,-2.89,neg_then_down,negative,down
2022-07-29,-0.47,1.59,1.12,neg_then_up,negative,up
2022-10-28,0.04,1.43,1.47,pos_then_up,positive,up
2023-02-02,-0.52,0.55,0.04,neg_then_up,negative,up
2023-04-27,0.33,-0.45,-0.11,pos_then_down,positive,down
2023-07-27,0.93,-0.01,0.92,pos_then_down,positive,down
2023-10-26,0.37,0.64,1.01,pos_then_up,positive,up
2024-02-02,-1.29,-1.5,-2.77,neg_then_down,negative,down
2024-04-25,-1.34,-0.63,-1.96,neg_then_down,negative,down
2024-08-01,-0.5,1.61,1.11,neg_then_up,negative,up
2024-10-31,0.21,-0.58,-0.38,pos_then_down,positive,down
2025-01-31,-1.78,0.28,-1.5,neg_then_up,negative,up
2025-05-01,0.37,1.01,1.38,pos_then_up,positive,up
2025-08-01,-0.3,0.93,0.63,neg_then_up,negative,up
