date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2008-04-16,-5.52,0.8,6.7,neg_then_up,negative,up
2008-07-17,-3.26,-11.9,-8.94,neg_then_down,negative,down
2008-10-16,-2.64,-2.43,0.22,neg_then_up,negative,up
2009-01-22,-3.12,2.19,5.48,neg_then_up,negative,up
2009-04-21,-3.77,-2.9,0.9,neg_then_up,negative,up
2009-07-23,-1.88,-1.61,0.27,neg_then_up,negative,up
2009-10-22,-0.23,-4.98,-4.76,neg_then_down,negative,down
2010-01-22,1.71,2.35,0.63,pos_then_up,positive,up
2010-04-21,1.37,4.55,3.14,pos_then_up,positive,up
2010-07-22,-0.17,3.59,3.77,neg_then_up,negative,up
2010-10-21,0.71,1.25,0.53,pos_then_up,positive,up
2011-01-20,1.75,2.48,0.72,pos_then_up,positive,up
2011-04-20,1.25,4.37,3.09,pos_then_up,positive,up
2011-07-21,-0.82,0.82,1.66,neg_then_up,negative,up
2011-10-20,1.43,0.41,-1.01,pos_then_down,positive,down
2012-01-19,-1.73,2.25,4.04,neg_then_up,negative,up
2012-04-18,0.47,0.78,0.31,pos_then_up,positive,up
2012-07-19,-0.92,-3.36,-2.47,neg_then_down,negative,down
2012-10-18,0.3,-2.42,-2.71,pos_then_down,positive,down
2013-01-17,1.0,0.0,-0.99,pos_then_down,positive,down
2013-04-17,-0.86,-2.14,-1.29,neg_then_down,negative,down
2013-10-17,0.68,0.23,-0.45,pos_then_down,positive,down
2014-01-16,0.52,0.0,-0.52,pos_then_down,positive,down
2014-04-16,-2.26,-1.07,1.21,neg_then_up,negative,up
2014-07-18,1.13,-0.1,-1.22,pos_then_down,positive,down
2014-10-17,-0.77,-0.11,0.66,neg_then_up,negative,up
2015-01-22,-0.1,-1.08,-0.99,neg_then_down,negative,down
2015-04-22,-0.27,-0.82,-0.55,neg_then_down,negative,down
2015-07-23,0.51,0.26,-0.25,pos_then_down,positive,down
2015-10-22,0.92,2.39,1.46,pos_then_up,positive,up
2016-01-21,1.0,1.67,0.66,pos_then_up,positive,up
2016-04-20,-0.68,-0.58,0.1,neg_then_up,negative,up
2016-10-26,0.75,0.47,-0.28,pos_then_down,positive,down
2017-01-25,0.64,-0.07,-0.71,pos_then_down,positive,down
2017-04-19,0.4,1.03,0.63,pos_then_up,positive,up
2017-07-21,0.15,1.7,1.54,pos_then_up,positive,up
2017-10-25,-0.58,0.22,0.8,neg_then_up,negative,up
2018-01-23,0.56,0.44,-0.12,pos_then_down,positive,down
2018-04-24,0.2,1.41,1.21,pos_then_up,positive,up
2018-07-25,0.46,1.39,0.92,pos_then_up,positive,up
2018-10-23,-0.29,-4.84,-4.57,neg_then_down,negative,down
2019-01-24,0.82,0.74,-0.07,pos_then_down,positive,down
2019-07-25,0.14,1.39,1.25,pos_then_up,positive,up
2019-10-24,-0.63,1.05,1.69,neg_then_up,negative,up
2020-04-23,2.27,3.03,0.74,pos_then_up,positive,up
2020-07-23,0.62,-1.03,-1.64,pos_then_down,positive,down
2020-10-22,1.16,0.87,-0.29,pos_then_down,positive,down
2021-01-22,-1.52,-2.6,-1.1,neg_then_down,negative,down
2021-04-22,0.14,3.04,2.9,pos_then_up,positive,up
2021-07-29,-0.14,-1.95,-1.81,neg_then_down,negative,down
2021-10-28,-0.31,-1.13,-0.82,neg_then_down,negative,down
2022-01-21,-0.59,3.03,3.64,neg_then_up,negative,up
2022-04-21,1.77,-2.41,-4.11,pos_then_down,positive,down
2022-07-21,0.37,-2.4,-2.76,pos_then_down,positive,down
2022-10-21,1.04,2.77,1.71,pos_then_up,positive,up
2023-01-20,0.5,4.46,3.95,pos_then_up,positive,up
2023-04-20,-0.34,-1.63,-1.29,neg_then_down,negative,down
2023-07-21,0.59,2.8,2.19,pos_then_up,positive,up
2023-10-20,0.41,-0.73,-1.14,pos_then_down,positive,down
2024-01-19,0.86,1.65,0.78,pos_then_up,positive,up
2024-07-19,0.07,1.01,0.94,pos_then_up,positive,up
2024-10-17,0.97,-0.45,-1.41,pos_then_down,positive,down
2025-01-17,0.29,0.53,0.23,pos_then_up,positive,up
2025-04-17,-0.66,-1.46,-0.81,neg_then_down,negative,down
2025-07-14,0.23,-2.99,-3.21,pos_then_down,positive,down
2025-10-17,1.94,2.19,0.25,pos_then_up,positive,up
