date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2015-11-24,1.61,3.14,1.51,pos_then_up,positive,up
2016-03-02,0.07,-2.16,-2.23,pos_then_down,positive,down
2016-05-24,12.8,6.77,-5.35,pos_then_down,positive,down
2016-09-07,-0.41,-3.21,-2.82,neg_then_down,negative,down
2016-11-22,-0.74,2.97,3.74,neg_then_up,negative,up
2017-02-23,-10.28,-6.89,3.77,neg_then_up,negative,up
2017-05-31,-2.45,-6.86,-4.52,neg_then_down,negative,down
2017-09-05,1.78,-1.92,-3.64,pos_then_down,positive,down
2017-11-21,-6.52,-7.22,-0.76,neg_then_down,negative,down
2018-02-13,-0.39,4.4,4.8,neg_then_up,negative,up
2018-05-22,-3.22,-10.51,-7.54,neg_then_down,negative,down
2018-08-28,1.73,-0.18,-1.88,pos_then_down,positive,down
2018-12-04,-1.59,6.45,8.17,neg_then_up,negative,up
2019-02-13,-0.87,-0.37,0.5,neg_then_up,negative,up
2019-05-23,-0.28,0.49,0.77,neg_then_up,negative,up
2019-08-27,4.41,3.4,-0.96,pos_then_down,positive,down
2019-11-25,-5.56,-8.48,-3.09,neg_then_down,negative,down
2020-02-13,0.2,-1.77,-1.97,pos_then_down,positive,down
2020-05-21,-9.27,-11.49,-2.45,neg_then_down,negative,down
2020-08-25,8.25,3.64,-4.26,pos_then_down,positive,down
2020-12-01,-0.8,2.86,3.69,neg_then_up,negative,up
2021-02-04,0.23,1.39,1.15,pos_then_up,positive,up
2021-06-01,-1.37,-0.12,1.26,neg_then_up,negative,up
2021-09-02,1.2,0.58,-0.61,pos_then_down,positive,down
2021-11-30,-2.23,-0.98,1.28,neg_then_up,negative,up
2022-03-01,5.26,10.25,4.75,pos_then_up,positive,up
2022-06-01,-6.02,-5.2,0.88,neg_then_up,negative,up
2022-08-30,0.44,-0.37,-0.8,pos_then_down,positive,down
2022-11-29,1.94,8.54,6.47,pos_then_up,positive,up
2023-02-09,0.06,1.23,1.17,pos_then_up,positive,up
2023-05-30,-10.7,-7.09,4.04,neg_then_up,negative,up
2023-08-07,-0.91,2.96,3.91,neg_then_up,negative,up
2023-11-28,4.57,6.44,1.79,pos_then_up,positive,up
2024-06-04,15.62,10.68,-4.28,pos_then_down,positive,down
2024-09-04,-8.63,-6.02,2.86,neg_then_up,negative,up
2024-12-05,4.76,10.62,5.6,pos_then_up,positive,up
2025-03-06,-15.03,-11.97,3.6,neg_then_up,negative,up
2025-06-03,8.37,0.85,-6.94,pos_then_down,positive,down
2025-09-03,4.73,1.49,-3.1,pos_then_down,positive,down
