date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-11-24,-0.36,-0.26,0.1,neg_then_up,negative,up
2005-02-22,0.98,-1.05,-2.01,pos_then_down,positive,down
2005-05-26,0.76,-0.3,-1.06,pos_then_down,positive,down
2005-08-25,0.13,2.9,2.77,pos_then_up,positive,up
2005-11-23,-0.24,-0.37,-0.12,neg_then_down,negative,down
2006-02-27,-0.29,1.26,1.56,neg_then_up,negative,up
2006-05-25,0.98,-0.17,-1.14,pos_then_down,positive,down
2006-08-24,-0.69,0.05,0.75,neg_then_up,negative,up
2006-11-22,-0.34,0.32,0.66,neg_then_up,negative,up
2007-02-16,-0.11,-0.47,-0.37,neg_then_down,negative,down
2007-05-24,0.03,-1.81,-1.84,pos_then_down,positive,down
2007-08-23,3.45,2.76,-0.67,pos_then_down,positive,down
2007-11-20,-0.87,0.87,1.75,neg_then_up,negative,up
2008-02-15,0.84,1.83,0.98,pos_then_up,positive,up
2008-05-22,0.05,-2.26,-2.31,pos_then_down,positive,down
2008-08-21,0.62,0.34,-0.28,pos_then_down,positive,down
2008-11-25,-0.35,-7.84,-7.52,neg_then_down,negative,down
2009-02-19,-1.34,-2.53,-1.2,neg_then_down,negative,down
2009-05-21,-0.36,1.72,2.09,neg_then_up,negative,up
2009-08-20,0.51,1.47,0.96,pos_then_up,positive,up
2009-11-24,0.08,-0.42,-0.5,pos_then_down,positive,down
2010-02-18,-1.44,-1.73,-0.29,neg_then_down,negative,down
2010-05-19,-0.79,-1.16,-0.37,neg_then_down,negative,down
2010-08-20,0.62,0.51,-0.11,pos_then_down,positive,down
2011-02-22,-0.4,-2.16,-1.76,neg_then_down,negative,down
2011-05-25,0.1,1.26,1.15,pos_then_up,positive,up
2011-08-25,0.23,1.56,1.32,pos_then_up,positive,up
2011-11-22,-0.31,-1.94,-1.64,neg_then_down,negative,down
2012-02-23,0.35,1.34,0.98,pos_then_up,positive,up
2012-05-23,0.47,0.61,0.13,pos_then_up,positive,up
2012-08-23,0.03,-0.14,-0.17,pos_then_down,positive,down
2012-11-20,-0.7,1.3,2.01,neg_then_up,negative,up
2013-02-21,0.33,1.7,1.37,pos_then_up,positive,up
2013-05-23,-0.24,0.65,0.9,neg_then_up,negative,up
2013-08-22,-0.02,-0.09,-0.07,neg_then_down,negative,down
2013-11-26,0.09,0.18,0.09,pos_then_up,positive,up
2014-02-20,0.43,1.13,0.69,pos_then_up,positive,up
2014-05-21,-0.62,-1.76,-1.15,neg_then_down,negative,down
2014-08-21,0.96,0.08,-0.87,pos_then_down,positive,down
2015-02-19,-0.07,0.47,0.54,neg_then_up,negative,up
2015-05-20,-0.45,-1.07,-0.62,neg_then_down,negative,down
2015-08-19,0.7,3.87,3.15,pos_then_up,positive,up
2015-11-24,1.29,3.13,1.81,pos_then_up,positive,up
2016-02-16,0.04,0.07,0.02,pos_then_up,positive,up
2016-05-18,-0.03,-0.31,-0.28,neg_then_down,negative,down
2016-08-18,0.57,4.37,3.79,pos_then_up,positive,up
2016-11-22,-0.28,-1.76,-1.48,neg_then_down,negative,down
2017-02-23,-0.28,-1.79,-1.51,neg_then_down,negative,down
2017-05-25,-0.12,-0.03,0.09,neg_then_up,negative,up
2017-08-24,-1.99,-2.34,-0.35,neg_then_down,negative,down
2017-11-21,-0.58,-0.72,-0.15,neg_then_down,negative,down
2018-02-22,0.21,-1.09,-1.3,pos_then_down,positive,down
2018-05-24,-0.51,1.24,1.76,neg_then_up,negative,up
2018-08-23,-0.43,1.69,2.13,neg_then_up,negative,up
2018-11-20,0.31,1.07,0.75,pos_then_up,positive,up
2019-02-21,-1.81,2.19,4.07,neg_then_up,negative,up
2019-05-23,0.08,2.91,2.83,pos_then_up,positive,up
2019-08-22,-0.58,-2.21,-1.64,neg_then_down,negative,down
2020-02-20,-0.79,-1.67,-0.89,neg_then_down,negative,down
2020-05-21,-1.15,2.0,3.19,neg_then_up,negative,up
2020-08-25,-0.64,-1.09,-0.45,neg_then_down,negative,down
2020-11-24,-0.83,-0.72,0.11,neg_then_up,negative,up
2021-02-18,0.13,-0.82,-0.95,pos_then_down,positive,down
2021-05-20,0.02,0.12,0.1,pos_then_up,positive,up
2021-09-02,-0.39,-1.74,-1.36,neg_then_down,negative,down
2021-12-09,0.89,2.68,1.77,pos_then_up,positive,up
2022-03-01,-0.38,1.9,2.29,neg_then_up,negative,up
2022-06-02,-0.31,-1.4,-1.1,neg_then_down,negative,down
2022-09-01,0.38,-1.26,-1.63,pos_then_down,positive,down
2023-03-02,-1.98,-2.87,-0.9,neg_then_down,negative,down
2023-06-01,0.17,1.42,1.24,pos_then_up,positive,up
2023-08-31,-0.36,-0.49,-0.13,neg_then_down,negative,down
2023-11-29,0.1,0.39,0.3,pos_then_up,positive,up
2024-05-30,-0.26,0.62,0.88,neg_then_up,negative,up
2024-09-04,1.13,3.55,2.39,pos_then_up,positive,up
2024-12-04,0.47,2.72,2.24,pos_then_up,positive,up
2025-02-27,0.95,0.88,-0.07,pos_then_down,positive,down
2025-05-29,0.46,0.99,0.52,pos_then_up,positive,up
2025-08-28,0.12,0.87,0.75,pos_then_up,positive,up
2025-10-29,0.37,-0.93,-1.3,pos_then_down,positive,down
