date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-13,0.34,-0.07,-0.41,pos_then_down,positive,down
2005-02-24,0.63,3.23,2.58,pos_then_up,positive,up
2005-07-20,0.38,-0.54,-0.92,pos_then_down,positive,down
2005-10-12,-0.6,-0.66,-0.06,neg_then_down,negative,down
2006-02-23,-0.65,-1.51,-0.86,neg_then_down,negative,down
2006-04-26,-0.1,2.21,2.31,neg_then_up,negative,up
2006-07-19,1.11,-1.42,-2.49,pos_then_down,positive,down
2007-04-25,0.04,-0.08,-0.11,pos_then_down,positive,down
2007-07-18,0.67,1.09,0.42,pos_then_up,positive,up
2008-02-20,0.12,-2.83,-2.95,pos_then_down,positive,down
2008-04-23,-0.42,1.73,2.16,neg_then_up,negative,up
2008-07-16,-3.43,1.92,5.54,neg_then_up,negative,up
2008-10-10,6.57,9.7,2.93,pos_then_up,positive,up
2009-02-18,18.98,-6.08,-21.06,pos_then_down,positive,down
2009-04-23,5.77,9.86,3.86,pos_then_up,positive,up
2009-07-22,0.87,7.83,6.9,pos_then_up,positive,up
2009-10-14,-3.54,-3.13,0.43,neg_then_up,negative,up
2010-02-17,-3.56,-1.1,2.55,neg_then_up,negative,up
2010-04-28,1.75,4.88,3.07,pos_then_up,positive,up
2010-07-21,1.84,2.72,0.87,pos_then_up,positive,up
2010-10-13,-0.44,0.25,0.69,neg_then_up,negative,up
2011-02-15,0.74,0.32,-0.42,pos_then_down,positive,down
2011-04-28,0.06,-0.67,-0.73,pos_then_down,positive,down
2011-07-20,0.89,0.18,-0.7,pos_then_down,positive,down
2011-10-12,-2.7,0.0,2.78,neg_then_up,negative,up
2012-04-25,-0.12,0.24,0.36,neg_then_up,negative,up
2012-07-17,-0.45,-0.71,-0.26,neg_then_down,negative,down
2012-10-10,-0.7,1.15,1.86,neg_then_up,negative,up
2013-02-21,0.79,2.8,1.99,pos_then_up,positive,up
2013-05-03,0.22,0.49,0.27,pos_then_up,positive,up
2013-08-02,-0.11,-2.32,-2.22,neg_then_down,negative,down
2013-11-05,2.12,0.27,-1.82,pos_then_down,positive,down
2014-02-19,0.47,1.04,0.57,pos_then_up,positive,up
2014-05-01,-0.28,-0.14,0.14,neg_then_up,negative,up
2014-07-31,-0.28,-0.51,-0.23,neg_then_down,negative,down
2014-10-30,1.52,1.44,-0.09,pos_then_down,positive,down
2015-02-19,-0.5,-0.46,0.05,neg_then_up,negative,up
2015-04-30,0.25,0.89,0.64,pos_then_up,positive,up
2015-07-30,-0.66,-0.87,-0.21,neg_then_down,negative,down
2015-10-29,0.12,0.52,0.41,pos_then_up,positive,up
2016-02-17,0.47,2.34,1.86,pos_then_up,positive,up
2016-04-29,0.51,1.2,0.69,pos_then_up,positive,up
2016-07-29,-0.51,0.85,1.36,neg_then_up,negative,up
2016-11-02,-0.66,-2.69,-2.05,neg_then_down,negative,down
2017-02-22,0.33,-1.74,-2.06,pos_then_down,positive,down
2017-04-28,0.5,0.56,0.06,pos_then_up,positive,up
2017-11-01,-1.52,-1.37,0.15,neg_then_up,negative,up
2018-02-21,-2.19,-0.57,1.65,neg_then_up,negative,up
2018-05-02,0.31,0.0,-0.31,pos_then_down,positive,down
2018-08-07,0.37,-3.88,-4.24,pos_then_down,positive,down
2018-11-01,2.02,-3.36,-5.27,pos_then_down,positive,down
2019-02-19,2.0,6.26,4.18,pos_then_up,positive,up
2019-05-01,0.1,0.62,0.51,pos_then_up,positive,up
2019-08-06,-1.67,-0.84,0.85,neg_then_up,negative,up
2019-11-05,0.46,0.11,-0.34,pos_then_down,positive,down
2020-02-19,3.71,2.81,-0.87,pos_then_down,positive,down
2020-05-07,1.81,0.09,-1.69,pos_then_down,positive,down
2020-07-31,-1.02,-4.36,-3.37,neg_then_down,negative,down
2020-11-04,0.27,-0.55,-0.82,pos_then_down,positive,down
2021-02-18,0.69,4.43,3.72,pos_then_up,positive,up
2021-05-04,0.97,-0.23,-1.18,pos_then_down,positive,down
2021-08-03,-2.09,-3.99,-1.94,neg_then_down,negative,down
2021-11-03,-0.39,0.67,1.07,neg_then_up,negative,up
2022-02-16,0.98,-0.05,-1.03,pos_then_down,positive,down
2022-05-04,3.83,-1.89,-5.5,pos_then_down,positive,down
2022-08-03,9.0,1.96,-6.46,pos_then_down,positive,down
2022-11-02,0.56,-5.61,-6.13,pos_then_down,positive,down
2023-02-15,-7.76,-5.86,2.06,neg_then_up,negative,up
2023-05-03,5.1,6.39,1.23,pos_then_up,positive,up
2023-08-02,-7.49,-7.38,0.12,neg_then_up,negative,up
2023-11-01,1.92,4.49,2.52,pos_then_up,positive,up
2024-02-21,0.54,2.23,1.67,pos_then_up,positive,up
2024-05-01,0.74,-2.07,-2.79,pos_then_down,positive,down
2024-07-31,-4.05,-4.34,-0.3,neg_then_down,negative,down
2024-11-06,2.0,0.06,-1.91,pos_then_down,positive,down
2025-02-19,-2.22,-1.87,0.36,neg_then_up,negative,up
2025-04-30,4.89,2.9,-1.89,pos_then_down,positive,down
2025-07-30,1.36,-2.54,-3.85,pos_then_down,positive,down
2025-11-05,4.26,6.85,2.49,pos_then_up,positive,up
