date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-21,0.18,-1.34,-1.52,pos_then_down,positive,down
2005-01-26,0.23,2.34,2.11,pos_then_up,positive,up
2005-07-21,0.51,0.67,0.16,pos_then_up,positive,up
2005-10-20,-0.17,0.34,0.51,neg_then_up,negative,up
2005-12-21,0.3,-0.35,-0.65,pos_then_down,positive,down
2006-04-20,2.71,2.91,0.2,pos_then_up,positive,up
2006-07-20,-0.2,-0.07,0.12,neg_then_up,negative,up
2006-10-19,2.02,1.33,-0.68,pos_then_down,positive,down
2007-01-24,0.22,-1.18,-1.4,pos_then_down,positive,down
2007-04-19,0.06,0.98,0.93,pos_then_up,positive,up
2007-07-19,-0.23,-1.26,-1.03,neg_then_down,negative,down
2007-10-18,-0.93,-3.09,-2.18,neg_then_down,negative,down
2008-01-24,0.76,-4.6,-5.31,pos_then_down,positive,down
2008-04-24,0.32,-0.03,-0.34,pos_then_down,positive,down
2008-07-23,-0.03,-1.68,-1.66,neg_then_down,negative,down
2008-10-16,-1.87,-0.11,1.79,neg_then_up,negative,up
2009-01-27,0.51,-0.35,-0.85,pos_then_down,positive,down
2009-04-23,0.48,-3.39,-3.85,pos_then_down,positive,down
2009-07-23,-2.27,-1.99,0.29,neg_then_up,negative,up
2009-10-22,-0.46,-3.23,-2.78,neg_then_down,negative,down
2010-02-02,0.08,-0.13,-0.21,pos_then_down,positive,down
2010-04-22,0.29,1.33,1.04,pos_then_up,positive,up
2010-07-22,0.13,-1.13,-1.25,pos_then_down,positive,down
2010-10-21,0.14,1.2,1.05,pos_then_up,positive,up
2011-02-02,1.34,3.87,2.5,pos_then_up,positive,up
2011-04-26,-0.35,0.66,1.02,neg_then_up,negative,up
2011-07-26,-0.43,-1.8,-1.37,neg_then_down,negative,down
2011-10-27,0.16,-0.02,-0.17,pos_then_down,positive,down
2012-02-01,0.39,0.41,0.02,pos_then_up,positive,up
2012-04-24,0.29,0.91,0.62,pos_then_up,positive,up
2012-07-26,0.6,1.04,0.43,pos_then_up,positive,up
2012-10-25,-0.16,-0.74,-0.59,neg_then_down,negative,down
2013-01-31,0.69,0.87,0.17,pos_then_up,positive,up
2013-04-25,-0.42,-1.48,-1.07,neg_then_down,negative,down
2013-07-25,-0.48,0.6,1.08,neg_then_up,negative,up
2013-10-24,0.32,0.73,0.4,pos_then_up,positive,up
2014-01-30,-1.13,0.15,1.29,neg_then_up,negative,up
2014-04-24,0.03,0.35,0.32,pos_then_up,positive,up
2014-07-15,-1.54,-2.45,-0.92,neg_then_down,negative,down
2014-10-29,-0.63,0.81,1.44,neg_then_up,negative,up
2015-01-29,-0.92,-1.05,-0.13,neg_then_down,negative,down
2015-04-23,0.23,-0.32,-0.55,pos_then_down,positive,down
2015-08-07,0.48,2.32,1.83,pos_then_up,positive,up
2015-10-28,-0.05,0.82,0.86,neg_then_up,negative,up
2016-01-28,0.29,1.28,0.99,pos_then_up,positive,up
2016-04-26,0.27,1.42,1.15,pos_then_up,positive,up
2016-07-28,-0.3,-0.53,-0.23,neg_then_down,negative,down
2016-10-28,0.04,0.06,0.02,pos_then_up,positive,up
2017-02-03,0.02,0.4,0.38,pos_then_up,positive,up
2017-04-26,0.27,-0.11,-0.38,pos_then_down,positive,down
2017-07-26,0.06,0.42,0.37,pos_then_up,positive,up
2017-10-26,-0.11,1.18,1.28,neg_then_up,negative,up
2018-02-01,-1.39,-0.77,0.63,neg_then_up,negative,up
2018-04-26,-1.07,0.1,1.18,neg_then_up,negative,up
2018-07-26,-0.49,-2.68,-2.2,neg_then_down,negative,down
2018-10-25,-0.54,-0.31,0.23,neg_then_up,negative,up
2019-01-31,-0.05,-1.24,-1.2,neg_then_down,negative,down
2019-04-25,0.05,2.23,2.18,pos_then_up,positive,up
2019-07-25,0.82,2.18,1.34,pos_then_up,positive,up
2020-01-30,-0.4,-1.88,-1.48,neg_then_down,negative,down
2020-04-23,-0.64,-0.85,-0.21,neg_then_down,negative,down
2020-07-23,0.48,-0.44,-0.92,pos_then_down,positive,down
2020-11-06,2.12,0.21,-1.87,pos_then_down,positive,down
2021-02-04,0.46,-0.42,-0.88,pos_then_down,positive,down
2021-04-29,-0.18,0.05,0.23,neg_then_up,negative,up
2021-07-29,0.07,0.2,0.13,pos_then_up,positive,up
2021-10-28,-1.77,-2.26,-0.49,neg_then_down,negative,down
2022-02-03,-0.13,-0.56,-0.43,neg_then_down,negative,down
2022-04-28,-0.36,-0.97,-0.62,neg_then_down,negative,down
2022-07-28,0.29,1.65,1.35,pos_then_up,positive,up
2022-11-04,0.37,0.12,-0.25,pos_then_down,positive,down
2023-02-02,0.32,0.79,0.48,pos_then_up,positive,up
2023-04-27,-0.67,-0.1,0.57,neg_then_up,negative,up
2023-07-27,0.5,0.89,0.39,pos_then_up,positive,up
2023-10-26,-0.87,-2.61,-1.76,neg_then_down,negative,down
2024-02-08,-0.52,-3.39,-2.88,neg_then_down,negative,down
2024-05-03,0.01,-0.72,-0.73,pos_then_down,positive,down
2024-11-07,-0.2,1.63,1.84,neg_then_up,negative,up
2025-02-06,1.13,1.7,0.56,pos_then_up,positive,up
2025-05-01,-0.23,-2.26,-2.03,neg_then_down,negative,down
2025-07-30,-1.33,-1.43,-0.1,neg_then_down,negative,down
2025-10-30,0.19,-0.89,-1.08,pos_then_down,positive,down
