date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-21,-0.24,-2.13,-2.37,neg_then_down,negative,down
2004-04-20,0.18,0.07,0.25,pos_then_up,positive,up
2004-10-19,-0.27,2.38,2.1,neg_then_up,negative,up
2005-01-20,-0.22,-0.88,-1.09,neg_then_down,negative,down
2005-04-19,0.79,-2.72,-1.96,pos_then_down,positive,down
2005-07-19,-0.22,-0.58,-0.8,neg_then_down,negative,down
2006-04-20,0.38,0.51,0.89,pos_then_up,positive,up
2006-07-20,-0.13,-1.85,-1.97,neg_then_down,negative,down
2007-01-25,-0.15,-0.19,-0.34,neg_then_down,negative,down
2007-04-26,-0.56,-0.91,-1.47,neg_then_down,negative,down
2007-07-27,-0.5,2.3,1.79,neg_then_up,negative,up
2007-10-25,0.08,-0.62,-0.54,pos_then_down,positive,down
2008-01-24,-2.53,3.89,1.25,neg_then_up,negative,up
2008-04-24,0.47,0.22,0.7,pos_then_up,positive,up
2008-07-25,-1.14,0.37,-0.78,neg_then_up,negative,up
2008-10-23,-5.56,4.17,-1.63,neg_then_up,negative,up
2009-01-28,-1.13,-2.08,-3.19,neg_then_down,negative,down
2009-04-23,0.56,1.27,1.83,pos_then_up,positive,up
2009-07-22,0.52,9.0,9.56,pos_then_up,positive,up
2009-10-22,-0.31,-0.11,-0.42,neg_then_down,negative,down
2010-01-28,0.23,-3.28,-3.06,pos_then_down,positive,down
2010-04-22,-0.24,-2.17,-2.41,neg_then_down,negative,down
2010-07-22,0.13,1.72,1.85,pos_then_up,positive,up
2010-10-21,0.38,-0.02,0.37,pos_then_down,positive,down
2011-01-27,0.05,-3.03,-2.98,pos_then_down,positive,down
2011-04-21,1.65,-2.25,-0.64,pos_then_down,positive,down
2011-10-20,1.19,1.36,2.57,pos_then_up,positive,up
2012-01-26,0.28,-0.18,0.1,pos_then_down,positive,down
2012-04-19,0.79,0.67,1.47,pos_then_up,positive,up
2012-07-19,-0.66,0.68,0.01,neg_then_up,negative,up
2012-10-18,-0.59,-1.35,-1.94,neg_then_down,negative,down
2013-01-24,0.58,2.27,2.86,pos_then_up,positive,up
2013-04-18,0.22,1.16,1.38,pos_then_up,positive,up
2013-07-18,0.07,0.17,0.24,pos_then_up,positive,up
2013-10-17,0.14,0.09,0.23,pos_then_up,positive,up
2014-01-28,-0.59,-0.33,-0.91,neg_then_down,negative,down
2014-04-22,-0.19,-0.92,-1.1,neg_then_down,negative,down
2014-07-22,0.1,-1.33,-1.23,pos_then_down,positive,down
2014-10-14,-1.91,1.44,-0.5,neg_then_up,negative,up
2015-01-29,-0.51,-1.77,-2.27,neg_then_down,negative,down
2015-04-23,-0.44,-0.47,-0.91,neg_then_down,negative,down
2015-07-23,-0.2,-2.02,-2.21,neg_then_down,negative,down
2015-10-22,-0.17,1.0,0.82,neg_then_up,negative,up
2016-01-28,-0.54,2.85,2.3,neg_then_up,negative,up
2016-04-26,-0.23,-0.04,-0.27,neg_then_down,negative,down
2016-07-26,0.02,-0.54,-0.53,pos_then_down,positive,down
2016-10-25,-1.26,1.64,0.36,neg_then_up,negative,up
2017-01-31,0.82,-0.73,0.08,pos_then_down,positive,down
2017-04-25,-0.48,-2.08,-2.55,neg_then_down,negative,down
2017-07-25,0.02,-1.92,-1.91,pos_then_down,positive,down
2017-10-24,0.02,0.49,0.51,pos_then_up,positive,up
2018-01-30,0.99,-3.02,-2.05,pos_then_down,positive,down
2018-04-24,-3.68,2.45,-1.32,neg_then_up,negative,up
2018-07-24,1.66,0.76,2.44,pos_then_up,positive,up
2018-10-23,0.04,-5.08,-5.05,pos_then_down,positive,down
2019-02-05,0.27,0.88,1.16,pos_then_up,positive,up
2019-04-30,0.22,-0.66,-0.45,pos_then_down,positive,down
2019-07-30,-0.36,-0.97,-1.32,neg_then_down,negative,down
2019-10-29,0.07,1.08,1.15,pos_then_up,positive,up
2020-02-04,1.35,1.92,3.29,pos_then_up,positive,up
2020-04-15,-0.18,-1.02,-1.2,neg_then_down,negative,down
2020-07-30,0.44,1.2,1.64,pos_then_up,positive,up
2020-10-27,-1.1,-1.7,-2.78,neg_then_down,negative,down
2021-02-02,0.51,1.36,1.87,pos_then_up,positive,up
2021-04-27,-0.1,-1.27,-1.37,neg_then_down,negative,down
2021-07-27,0.34,-0.48,-0.14,pos_then_down,positive,down
2021-10-26,-0.09,-0.26,-0.34,neg_then_down,negative,down
2022-02-03,0.06,0.62,0.68,pos_then_up,positive,up
2022-04-26,-0.01,0.54,0.53,neg_then_up,negative,up
2022-07-26,0.37,2.38,2.76,pos_then_up,positive,up
2022-10-25,1.34,-1.03,0.3,pos_then_down,positive,down
2023-01-31,1.22,2.87,4.12,pos_then_up,positive,up
2023-04-25,0.15,0.09,0.24,pos_then_up,positive,up
2023-07-25,0.89,-3.53,-2.67,pos_then_down,positive,down
2023-10-31,1.72,1.59,3.33,pos_then_up,positive,up
2024-01-30,-0.55,-2.0,-2.54,neg_then_down,negative,down
2024-04-30,-0.76,1.52,0.75,neg_then_up,negative,up
2024-07-30,3.15,0.99,4.17,pos_then_up,positive,up
2024-10-29,-0.82,-1.12,-1.92,neg_then_down,negative,down
2025-02-04,1.2,-1.4,-0.21,pos_then_down,positive,down
2025-05-01,1.9,1.8,3.73,pos_then_up,positive,up
2025-07-29,1.19,1.16,2.37,pos_then_up,positive,up
2025-10-28,1.75,2.0,3.78,pos_then_up,positive,up
