date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-16,-0.13,2.33,2.2,neg_then_up,negative,up
2004-01-22,0.23,-0.12,0.12,pos_then_down,positive,down
2004-04-22,0.21,1.6,1.81,pos_then_up,positive,up
2004-07-22,-0.32,-0.9,-1.22,neg_then_down,negative,down
2004-10-21,0.03,-2.93,-2.91,pos_then_down,positive,down
2005-04-21,-0.63,-3.42,-4.03,neg_then_down,negative,down
2005-07-21,-0.52,0.67,0.14,neg_then_up,negative,up
2005-10-20,4.32,-2.01,2.22,pos_then_down,positive,down
2006-04-20,1.15,-1.0,0.13,pos_then_down,positive,down
2006-07-20,2.34,-2.31,-0.02,pos_then_down,positive,down
2006-10-19,0.5,-1.62,-1.13,pos_then_down,positive,down
2007-04-19,1.24,0.15,1.39,pos_then_up,positive,up
2007-07-24,2.26,-1.76,0.45,pos_then_down,positive,down
2007-10-18,5.36,-6.32,-1.3,pos_then_down,positive,down
2008-02-05,0.31,1.24,1.56,pos_then_up,positive,up
2008-04-22,1.0,1.78,2.8,pos_then_up,positive,up
2008-07-22,-0.38,3.56,3.17,neg_then_up,negative,up
2008-10-10,3.3,3.71,7.13,pos_then_up,positive,up
2009-02-05,1.49,3.62,5.16,pos_then_up,positive,up
2009-04-21,-1.32,8.96,7.52,neg_then_up,negative,up
2009-07-21,-0.31,-0.12,-0.42,neg_then_down,negative,down
2009-10-20,0.1,2.48,2.58,pos_then_up,positive,up
2010-02-04,0.17,-1.12,-0.96,pos_then_down,positive,down
2010-04-19,2.62,-0.73,1.88,pos_then_down,positive,down
2010-07-20,0.23,1.34,1.57,pos_then_up,positive,up
2010-10-19,0.45,1.57,2.03,pos_then_up,positive,up
2011-02-03,0.02,1.29,1.32,pos_then_up,positive,up
2011-04-21,0.56,-0.57,-0.02,pos_then_down,positive,down
2011-07-21,0.34,-0.47,-0.13,pos_then_down,positive,down
2011-10-20,1.44,0.46,1.91,pos_then_up,positive,up
2012-02-07,0.57,-1.35,-0.78,pos_then_down,positive,down
2012-04-24,0.96,1.6,2.58,pos_then_up,positive,up
2012-07-24,-0.19,-1.1,-1.29,neg_then_down,negative,down
2012-10-23,0.72,-0.84,-0.12,pos_then_down,positive,down
2013-02-05,-0.92,0.23,-0.69,neg_then_up,negative,up
2013-04-23,0.12,0.74,0.86,pos_then_up,positive,up
2013-10-22,-0.1,-0.34,-0.45,neg_then_down,negative,down
2014-01-30,0.19,-0.89,-0.7,pos_then_down,positive,down
2014-04-23,0.38,-1.08,-0.71,pos_then_down,positive,down
2014-07-23,-1.76,0.66,-1.11,neg_then_up,negative,up
2014-10-21,-0.19,-1.78,-1.97,neg_then_down,negative,down
2015-01-29,-0.68,0.54,-0.14,neg_then_up,negative,up
2015-04-21,-0.16,0.34,0.18,neg_then_up,negative,up
2015-07-23,-0.22,-2.21,-2.42,neg_then_down,negative,down
2015-10-20,0.11,-0.24,-0.13,pos_then_down,positive,down
2016-01-28,-0.07,4.41,4.33,neg_then_up,negative,up
2016-04-19,0.32,-0.91,-0.59,pos_then_down,positive,down
2016-10-18,-0.14,0.67,0.53,neg_then_up,negative,up
2017-01-31,-0.18,-0.59,-0.77,neg_then_down,negative,down
2017-04-20,-0.01,1.44,1.43,neg_then_up,negative,up
2017-07-26,0.44,-1.72,-1.28,pos_then_down,positive,down
2017-10-17,0.68,-0.41,0.27,pos_then_down,positive,down
2018-01-30,0.84,-1.5,-0.67,pos_then_down,positive,down
2018-07-25,0.64,0.25,0.89,pos_then_up,positive,up
2018-10-24,1.46,-1.65,-0.21,pos_then_down,positive,down
2019-01-30,-0.05,0.61,0.55,neg_then_up,negative,up
2019-04-26,0.2,0.25,0.45,pos_then_up,positive,up
2019-07-26,-0.04,-0.78,-0.81,neg_then_down,negative,down
2019-10-30,-0.56,0.1,-0.45,neg_then_up,negative,up
2020-01-30,-0.71,-0.54,-1.25,neg_then_down,negative,down
2020-04-24,1.34,0.98,2.34,pos_then_up,positive,up
2020-07-24,0.52,0.61,1.13,pos_then_up,positive,up
2020-10-28,0.09,-2.32,-2.23,pos_then_down,positive,down
2021-02-04,0.5,0.94,1.44,pos_then_up,positive,up
2021-04-28,0.5,0.9,1.4,pos_then_up,positive,up
2021-07-28,0.68,0.88,1.56,pos_then_up,positive,up
2022-02-02,-0.06,-1.82,-1.88,neg_then_down,negative,down
2022-04-27,0.19,1.78,1.97,pos_then_up,positive,up
2022-07-27,1.21,1.95,3.18,pos_then_up,positive,up
2022-10-26,0.66,-1.69,-1.04,pos_then_down,positive,down
2023-02-01,0.87,-1.79,-0.94,pos_then_down,positive,down
2023-04-27,-0.28,-0.45,-0.73,neg_then_down,negative,down
2023-07-27,0.69,0.86,1.56,pos_then_up,positive,up
2023-10-26,-0.43,-0.76,-1.19,neg_then_down,negative,down
2024-02-07,1.47,0.06,1.53,pos_then_up,positive,up
2024-04-24,-0.63,0.02,-0.61,neg_then_up,negative,up
2024-08-01,-1.12,0.02,-1.11,neg_then_up,negative,up
2024-10-30,0.33,-2.16,-1.83,pos_then_down,positive,down
2025-02-04,-4.8,-5.08,-9.64,neg_then_down,negative,down
2025-05-01,2.35,1.17,3.54,pos_then_up,positive,up
2025-07-30,-1.08,0.62,-0.47,neg_then_up,negative,up
2025-10-29,-0.05,-1.74,-1.79,neg_then_down,negative,down
