date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-23,-0.06,0.78,0.85,neg_then_up,negative,up
2004-01-28,0.03,1.73,1.7,pos_then_up,positive,up
2004-04-29,-0.11,-1.87,-1.76,neg_then_down,negative,down
2004-07-29,0.19,-0.08,-0.27,pos_then_down,positive,down
2004-10-22,-0.42,0.11,0.53,neg_then_up,negative,up
2005-05-10,0.54,1.43,0.88,pos_then_up,positive,up
2005-07-27,0.36,-1.4,-1.76,pos_then_down,positive,down
2005-10-26,-0.33,-2.86,-2.54,neg_then_down,negative,down
2006-01-25,0.3,0.78,0.48,pos_then_up,positive,up
2006-04-26,4.98,1.51,-3.31,pos_then_down,positive,down
2006-11-02,-0.4,-0.59,-0.2,neg_then_down,negative,down
2007-05-03,0.46,-1.69,-2.13,pos_then_down,positive,down
2007-08-07,0.02,7.02,7.0,pos_then_up,positive,up
2007-10-31,-1.17,-2.22,-1.07,neg_then_down,negative,down
2008-01-30,-1.34,7.78,9.24,neg_then_up,negative,up
2008-05-01,0.95,1.38,0.42,pos_then_up,positive,up
2008-07-31,-0.15,-1.29,-1.15,neg_then_down,negative,down
2008-10-30,-0.51,0.85,1.37,neg_then_up,negative,up
2009-02-05,-2.41,-4.67,-2.31,neg_then_down,negative,down
2009-04-30,0.45,-4.36,-4.79,pos_then_down,positive,down
2009-08-05,0.17,0.5,0.33,pos_then_up,positive,up
2009-11-04,0.81,2.28,1.46,pos_then_up,positive,up
2010-02-09,0.07,0.88,0.8,pos_then_up,positive,up
2010-05-06,-0.28,-3.34,-3.07,neg_then_down,negative,down
2010-08-05,-1.07,0.06,1.14,neg_then_up,negative,up
2010-11-04,0.3,-0.21,-0.5,pos_then_down,positive,down
2011-02-10,0.46,3.01,2.54,pos_then_up,positive,up
2011-05-10,-0.02,-0.57,-0.55,neg_then_down,negative,down
2011-08-09,-1.7,-4.79,-3.15,neg_then_down,negative,down
2011-11-08,-3.07,-2.2,0.9,neg_then_up,negative,up
2012-02-09,0.05,-2.1,-2.15,pos_then_down,positive,down
2012-05-08,-1.06,-0.43,0.64,neg_then_up,negative,up
2012-08-08,-0.74,-1.53,-0.8,neg_then_down,negative,down
2012-11-06,-0.65,-1.54,-0.89,neg_then_down,negative,down
2013-02-07,0.74,1.29,0.55,pos_then_up,positive,up
2013-05-07,-0.01,0.33,0.34,neg_then_up,negative,up
2013-08-06,-0.04,-0.01,0.02,neg_then_up,negative,up
2013-11-05,0.56,2.94,2.37,pos_then_up,positive,up
2014-02-13,0.59,1.3,0.71,pos_then_up,positive,up
2014-05-06,-0.03,1.98,2.01,neg_then_up,negative,up
2014-08-05,-0.28,1.63,1.91,neg_then_up,negative,up
2014-11-04,0.21,2.1,1.89,pos_then_up,positive,up
2015-02-12,0.5,1.91,1.4,pos_then_up,positive,up
2015-05-12,-0.32,-1.49,-1.18,neg_then_down,negative,down
2015-08-10,-2.75,-4.01,-1.29,neg_then_down,negative,down
2015-11-09,-1.15,-0.44,0.72,neg_then_up,negative,up
2016-02-10,-12.86,-12.87,-0.01,neg_then_down,negative,down
2016-05-09,1.76,5.3,3.48,pos_then_up,positive,up
2016-08-08,2.76,2.77,0.01,pos_then_up,positive,up
2016-11-07,-5.13,-3.86,1.34,neg_then_up,negative,up
2017-02-15,1.4,4.09,2.65,pos_then_up,positive,up
2017-05-08,-2.64,-6.11,-3.57,neg_then_down,negative,down
2017-08-08,1.17,3.74,2.54,pos_then_up,positive,up
2017-11-06,4.47,2.42,-1.97,pos_then_down,positive,down
2018-02-14,-4.09,-0.57,3.66,neg_then_up,negative,up
2018-05-07,0.02,-0.32,-0.33,pos_then_down,positive,down
2018-08-07,0.26,0.02,-0.24,pos_then_down,positive,down
2018-11-05,-1.4,1.82,3.26,neg_then_up,negative,up
2019-02-13,-5.47,-8.65,-3.37,neg_then_down,negative,down
2019-05-06,0.76,-1.98,-2.72,pos_then_down,positive,down
2019-08-05,-11.85,-15.95,-4.64,neg_then_down,negative,down
2019-11-04,1.89,8.43,6.42,pos_then_up,positive,up
2020-02-12,-6.05,-1.9,4.41,neg_then_up,negative,up
2020-05-11,4.98,0.53,-4.24,pos_then_down,positive,down
2020-08-10,0.8,-4.03,-4.79,pos_then_down,positive,down
2020-11-09,-2.79,0.05,2.92,neg_then_up,negative,up
2021-01-26,-1.82,-2.5,-0.69,neg_then_down,negative,down
2021-05-10,-0.74,-2.82,-2.1,neg_then_down,negative,down
2021-11-08,-1.0,3.79,4.83,neg_then_up,negative,up
2022-02-09,0.52,2.87,2.33,pos_then_up,positive,up
2022-05-09,3.83,5.03,1.15,pos_then_up,positive,up
2022-08-08,-0.52,-5.9,-5.41,neg_then_down,negative,down
2022-11-07,-2.86,-4.96,-2.16,neg_then_down,negative,down
2023-02-08,-7.48,-18.75,-12.18,neg_then_down,negative,down
2023-05-08,-3.9,-7.03,-3.26,neg_then_down,negative,down
2023-08-07,-21.99,-19.37,3.37,neg_then_up,negative,up
2023-11-06,7.8,-1.04,-8.19,pos_then_down,positive,down
2024-01-18,0.26,1.49,1.23,pos_then_up,positive,up
2024-05-06,4.44,6.4,1.87,pos_then_up,positive,up
2024-08-06,2.81,-2.35,-5.02,pos_then_down,positive,down
2024-11-05,-4.15,-11.63,-7.81,neg_then_down,negative,down
2025-02-18,-6.32,-5.16,1.23,neg_then_up,negative,up
2025-05-06,-2.03,-7.08,-5.16,neg_then_down,negative,down
2025-08-05,4.7,-6.32,-10.52,pos_then_down,positive,down
2025-11-04,2.0,4.08,2.04,pos_then_up,positive,up
