date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-14,5.44,-3.08,2.19,pos_then_down,positive,down
2004-01-14,-2.04,1.07,-0.99,neg_then_up,negative,up
2004-04-13,-1.66,0.59,-1.08,neg_then_up,negative,up
2004-07-13,-7.8,-2.99,-10.56,neg_then_down,negative,down
2004-10-12,5.33,-1.73,3.5,pos_then_down,positive,down
2005-01-11,3.02,-0.26,2.75,pos_then_down,positive,down
2005-04-19,3.4,-3.16,0.13,pos_then_down,positive,down
2005-07-19,-5.64,1.29,-4.42,neg_then_up,negative,up
2005-10-18,-3.08,3.04,-0.13,neg_then_up,negative,up
2006-01-17,-10.38,-1.18,-11.44,neg_then_down,negative,down
2006-04-19,1.07,-1.62,-0.56,pos_then_down,positive,down
2006-07-19,-2.81,-4.84,-7.52,neg_then_down,negative,down
2006-10-17,3.35,-2.27,1.0,pos_then_down,positive,down
2007-01-16,-4.71,-0.99,-5.65,neg_then_down,negative,down
2007-04-17,1.62,0.14,1.76,pos_then_up,positive,up
2007-07-17,-5.2,0.4,-4.82,neg_then_up,negative,up
2007-10-16,5.14,-0.26,4.87,pos_then_down,positive,down
2008-01-15,-11.72,-0.75,-12.38,neg_then_down,negative,down
2008-04-15,7.27,-1.34,5.83,pos_then_down,positive,down
2008-07-15,1.55,-0.57,0.97,pos_then_down,positive,down
2008-10-14,1.32,-7.13,-5.9,pos_then_down,positive,down
2009-01-07,0.07,0.69,0.76,pos_then_up,positive,up
2009-04-14,-4.06,1.69,-2.44,neg_then_up,negative,up
2009-07-14,6.89,0.33,7.25,pos_then_up,positive,up
2009-10-13,3.76,-2.02,1.66,pos_then_down,positive,down
2010-01-14,-0.42,-2.76,-3.17,neg_then_down,negative,down
2010-04-13,3.51,-0.21,3.29,pos_then_down,positive,down
2010-07-13,5.0,-3.17,1.67,pos_then_down,positive,down
2010-10-12,1.06,-3.7,-2.68,pos_then_down,positive,down
2011-01-13,0.28,-1.26,-0.99,pos_then_down,positive,down
2011-04-19,6.8,0.94,7.8,pos_then_up,positive,up
2011-07-20,-2.78,2.06,-0.78,neg_then_up,negative,up
2011-10-18,2.61,0.96,3.59,pos_then_up,positive,up
2012-01-19,0.94,1.97,2.93,pos_then_up,positive,up
2012-04-17,-3.13,1.34,-1.83,neg_then_up,negative,up
2012-07-17,-0.71,4.01,3.27,neg_then_up,negative,up
2012-10-16,-4.83,2.44,-2.51,neg_then_up,negative,up
2013-01-17,-5.82,-0.51,-6.31,neg_then_down,negative,down
2013-04-16,-0.59,0.64,0.05,neg_then_up,negative,up
2013-07-17,-2.82,-0.98,-3.77,neg_then_down,negative,down
2013-10-15,-0.56,1.89,1.33,neg_then_up,negative,up
2014-01-16,-4.45,1.93,-2.6,neg_then_up,negative,up
2014-04-15,0.78,-0.19,0.6,pos_then_down,positive,down
2014-07-15,5.05,4.02,9.27,pos_then_up,positive,up
2014-10-14,-4.98,2.42,-2.68,neg_then_up,negative,up
2015-01-15,-0.19,0.91,0.72,neg_then_up,negative,up
2015-04-14,2.45,1.77,4.26,pos_then_up,positive,up
2015-07-15,2.63,-1.87,0.71,pos_then_down,positive,down
2015-10-13,-2.03,4.49,2.37,neg_then_up,negative,up
2016-01-14,-9.19,0.1,-9.1,neg_then_up,negative,up
2016-04-19,-0.89,2.17,1.27,neg_then_up,negative,up
2016-07-20,-3.81,-0.17,-3.98,neg_then_down,negative,down
2016-10-18,-4.45,-1.55,-5.93,neg_then_down,negative,down
2017-01-26,1.17,-0.05,1.12,pos_then_down,positive,down
2017-04-27,-3.55,0.14,-3.42,neg_then_up,negative,up
2017-07-27,0.46,0.51,0.97,pos_then_up,positive,up
2017-10-26,4.72,2.54,7.38,pos_then_up,positive,up
2018-01-25,6.8,3.51,10.55,pos_then_up,positive,up
2018-04-26,4.51,-4.89,-0.6,pos_then_down,positive,down
2018-07-26,-6.52,-2.21,-8.59,neg_then_down,negative,down
2018-10-25,2.89,0.22,3.11,pos_then_up,positive,up
2019-01-24,-5.85,0.41,-5.47,neg_then_up,negative,up
2019-04-25,-8.45,-0.59,-8.99,neg_then_down,negative,down
2019-07-25,1.02,-2.09,-1.09,pos_then_down,positive,down
2019-10-24,3.75,4.19,8.1,pos_then_up,positive,up
2020-01-23,5.13,2.85,8.13,pos_then_up,positive,up
2020-04-23,-4.81,5.44,0.37,neg_then_up,negative,up
2020-07-23,-13.66,-2.99,-16.24,neg_then_down,negative,down
2020-10-22,-10.3,-0.31,-10.58,neg_then_down,negative,down
2021-01-14,-0.68,-2.16,-2.82,neg_then_down,negative,down
2021-04-22,-5.45,0.14,-5.32,neg_then_up,negative,up
2021-07-22,-2.47,-2.89,-5.29,neg_then_down,negative,down
