date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2017-08-02,3.52,-2.39,1.04,pos_then_down,positive,down
2017-10-25,6.99,2.18,9.32,pos_then_up,positive,up
2018-02-16,-0.82,-2.61,-3.41,neg_then_down,negative,down
2018-04-26,5.96,-2.63,3.18,pos_then_down,positive,down
2018-08-02,0.97,1.68,2.67,pos_then_up,positive,up
2018-10-26,1.8,-3.76,-2.03,pos_then_down,positive,down
2019-02-20,0.3,1.5,1.81,pos_then_up,positive,up
2019-05-03,-3.23,1.55,-1.73,neg_then_up,negative,up
2019-08-01,-0.8,0.29,-0.51,neg_then_up,negative,up
2019-10-29,-0.64,-2.13,-2.76,neg_then_down,negative,down
2020-01-27,0.52,2.54,3.07,pos_then_up,positive,up
2020-05-12,-1.57,-4.11,-5.61,neg_then_down,negative,down
2020-08-04,0.89,-0.12,0.77,pos_then_down,positive,down
2020-11-02,0.94,6.69,7.7,pos_then_up,positive,up
2021-02-22,2.08,2.01,4.14,pos_then_up,positive,up
2021-04-28,-3.14,1.85,-1.35,neg_then_up,negative,up
2021-07-28,-0.46,1.97,1.5,neg_then_up,negative,up
2021-11-03,1.75,0.19,1.94,pos_then_up,positive,up
2022-02-23,-2.94,-0.28,-3.21,neg_then_down,negative,down
2022-05-04,-0.4,-2.71,-3.11,neg_then_down,negative,down
2022-08-03,-3.45,3.34,-0.22,neg_then_up,negative,up
2022-11-02,0.75,3.95,4.73,pos_then_up,positive,up
2023-02-21,0.82,1.09,1.92,pos_then_up,positive,up
2023-05-03,2.42,-1.57,0.81,pos_then_down,positive,down
2023-08-02,1.57,0.9,2.49,pos_then_up,positive,up
2023-11-01,0.42,5.37,5.81,pos_then_up,positive,up
2024-02-15,4.48,-2.45,1.91,pos_then_down,positive,down
2024-05-02,-5.22,-1.45,-6.6,neg_then_down,negative,down
2024-07-31,-8.37,-0.84,-9.13,neg_then_down,negative,down
2024-10-31,-2.08,-0.03,-2.11,neg_then_down,negative,down
2025-02-13,-4.92,-2.59,-7.38,neg_then_down,negative,down
2025-05-01,-0.29,0.97,0.68,neg_then_up,negative,up
2025-07-31,-6.42,-5.33,-11.4,neg_then_down,negative,down
2025-10-30,-2.92,-0.13,-3.05,neg_then_down,negative,down
