date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-19,0.12,0.27,0.15,pos_then_up,positive,up
2005-07-21,0.29,1.93,1.64,pos_then_up,positive,up
2005-10-19,0.13,-1.8,-1.93,pos_then_down,positive,down
2006-01-31,-0.76,-0.34,0.42,neg_then_up,negative,up
2006-04-20,1.97,1.14,-0.81,pos_then_down,positive,down
2006-07-20,0.73,-0.85,-1.57,pos_then_down,positive,down
2006-10-18,-1.84,-1.33,0.52,neg_then_up,negative,up
2007-01-30,-1.56,1.67,3.28,neg_then_up,negative,up
2007-04-18,1.95,-0.87,-2.77,pos_then_down,positive,down
2007-07-19,-1.09,-1.21,-0.12,neg_then_down,negative,down
2007-10-17,0.68,-0.52,-1.19,pos_then_down,positive,down
2008-01-09,-0.55,3.16,3.72,neg_then_up,negative,up
2008-04-16,-2.61,-2.84,-0.23,neg_then_down,negative,down
2008-07-17,0.83,-0.57,-1.39,pos_then_down,positive,down
2008-10-07,-2.54,-2.07,0.48,neg_then_up,negative,up
2009-01-29,-0.47,-3.37,-2.91,neg_then_down,negative,down
2009-07-22,0.25,1.64,1.39,pos_then_up,positive,up
2009-10-20,-0.37,-1.13,-0.77,neg_then_down,negative,down
2010-01-27,1.52,-0.14,-1.63,pos_then_down,positive,down
2010-04-20,0.26,0.67,0.41,pos_then_up,positive,up
2010-07-20,0.8,-1.61,-2.39,pos_then_down,positive,down
2010-10-19,-0.06,0.17,0.24,neg_then_up,negative,up
2011-01-31,1.18,0.11,-1.05,pos_then_down,positive,down
2011-04-21,-0.22,0.63,0.85,neg_then_up,negative,up
2011-06-28,0.31,0.35,0.04,pos_then_up,positive,up
2011-10-25,1.49,1.38,-0.11,pos_then_down,positive,down
2012-01-31,2.0,3.53,1.5,pos_then_up,positive,up
2012-04-24,0.67,1.53,0.86,pos_then_up,positive,up
2012-07-24,1.2,0.78,-0.42,pos_then_down,positive,down
2012-10-23,0.12,-0.97,-1.09,pos_then_down,positive,down
2013-01-29,-1.01,-0.9,0.11,neg_then_up,negative,up
2013-04-23,0.32,2.29,1.97,pos_then_up,positive,up
2013-07-23,0.66,-0.27,-0.92,pos_then_down,positive,down
2013-10-08,0.19,0.23,0.04,pos_then_up,positive,up
2014-01-28,1.1,-0.87,-1.95,pos_then_down,positive,down
2014-04-22,0.33,0.34,0.01,pos_then_up,positive,up
2014-07-29,0.55,0.71,0.15,pos_then_up,positive,up
2014-10-21,0.12,-0.59,-0.7,pos_then_down,positive,down
2015-01-27,0.42,-1.43,-1.84,pos_then_down,positive,down
2015-07-22,0.54,-0.2,-0.73,pos_then_down,positive,down
2015-10-21,0.46,4.65,4.18,pos_then_up,positive,up
2016-01-27,1.04,2.96,1.89,pos_then_up,positive,up
2016-04-20,0.25,0.21,-0.04,pos_then_down,positive,down
2016-07-20,-0.05,-0.19,-0.14,neg_then_down,negative,down
2016-10-20,-1.01,-0.19,0.82,neg_then_up,negative,up
2017-01-25,0.13,-0.28,-0.41,pos_then_down,positive,down
2017-04-24,-0.61,-0.36,0.25,neg_then_up,negative,up
2017-07-24,0.72,-0.23,-0.94,pos_then_down,positive,down
2017-10-23,0.72,1.87,1.14,pos_then_up,positive,up
2018-01-24,0.26,0.58,0.32,pos_then_up,positive,up
2018-04-26,0.83,0.82,-0.01,pos_then_down,positive,down
2018-07-23,-0.92,1.42,2.37,neg_then_up,negative,up
2018-10-24,0.87,2.38,1.5,pos_then_up,positive,up
2019-02-01,0.67,2.96,2.28,pos_then_up,positive,up
2019-04-25,0.98,1.57,0.59,pos_then_up,positive,up
2019-07-26,0.12,0.07,-0.04,pos_then_down,positive,down
2019-10-25,1.02,-1.09,-2.09,pos_then_down,positive,down
2020-01-31,0.34,0.85,0.5,pos_then_up,positive,up
2020-05-05,0.49,-0.57,-1.05,pos_then_down,positive,down
2020-07-31,0.46,0.5,0.04,pos_then_up,positive,up
2020-10-23,-1.42,-3.28,-1.89,neg_then_down,negative,down
2021-02-05,0.4,1.01,0.61,pos_then_up,positive,up
2021-04-30,0.67,1.35,0.67,pos_then_up,positive,up
2021-07-30,0.25,-0.52,-0.77,pos_then_down,positive,down
2021-10-28,-0.3,0.59,0.89,neg_then_up,negative,up
2022-05-03,0.35,4.31,3.95,pos_then_up,positive,up
2022-08-02,0.28,1.78,1.49,pos_then_up,positive,up
2022-10-25,1.05,0.82,-0.23,pos_then_down,positive,down
2023-02-02,-0.54,-1.52,-0.99,neg_then_down,negative,down
2023-05-02,-0.21,-0.93,-0.73,neg_then_down,negative,down
2023-08-01,-0.53,-0.73,-0.2,neg_then_down,negative,down
2023-10-24,-0.61,1.3,1.93,neg_then_up,negative,up
2024-02-01,-0.29,0.2,0.49,neg_then_up,negative,up
2024-04-30,0.32,-0.75,-1.07,pos_then_down,positive,down
2024-07-30,-0.04,-0.83,-0.79,neg_then_down,negative,down
2024-10-30,0.12,-1.21,-1.33,pos_then_down,positive,down
2025-02-05,0.42,0.33,-0.09,pos_then_down,positive,down
2025-04-30,0.46,-0.28,-0.73,pos_then_down,positive,down
2025-07-30,-0.96,0.91,1.88,neg_then_up,negative,up
2025-10-24,1.23,0.84,-0.39,pos_then_down,positive,down
