date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2007-08-02,-0.94,-2.82,-3.74,neg_then_down,negative,down
2007-11-08,-4.21,1.62,-2.66,neg_then_up,negative,up
2008-02-05,1.59,-3.06,-1.52,pos_then_down,positive,down
2008-04-14,-0.27,4.0,3.72,neg_then_up,negative,up
2008-07-24,-0.04,-2.71,-2.76,neg_then_down,negative,down
2008-10-29,2.33,-0.69,1.63,pos_then_down,positive,down
2009-01-30,-3.14,9.37,5.94,neg_then_up,negative,up
2009-04-23,0.57,-6.79,-6.26,pos_then_down,positive,down
2009-07-27,-3.42,2.52,-0.99,neg_then_up,negative,up
2009-10-20,-0.47,-1.72,-2.19,neg_then_down,negative,down
2010-01-28,2.23,-6.58,-4.5,pos_then_down,positive,down
2010-04-28,2.17,7.16,9.49,pos_then_up,positive,up
2010-07-27,-0.31,-0.31,-0.62,neg_then_down,negative,down
2010-10-25,-0.59,1.73,1.13,neg_then_up,negative,up
2011-01-27,2.62,-3.22,-0.68,pos_then_down,positive,down
2011-04-27,-0.4,1.01,0.6,neg_then_up,negative,up
2011-07-12,0.59,1.57,2.16,pos_then_up,positive,up
2011-10-24,-1.68,-2.79,-4.42,neg_then_down,negative,down
2012-01-26,-0.53,1.46,0.92,neg_then_up,negative,up
2012-04-26,0.4,-0.24,0.16,pos_then_down,positive,down
2012-07-26,0.91,4.83,5.79,pos_then_up,positive,up
2012-11-01,-0.04,-1.33,-1.37,neg_then_down,negative,down
2013-01-31,-0.26,2.17,1.91,neg_then_up,negative,up
2013-04-30,0.03,-0.98,-0.95,pos_then_down,positive,down
2013-07-31,1.18,1.44,2.64,pos_then_up,positive,up
2013-10-31,0.47,-0.21,0.27,pos_then_down,positive,down
2014-01-30,2.78,-3.43,-0.75,pos_then_down,positive,down
2014-05-01,2.33,-2.44,-0.17,pos_then_down,positive,down
2014-07-31,1.17,-0.66,0.5,pos_then_down,positive,down
2014-10-30,1.54,0.45,1.99,pos_then_up,positive,up
2015-01-29,-1.59,-1.18,-2.75,neg_then_down,negative,down
2015-04-30,0.8,-0.34,0.46,pos_then_down,positive,down
2015-07-30,0.21,-1.2,-1.0,pos_then_down,positive,down
2015-10-29,0.03,-0.99,-0.96,pos_then_down,positive,down
2016-01-28,1.12,3.67,4.83,pos_then_up,positive,up
2016-04-28,-1.05,-0.48,-1.52,neg_then_down,negative,down
2016-07-28,-0.8,1.71,0.9,neg_then_up,negative,up
2016-10-27,0.24,-2.13,-1.89,pos_then_down,positive,down
2017-01-26,-0.13,-1.5,-1.63,neg_then_down,negative,down
2017-07-27,-0.81,0.12,-0.69,neg_then_up,negative,up
2017-10-26,0.13,-0.83,-0.7,pos_then_down,positive,down
2018-01-31,0.33,-0.61,-0.28,pos_then_down,positive,down
2018-04-26,-0.7,-0.17,-0.87,neg_then_down,negative,down
2018-07-26,0.16,0.82,0.97,pos_then_up,positive,up
2018-10-18,-0.28,3.68,3.39,neg_then_up,negative,up
2019-01-30,-1.02,-0.98,-1.99,neg_then_down,negative,down
2019-04-25,-0.23,-0.55,-0.77,neg_then_down,negative,down
2019-07-25,-0.51,0.93,0.41,neg_then_up,negative,up
2019-10-23,0.64,-2.59,-1.97,pos_then_down,positive,down
2020-01-29,-1.3,1.32,0.0,neg_then_up,negative,up
2020-04-23,2.21,5.41,7.73,pos_then_up,positive,up
2020-07-28,0.39,1.83,2.22,pos_then_up,positive,up
2020-10-27,-2.36,-2.27,-4.58,neg_then_down,negative,down
2021-01-26,-1.62,0.87,-0.76,neg_then_up,negative,up
2021-04-27,0.45,2.45,2.91,pos_then_up,positive,up
2021-07-27,0.29,-0.78,-0.49,pos_then_down,positive,down
2022-01-25,0.61,-0.88,-0.28,pos_then_down,positive,down
2022-04-26,-0.74,-1.01,-1.73,neg_then_down,negative,down
2022-07-27,-0.06,3.54,3.48,neg_then_up,negative,up
2022-10-25,-1.33,1.68,0.33,neg_then_up,negative,up
2023-01-24,-2.21,-0.61,-2.81,neg_then_down,negative,down
2023-04-25,-0.95,1.8,0.83,neg_then_up,negative,up
2023-07-25,-0.36,-0.72,-1.08,neg_then_down,negative,down
2023-10-24,-1.15,-2.25,-3.38,neg_then_down,negative,down
2024-01-23,1.13,-1.92,-0.82,pos_then_down,positive,down
2024-04-23,-1.44,1.04,-0.41,neg_then_up,negative,up
2024-07-23,0.95,-2.24,-1.31,pos_then_down,positive,down
2024-10-22,-0.33,-2.67,-2.99,neg_then_down,negative,down
2025-04-22,3.41,-3.15,0.15,pos_then_down,positive,down
2025-07-22,0.75,0.14,0.89,pos_then_up,positive,up
2025-10-28,-0.17,0.75,0.58,neg_then_up,negative,up
