date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-18,0.66,1.25,0.58,pos_then_up,positive,up
2005-02-03,-0.11,1.81,1.93,neg_then_up,negative,up
2005-04-15,1.03,3.07,2.02,pos_then_up,positive,up
2005-07-19,0.37,6.59,6.2,pos_then_up,positive,up
2005-10-18,0.43,0.8,0.37,pos_then_up,positive,up
2006-01-31,-1.01,-1.93,-0.93,neg_then_down,negative,down
2006-04-19,2.84,3.54,0.68,pos_then_up,positive,up
2006-07-19,-0.36,-5.67,-5.33,neg_then_down,negative,down
2006-10-13,0.41,2.17,1.76,pos_then_up,positive,up
2007-01-30,-0.16,2.36,2.53,neg_then_up,negative,up
2007-04-17,-0.17,-1.01,-0.84,neg_then_down,negative,down
2007-07-17,-1.12,-2.17,-1.06,neg_then_down,negative,down
2007-10-12,-0.75,-2.29,-1.55,neg_then_down,negative,down
2008-01-30,-0.68,5.42,6.14,neg_then_up,negative,up
2008-04-15,0.39,5.74,5.33,pos_then_up,positive,up
2008-07-15,1.85,9.42,7.44,pos_then_up,positive,up
2008-10-15,-0.37,1.5,1.87,neg_then_up,negative,up
2009-01-30,2.42,-1.35,-3.68,pos_then_down,positive,down
2009-04-14,-2.78,-0.95,1.88,neg_then_up,negative,up
2009-07-15,-0.19,2.66,2.85,neg_then_up,negative,up
2009-10-20,-0.18,-3.41,-3.24,neg_then_down,negative,down
2010-01-28,0.39,-0.97,-1.35,pos_then_down,positive,down
2010-04-15,0.05,-1.96,-2.02,pos_then_down,positive,down
2010-07-16,0.26,0.28,0.03,pos_then_up,positive,up
2010-10-15,-0.36,0.0,0.36,neg_then_up,negative,up
2011-01-31,0.73,1.1,0.36,pos_then_up,positive,up
2011-04-14,0.59,1.62,1.02,pos_then_up,positive,up
2011-07-15,-0.27,-0.64,-0.37,neg_then_down,negative,down
2011-10-14,-0.4,-2.91,-2.52,neg_then_down,negative,down
2012-01-27,-0.16,-0.12,0.04,neg_then_up,negative,up
2012-04-13,0.61,1.63,1.01,pos_then_up,positive,up
2012-07-17,-0.58,-0.51,0.07,neg_then_up,negative,up
2012-10-12,-0.29,0.12,0.41,neg_then_up,negative,up
2013-01-25,-0.09,0.27,0.36,neg_then_up,negative,up
2013-04-12,-0.01,-1.89,-1.87,neg_then_down,negative,down
2013-07-16,-0.17,-0.82,-0.65,neg_then_down,negative,down
2013-10-16,-0.92,1.18,2.12,neg_then_up,negative,up
2014-01-23,-0.31,-2.79,-2.49,neg_then_down,negative,down
2014-04-14,0.73,0.16,-0.56,pos_then_down,positive,down
2014-07-16,-0.57,-1.06,-0.49,neg_then_down,negative,down
2014-10-15,-1.03,1.45,2.51,neg_then_up,negative,up
2015-01-23,0.2,-0.34,-0.54,pos_then_down,positive,down
2015-04-15,0.08,-0.41,-0.49,pos_then_down,positive,down
2015-07-20,-0.45,0.84,1.3,neg_then_up,negative,up
2015-10-16,0.03,1.01,0.98,pos_then_up,positive,up
2016-01-22,0.69,0.89,0.2,pos_then_up,positive,up
2016-04-18,1.02,1.39,0.36,pos_then_up,positive,up
2016-07-18,-0.38,-0.58,-0.2,neg_then_down,negative,down
2016-10-19,-0.17,-0.21,-0.04,neg_then_down,negative,down
2017-01-23,0.42,2.1,1.66,pos_then_up,positive,up
2017-04-18,0.55,-0.02,-0.57,pos_then_down,positive,down
2017-07-20,-0.25,0.03,0.28,neg_then_up,negative,up
2017-10-17,0.09,1.97,1.88,pos_then_up,positive,up
2018-04-19,-0.13,-1.39,-1.26,neg_then_down,negative,down
2018-07-16,-0.11,0.35,0.46,neg_then_up,negative,up
2018-10-12,-0.24,2.05,2.29,neg_then_up,negative,up
2019-01-18,-0.52,-2.18,-1.67,neg_then_down,negative,down
2019-04-18,-0.33,1.45,1.79,neg_then_up,negative,up
2019-07-17,-0.02,1.49,1.51,neg_then_up,negative,up
2019-10-17,0.32,-0.52,-0.83,pos_then_down,positive,down
2020-01-17,0.43,1.03,0.6,pos_then_up,positive,up
2020-04-20,-3.84,-1.0,2.95,neg_then_up,negative,up
2020-07-17,-0.94,-1.77,-0.83,neg_then_down,negative,down
2020-10-19,0.56,-0.71,-1.26,pos_then_down,positive,down
2021-01-19,-3.8,1.01,5.0,neg_then_up,negative,up
2021-04-15,3.08,1.41,-1.62,pos_then_down,positive,down
2021-07-19,0.29,2.92,2.62,pos_then_up,positive,up
2021-10-15,0.35,-0.79,-1.13,pos_then_down,positive,down
2022-01-18,1.36,0.08,-1.26,pos_then_down,positive,down
2022-04-18,0.38,1.42,1.03,pos_then_up,positive,up
2022-07-19,-2.49,-0.76,1.77,neg_then_up,negative,up
2022-10-18,2.15,0.04,-2.06,pos_then_down,positive,down
2023-01-18,-0.72,-0.1,0.62,neg_then_up,negative,up
2023-04-17,-0.1,-0.98,-0.88,neg_then_down,negative,down
2023-07-18,3.62,3.75,0.12,pos_then_up,positive,up
2023-10-17,-5.45,-8.85,-3.59,neg_then_down,negative,down
2024-01-18,3.64,0.9,-2.64,pos_then_down,positive,down
2024-04-16,-8.74,-8.12,0.68,neg_then_up,negative,up
2024-07-16,-3.94,-6.87,-3.06,neg_then_down,negative,down
2024-10-15,7.58,3.15,-4.11,pos_then_down,positive,down
2025-01-16,-6.02,-7.38,-1.46,neg_then_down,negative,down
2025-04-15,-5.26,-7.68,-2.55,neg_then_down,negative,down
2025-07-15,6.03,1.73,-4.05,pos_then_down,positive,down
2025-10-15,17.4,22.14,4.04,pos_then_up,positive,up
