date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-04-23,-0.11,0.11,0.23,neg_then_up,negative,up
2004-06-29,1.25,-1.55,-2.77,pos_then_down,positive,down
2005-04-28,0.21,1.44,1.23,pos_then_up,positive,up
2005-07-27,0.43,1.06,0.63,pos_then_up,positive,up
2005-11-03,0.16,0.4,0.24,pos_then_up,positive,up
2006-01-25,0.32,0.08,-0.24,pos_then_down,positive,down
2006-04-27,-0.04,0.82,0.85,neg_then_up,negative,up
2006-07-26,0.84,2.29,1.44,pos_then_up,positive,up
2006-11-03,1.21,1.48,0.28,pos_then_up,positive,up
2007-04-25,-0.04,0.13,0.17,neg_then_up,negative,up
2007-07-24,-1.05,-3.74,-2.72,neg_then_down,negative,down
2007-11-07,-0.61,1.61,2.23,neg_then_up,negative,up
2008-01-22,-1.57,-1.43,0.14,neg_then_up,negative,up
2008-04-22,0.32,-1.06,-1.37,pos_then_down,positive,down
2008-07-22,1.28,-2.17,-3.4,pos_then_down,positive,down
2008-11-04,-1.67,-15.06,-13.62,neg_then_down,negative,down
2009-01-27,4.41,7.98,3.42,pos_then_up,positive,up
2009-04-28,1.51,-0.97,-2.44,pos_then_down,positive,down
2009-07-28,-3.03,-1.71,1.36,neg_then_up,negative,up
2009-11-17,0.8,-2.16,-2.93,pos_then_down,positive,down
2010-01-26,1.54,1.23,-0.3,pos_then_down,positive,down
2010-04-27,0.84,1.94,1.09,pos_then_up,positive,up
2010-07-27,0.11,-2.59,-2.69,pos_then_down,positive,down
2010-11-16,0.2,0.75,0.55,pos_then_up,positive,up
2011-01-25,3.19,7.11,3.8,pos_then_up,positive,up
2011-04-26,0.63,-0.36,-0.98,pos_then_down,positive,down
2011-07-26,-0.75,-3.37,-2.64,neg_then_down,negative,down
2011-11-15,-1.09,0.15,1.25,neg_then_up,negative,up
2012-01-26,-0.24,-0.2,0.04,neg_then_up,negative,up
2012-05-01,-0.45,-0.14,0.31,neg_then_up,negative,up
2012-07-31,0.78,-0.57,-1.34,pos_then_down,positive,down
2012-11-13,0.21,-0.54,-0.74,pos_then_down,positive,down
2013-01-24,0.72,3.04,2.3,pos_then_up,positive,up
2013-05-01,0.53,1.69,1.16,pos_then_up,positive,up
2013-07-30,-1.04,2.26,3.33,neg_then_up,negative,up
2013-11-19,0.45,0.2,-0.25,pos_then_down,positive,down
2014-01-23,0.22,-2.48,-2.69,pos_then_down,positive,down
2014-04-29,0.02,1.1,1.09,pos_then_up,positive,up
2014-07-29,0.25,-1.18,-1.43,pos_then_down,positive,down
2014-11-18,-0.73,-1.05,-0.32,neg_then_down,negative,down
2015-01-29,-1.24,-1.68,-0.44,neg_then_down,negative,down
2015-04-28,-0.98,0.34,1.33,neg_then_up,negative,up
2015-07-28,0.5,2.4,1.89,pos_then_up,positive,up
2015-11-23,-0.09,0.99,1.08,neg_then_up,negative,up
2016-02-03,-0.35,0.13,0.48,neg_then_up,negative,up
2016-05-05,-0.09,4.42,4.51,neg_then_up,negative,up
2016-08-09,-0.34,-1.71,-1.37,neg_then_down,negative,down
2016-11-22,-0.2,4.0,4.21,neg_then_up,negative,up
2017-05-09,-0.05,-2.43,-2.38,neg_then_down,negative,down
2017-08-02,-0.96,-1.27,-0.32,neg_then_down,negative,down
2017-11-21,0.09,-0.12,-0.22,pos_then_down,positive,down
2018-02-07,0.2,-4.83,-5.02,pos_then_down,positive,down
2018-05-08,1.79,1.22,-0.55,pos_then_down,positive,down
2018-08-06,1.89,-0.21,-2.06,pos_then_down,positive,down
2018-10-22,-1.87,-1.8,0.07,neg_then_up,negative,up
2019-02-06,-0.93,-4.1,-3.21,neg_then_down,negative,down
2019-05-07,0.43,1.02,0.59,pos_then_up,positive,up
2019-08-05,1.38,3.91,2.5,pos_then_up,positive,up
2019-11-25,0.14,0.79,0.65,pos_then_up,positive,up
2020-02-04,1.09,1.35,0.26,pos_then_up,positive,up
2020-05-06,0.8,0.26,-0.54,pos_then_down,positive,down
2020-08-03,0.4,2.06,1.65,pos_then_up,positive,up
2020-11-24,-0.37,-1.1,-0.73,neg_then_down,negative,down
2021-02-09,0.32,-1.19,-1.5,pos_then_down,positive,down
2021-05-10,-0.54,-1.56,-1.02,neg_then_down,negative,down
2021-08-03,-1.12,-0.59,0.54,neg_then_up,negative,up
2021-11-23,0.26,3.09,2.83,pos_then_up,positive,up
2022-02-08,-0.15,2.82,2.97,neg_then_up,negative,up
2022-04-12,-0.03,2.25,2.27,neg_then_up,negative,up
2022-08-01,-0.49,-1.34,-0.85,neg_then_down,negative,down
2022-11-21,1.23,0.96,-0.27,pos_then_down,positive,down
2023-02-07,-0.8,-0.95,-0.16,neg_then_down,negative,down
2023-05-09,0.66,-3.48,-4.11,pos_then_down,positive,down
2023-08-08,-0.01,1.5,1.5,neg_then_up,negative,up
2023-11-21,-1.2,-0.9,0.31,neg_then_up,negative,up
2024-02-06,1.07,2.62,1.53,pos_then_up,positive,up
2024-05-07,-1.86,-2.21,-0.35,neg_then_down,negative,down
2024-08-06,0.17,-0.9,-1.07,pos_then_down,positive,down
2024-11-19,1.42,-0.76,-2.16,pos_then_down,positive,down
2025-02-04,0.93,-1.28,-2.19,pos_then_down,positive,down
2025-05-06,0.9,-0.15,-1.05,pos_then_down,positive,down
2025-08-05,0.54,1.2,0.65,pos_then_up,positive,up
2025-11-20,-0.87,-0.31,0.56,neg_then_up,negative,up
