date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2008-06-05,-1.72,-2.27,-0.56,neg_then_down,negative,down
2008-08-13,-0.18,2.02,2.2,neg_then_up,negative,up
2008-11-13,-1.43,-3.46,-2.06,neg_then_down,negative,down
2009-03-26,-3.3,-4.36,-1.1,neg_then_down,negative,down
2009-08-13,0.44,2.24,1.79,pos_then_up,positive,up
2009-11-05,0.04,0.38,0.34,pos_then_up,positive,up
2010-02-25,-1.63,-0.25,1.41,neg_then_up,negative,up
2010-05-06,0.35,3.93,3.57,pos_then_up,positive,up
2010-07-29,-0.4,1.16,1.57,neg_then_up,negative,up
2010-10-27,0.79,0.05,-0.73,pos_then_down,positive,down
2011-02-17,0.19,0.58,0.39,pos_then_up,positive,up
2011-04-27,0.1,-1.1,-1.2,pos_then_down,positive,down
2011-07-27,-0.1,-0.98,-0.88,neg_then_down,negative,down
2011-10-26,1.98,-2.8,-4.68,pos_then_down,positive,down
2012-02-15,-0.23,0.25,0.48,neg_then_up,negative,up
2012-04-25,1.2,1.02,-0.18,pos_then_down,positive,down
2012-07-26,0.65,2.08,1.42,pos_then_up,positive,up
2012-10-24,0.7,0.73,0.02,pos_then_up,positive,up
2013-02-13,0.05,0.26,0.21,pos_then_up,positive,up
2013-04-24,0.19,-0.15,-0.33,pos_then_down,positive,down
2013-07-24,0.02,-0.45,-0.47,pos_then_down,positive,down
2013-10-23,0.54,0.0,-0.53,pos_then_down,positive,down
2014-02-12,-0.08,0.16,0.24,neg_then_up,negative,up
2014-10-23,0.1,-0.22,-0.33,pos_then_down,positive,down
2015-02-12,-0.96,-1.72,-0.77,neg_then_down,negative,down
2015-04-23,0.3,-0.11,-0.42,pos_then_down,positive,down
2015-07-23,0.26,0.85,0.59,pos_then_up,positive,up
2015-10-22,0.66,0.32,-0.33,pos_then_down,positive,down
2016-02-17,0.3,0.68,0.38,pos_then_up,positive,up
2016-04-27,-0.45,0.25,0.71,neg_then_up,negative,up
2016-10-27,0.32,1.32,1.0,pos_then_up,positive,up
2017-02-14,-0.61,-0.27,0.35,neg_then_up,negative,up
2017-04-26,0.17,-0.87,-1.04,pos_then_down,positive,down
2017-07-27,-0.13,-1.29,-1.16,neg_then_down,negative,down
2017-10-25,0.48,1.1,0.62,pos_then_up,positive,up
2018-08-08,0.42,0.84,0.42,pos_then_up,positive,up
2018-11-07,1.05,3.04,1.97,pos_then_up,positive,up
2019-02-28,1.39,3.38,1.96,pos_then_up,positive,up
2019-05-09,-0.81,4.0,4.85,neg_then_up,negative,up
2019-08-08,-0.17,0.21,0.38,neg_then_up,negative,up
2020-02-27,-1.42,-1.27,0.14,neg_then_up,negative,up
2020-07-30,1.36,-0.58,-1.92,pos_then_down,positive,down
2020-10-29,-0.51,-1.07,-0.55,neg_then_down,negative,down
2021-02-25,0.19,-1.1,-1.29,pos_then_down,positive,down
2021-04-29,-0.06,-0.25,-0.19,neg_then_down,negative,down
2021-07-29,0.14,0.74,0.6,pos_then_up,positive,up
2021-10-28,0.11,1.69,1.58,pos_then_up,positive,up
2022-02-24,0.68,4.5,3.79,pos_then_up,positive,up
2022-04-28,0.03,-1.55,-1.58,pos_then_down,positive,down
2022-07-28,-0.55,0.62,1.18,neg_then_up,negative,up
2022-10-27,0.6,3.78,3.16,pos_then_up,positive,up
2023-02-23,-0.58,-0.89,-0.31,neg_then_down,negative,down
2023-04-27,-0.27,-2.5,-2.24,neg_then_down,negative,down
2023-07-27,0.59,0.47,-0.12,pos_then_down,positive,down
2023-10-26,-0.47,1.22,1.7,neg_then_up,negative,up
2024-02-22,0.26,-0.59,-0.85,pos_then_down,positive,down
2024-04-25,-1.03,-0.35,0.69,neg_then_up,negative,up
2024-07-25,-0.03,1.6,1.63,neg_then_up,negative,up
2024-10-24,0.17,-1.03,-1.2,pos_then_down,positive,down
2025-02-25,-0.57,-3.43,-2.88,neg_then_down,negative,down
2025-07-24,-0.36,-0.89,-0.54,neg_then_down,negative,down
2025-10-27,-0.72,-1.3,-0.59,neg_then_down,negative,down
