date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2015-08-10,-1.5,-1.07,0.44,neg_then_up,negative,up
2015-11-04,0.5,-0.53,-1.02,pos_then_down,positive,down
2016-02-25,5.12,3.84,-1.22,pos_then_down,positive,down
2016-05-04,3.73,3.74,0.01,pos_then_up,positive,up
2016-08-04,5.04,3.8,-1.18,pos_then_down,positive,down
2016-11-03,-4.89,-2.55,2.46,neg_then_up,negative,up
2017-02-15,-2.19,-4.19,-2.04,neg_then_down,negative,down
2017-05-03,-1.28,0.63,1.93,neg_then_up,negative,up
2017-08-03,1.24,0.17,-1.05,pos_then_down,positive,down
2017-11-01,-1.11,0.42,1.55,neg_then_up,negative,up
2018-02-16,-0.03,-2.98,-2.95,neg_then_down,negative,down
2018-05-02,3.82,1.38,-2.35,pos_then_down,positive,down
2018-08-03,-0.98,-3.38,-2.43,neg_then_down,negative,down
2018-11-01,-7.03,-9.73,-2.91,neg_then_down,negative,down
2019-02-21,-25.59,-27.46,-2.51,neg_then_down,negative,down
2019-05-06,-0.43,-0.82,-0.4,neg_then_down,negative,down
2019-08-08,-2.06,-6.09,-4.12,neg_then_down,negative,down
2019-10-31,-0.65,0.87,1.53,neg_then_up,negative,up
2020-02-13,0.29,-3.2,-3.48,pos_then_down,positive,down
2020-04-30,-1.12,-3.13,-2.03,neg_then_down,negative,down
2020-07-30,-0.79,-0.03,0.76,neg_then_up,negative,up
2020-10-29,0.1,1.83,1.73,pos_then_up,positive,up
2021-02-11,0.56,-0.42,-0.98,pos_then_down,positive,down
2021-04-29,-0.9,-0.95,-0.05,neg_then_down,negative,down
2021-08-04,0.3,0.0,-0.3,pos_then_down,positive,down
2021-10-27,-0.27,0.22,0.5,neg_then_up,negative,up
2022-02-16,-0.26,3.19,3.46,neg_then_up,negative,up
2022-04-27,0.26,1.7,1.44,pos_then_up,positive,up
2022-07-27,1.24,2.34,1.09,pos_then_up,positive,up
2022-10-26,0.68,3.01,2.31,pos_then_up,positive,up
2023-02-15,-1.5,-0.87,0.63,neg_then_up,negative,up
2023-05-03,0.57,1.47,0.89,pos_then_up,positive,up
2023-08-02,-0.17,-2.06,-1.9,neg_then_down,negative,down
2023-11-01,0.56,4.07,3.49,pos_then_up,positive,up
2024-02-14,0.26,2.37,2.1,pos_then_up,positive,up
2024-05-01,0.3,1.21,0.91,pos_then_up,positive,up
2024-07-31,-0.48,0.54,1.03,neg_then_up,negative,up
2024-10-30,-0.68,-0.8,-0.12,neg_then_down,negative,down
2025-02-12,-1.07,2.2,3.3,neg_then_up,negative,up
2025-04-29,0.78,0.8,0.02,pos_then_up,positive,up
2025-07-30,-1.53,-3.62,-2.12,neg_then_down,negative,down
2025-10-29,-0.25,0.82,1.07,neg_then_up,negative,up
