date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2010-08-10,-0.2,-0.1,0.1,neg_then_up,negative,up
2010-11-03,2.36,5.43,3.0,pos_then_up,positive,up
2011-02-23,2.14,2.02,-0.12,pos_then_down,positive,down
2011-05-04,0.45,-0.84,-1.29,pos_then_down,positive,down
2011-08-03,-2.61,-5.97,-3.45,neg_then_down,negative,down
2012-02-09,-0.46,0.07,0.53,neg_then_up,negative,up
2012-04-27,-0.69,-1.94,-1.26,neg_then_down,negative,down
2012-07-27,1.47,2.03,0.55,pos_then_up,positive,up
2012-10-26,0.75,2.1,1.35,pos_then_up,positive,up
2013-02-07,2.31,0.73,-1.54,pos_then_down,positive,down
2013-04-25,1.09,-0.05,-1.13,pos_then_down,positive,down
2013-07-26,-0.34,0.48,0.83,neg_then_up,negative,up
2013-10-24,1.41,1.24,-0.17,pos_then_down,positive,down
2014-02-06,2.76,1.17,-1.55,pos_then_down,positive,down
2014-04-24,-0.49,-2.87,-2.39,neg_then_down,negative,down
2014-07-24,0.04,-0.64,-0.68,pos_then_down,positive,down
2014-10-23,0.18,3.4,3.21,pos_then_up,positive,up
2015-02-10,-0.29,0.0,0.29,neg_then_up,negative,up
2015-04-23,0.34,-0.64,-0.97,pos_then_down,positive,down
2015-07-23,1.03,-0.62,-1.63,pos_then_down,positive,down
2015-10-27,-9.26,-4.26,5.51,neg_then_up,negative,up
2016-02-11,0.9,7.28,6.32,pos_then_up,positive,up
2016-07-26,0.21,1.73,1.52,pos_then_up,positive,up
2016-10-25,-0.74,-0.07,0.68,neg_then_up,negative,up
2017-02-09,-0.16,-0.38,-0.22,neg_then_down,negative,down
2017-04-27,2.46,1.33,-1.09,pos_then_down,positive,down
2017-07-27,0.05,0.26,0.21,pos_then_up,positive,up
2017-10-26,-0.15,0.25,0.39,neg_then_up,negative,up
2018-02-08,-0.24,0.52,0.76,neg_then_up,negative,up
2018-05-03,0.5,3.88,3.37,pos_then_up,positive,up
2018-07-26,0.14,-0.68,-0.82,pos_then_down,positive,down
2018-10-25,-1.06,-2.42,-1.38,neg_then_down,negative,down
2019-02-01,0.68,0.98,0.3,pos_then_up,positive,up
2019-04-04,0.25,0.63,0.38,pos_then_up,positive,up
2019-07-25,0.18,-0.33,-0.51,pos_then_down,positive,down
2020-01-31,2.76,-0.5,-3.17,pos_then_down,positive,down
2020-04-14,-4.67,-3.97,0.74,neg_then_up,negative,up
2020-08-04,1.57,0.22,-1.33,pos_then_down,positive,down
2020-10-30,1.9,2.64,0.72,pos_then_up,positive,up
2021-02-08,-0.6,2.83,3.44,neg_then_up,negative,up
2021-05-04,1.24,4.46,3.18,pos_then_up,positive,up
2021-08-03,0.4,1.9,1.49,pos_then_up,positive,up
2021-11-02,0.61,3.27,2.65,pos_then_up,positive,up
2022-02-08,1.69,3.69,1.97,pos_then_up,positive,up
2022-05-03,0.18,5.64,5.44,pos_then_up,positive,up
2022-08-02,1.01,2.01,0.99,pos_then_up,positive,up
2022-11-01,1.33,0.75,-0.58,pos_then_down,positive,down
2023-02-07,-0.49,-1.14,-0.65,neg_then_down,negative,down
2023-05-08,-1.36,-0.61,0.76,neg_then_up,negative,up
2023-08-07,-1.23,-1.0,0.23,neg_then_up,negative,up
2023-11-07,0.43,0.11,-0.32,pos_then_down,positive,down
2024-02-06,0.54,1.23,0.68,pos_then_up,positive,up
2024-05-01,-0.35,2.11,2.47,neg_then_up,negative,up
2024-07-31,0.26,-3.0,-3.25,pos_then_down,positive,down
2024-10-24,0.92,-2.37,-3.26,pos_then_down,positive,down
2025-02-04,-1.59,3.02,4.69,neg_then_up,negative,up
2025-05-01,1.76,2.13,0.37,pos_then_up,positive,up
2025-07-31,-2.41,-2.75,-0.35,neg_then_down,negative,down
2025-11-07,1.81,-1.0,-2.76,pos_then_down,positive,down
