date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-21,4.56,-3.25,1.16,pos_then_down,positive,down
2005-01-20,1.55,0.98,2.54,pos_then_up,positive,up
2005-04-28,-2.92,0.26,-2.67,neg_then_up,negative,up
2005-07-28,0.96,4.13,5.12,pos_then_up,positive,up
2005-10-27,-5.23,1.68,-3.64,neg_then_up,negative,up
2006-01-26,1.68,-1.35,0.31,pos_then_down,positive,down
2006-04-27,-1.02,-1.03,-2.03,neg_then_down,negative,down
2006-07-27,-0.15,5.85,5.69,neg_then_up,negative,up
2006-10-03,-0.27,3.2,2.92,neg_then_up,negative,up
2007-04-26,-1.42,0.64,-0.79,neg_then_up,negative,up
2007-07-26,-1.0,-1.37,-2.36,neg_then_down,negative,down
2007-10-25,-2.19,1.24,-0.97,neg_then_up,negative,up
2008-01-24,1.1,-0.61,0.48,pos_then_down,positive,down
2008-04-24,1.45,0.13,1.59,pos_then_up,positive,up
2008-07-31,-0.53,-3.45,-3.96,neg_then_down,negative,down
2008-10-30,0.33,8.59,8.95,pos_then_up,positive,up
2009-01-12,-2.52,1.72,-0.84,neg_then_up,negative,up
2009-04-23,-1.87,2.42,0.51,neg_then_up,negative,up
2009-07-23,-1.24,1.48,0.22,neg_then_up,negative,up
2009-10-29,-1.11,-4.1,-5.16,neg_then_down,negative,down
2010-01-28,1.19,-5.15,-4.02,pos_then_down,positive,down
2010-04-29,3.06,-4.73,-1.82,pos_then_down,positive,down
2010-07-29,-0.65,3.43,2.76,neg_then_up,negative,up
2010-10-28,-0.11,0.79,0.68,neg_then_up,negative,up
2011-01-27,1.3,-3.47,-2.22,pos_then_down,positive,down
2011-04-28,0.37,0.87,1.25,pos_then_up,positive,up
2011-07-13,0.41,-2.51,-2.11,pos_then_down,positive,down
2011-10-27,-2.9,3.07,0.08,neg_then_up,negative,up
2012-01-26,2.37,1.71,4.12,pos_then_up,positive,up
2012-04-26,-4.05,-1.12,-5.12,neg_then_down,negative,down
2012-07-11,-0.83,1.02,0.18,neg_then_up,negative,up
2012-10-25,-0.66,-0.43,-1.08,neg_then_down,negative,down
2013-01-24,2.94,5.31,8.41,pos_then_up,positive,up
2013-04-25,-7.67,0.97,-6.78,neg_then_up,negative,up
2013-07-10,0.69,0.47,1.16,pos_then_up,positive,up
2013-10-24,-2.24,2.54,0.24,neg_then_up,negative,up
2014-01-23,-0.09,-2.21,-2.3,neg_then_down,negative,down
2014-04-24,-7.0,-0.14,-7.13,neg_then_down,negative,down
2014-07-09,-1.46,1.29,-0.19,neg_then_up,negative,up
2014-10-23,7.28,-0.35,6.9,pos_then_down,positive,down
2015-01-22,-6.16,-2.01,-8.05,neg_then_down,negative,down
2015-04-23,-0.23,-1.37,-1.6,neg_then_down,negative,down
2015-07-16,0.13,-1.37,-1.24,pos_then_down,positive,down
2015-10-21,-0.89,2.35,1.44,neg_then_up,negative,up
2016-01-28,1.27,1.07,2.35,pos_then_up,positive,up
2016-04-26,-0.82,1.38,0.54,neg_then_up,negative,up
2016-07-28,-0.32,-1.93,-2.25,neg_then_down,negative,down
2016-10-07,0.44,0.75,1.2,pos_then_up,positive,up
2017-01-26,3.27,0.22,3.5,pos_then_up,positive,up
2017-04-27,-3.2,-2.05,-5.18,neg_then_down,negative,down
2017-07-27,-2.19,-3.42,-5.53,neg_then_down,negative,down
2017-10-26,-0.61,-0.11,-0.72,neg_then_down,negative,down
2018-01-25,-1.85,2.2,0.31,neg_then_up,negative,up
2018-04-26,0.73,0.6,1.34,pos_then_up,positive,up
2018-07-30,5.26,4.94,10.46,pos_then_up,positive,up
2018-10-29,3.96,3.5,7.6,pos_then_up,positive,up
2019-01-29,2.96,1.92,4.94,pos_then_up,positive,up
2019-05-06,-4.06,-2.17,-6.14,neg_then_down,negative,down
2019-08-05,4.28,2.86,7.26,pos_then_up,positive,up
2019-10-30,-3.06,0.82,-2.27,neg_then_up,negative,up
2020-02-04,-1.53,-2.71,-4.21,neg_then_down,negative,down
2020-05-05,5.0,0.24,5.26,pos_then_up,positive,up
2020-08-03,-3.57,2.33,-1.32,neg_then_up,negative,up
2020-10-28,-0.08,6.07,5.98,neg_then_up,negative,up
2021-02-03,0.75,2.01,2.77,pos_then_up,positive,up
2021-04-29,-3.47,0.1,-3.37,neg_then_up,negative,up
2021-07-29,6.28,2.55,8.99,pos_then_up,positive,up
2021-10-27,7.6,-3.03,4.34,pos_then_down,positive,down
2022-01-27,-2.56,4.0,1.34,neg_then_up,negative,up
2022-04-28,-0.31,-3.76,-4.06,neg_then_down,negative,down
2022-07-28,-2.15,5.94,3.67,neg_then_up,negative,up
2022-10-26,3.06,-2.18,0.82,pos_then_down,positive,down
2023-01-26,-5.54,-1.39,-6.85,neg_then_down,negative,down
2023-04-26,7.38,0.23,7.63,pos_then_up,positive,up
2023-07-27,3.66,2.2,5.94,pos_then_up,positive,up
2023-10-25,0.84,-0.09,0.75,pos_then_down,positive,down
2024-01-25,-2.76,-3.95,-6.6,neg_then_down,negative,down
2024-04-25,1.49,3.41,4.95,pos_then_up,positive,up
2024-07-24,1.56,-0.62,0.93,pos_then_down,positive,down
2024-10-30,-2.05,-1.69,-3.7,neg_then_down,negative,down
2025-01-30,2.22,-2.73,-0.56,pos_then_down,positive,down
2025-04-30,-1.92,-1.87,-3.75,neg_then_down,negative,down
2025-07-31,-2.6,3.56,0.87,neg_then_up,negative,up
2025-10-29,-0.09,-1.61,-1.69,neg_then_down,negative,down
