date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-22,0.12,1.17,1.29,pos_then_up,positive,up
2004-01-26,-0.63,0.81,0.17,neg_then_up,negative,up
2004-07-22,-0.15,-1.51,-1.66,neg_then_down,negative,down
2004-10-25,0.37,2.13,2.51,pos_then_up,positive,up
2005-01-24,0.08,0.23,0.31,pos_then_up,positive,up
2005-04-25,-0.52,-1.34,-1.85,neg_then_down,negative,down
2005-10-24,-0.83,-1.27,-2.08,neg_then_down,negative,down
2006-01-24,0.34,-1.06,-0.72,pos_then_down,positive,down
2006-07-26,0.16,-1.49,-1.33,pos_then_down,positive,down
2006-10-23,-1.32,-1.46,-2.77,neg_then_down,negative,down
2007-01-25,-0.28,-0.44,-0.71,neg_then_down,negative,down
2007-10-22,-0.06,-1.15,-1.21,neg_then_down,negative,down
2008-07-24,0.38,0.77,1.16,pos_then_up,positive,up
2008-10-22,1.35,-1.4,-0.07,pos_then_down,positive,down
2009-01-26,0.39,0.44,0.83,pos_then_up,positive,up
2009-04-22,-0.26,-0.56,-0.82,neg_then_down,negative,down
2009-07-23,-0.67,1.06,0.38,neg_then_up,negative,up
2009-10-22,-0.05,-2.36,-2.41,neg_then_down,negative,down
2010-01-22,0.86,-0.49,0.37,pos_then_down,positive,down
2010-04-22,0.26,-2.17,-1.92,pos_then_down,positive,down
2010-07-23,0.35,0.42,0.77,pos_then_up,positive,up
2010-10-26,0.3,-0.72,-0.42,pos_then_down,positive,down
2011-01-25,-0.59,-0.14,-0.73,neg_then_down,negative,down
2011-04-25,0.14,0.75,0.89,pos_then_up,positive,up
2011-07-25,0.36,0.31,0.68,pos_then_up,positive,up
2012-01-24,-1.0,0.45,-0.55,neg_then_up,negative,up
2012-04-20,-0.76,1.0,0.24,neg_then_up,negative,up
2012-07-26,0.07,1.8,1.87,pos_then_up,positive,up
2012-10-24,0.28,-1.92,-1.64,pos_then_down,positive,down
2013-01-25,0.23,0.39,0.63,pos_then_up,positive,up
2013-04-19,-0.82,0.34,-0.48,neg_then_up,negative,up
2013-10-22,-0.73,2.68,1.93,neg_then_up,negative,up
2014-01-24,0.4,-0.35,0.05,pos_then_down,positive,down
2014-04-21,0.26,-2.54,-2.29,pos_then_down,positive,down
2014-07-22,0.57,0.04,0.61,pos_then_up,positive,up
2014-10-21,0.42,0.85,1.28,pos_then_up,positive,up
2015-01-23,-0.44,-1.18,-1.61,neg_then_down,negative,down
2015-04-21,-0.13,-1.02,-1.15,neg_then_down,negative,down
2015-07-23,0.09,0.1,0.19,pos_then_up,positive,up
2015-10-21,0.7,1.58,2.29,pos_then_up,positive,up
2016-01-25,0.07,1.73,1.79,pos_then_up,positive,up
2016-04-22,-0.76,0.23,-0.53,neg_then_up,negative,up
2016-10-24,0.03,-0.18,-0.16,pos_then_down,positive,down
2017-01-24,-0.31,0.49,0.17,neg_then_up,negative,up
2017-04-24,0.82,1.03,1.86,pos_then_up,positive,up
2017-07-25,-0.07,-1.89,-1.96,neg_then_down,negative,down
2017-10-23,0.34,-0.77,-0.44,pos_then_down,positive,down
2018-01-23,0.08,1.51,1.59,pos_then_up,positive,up
2018-04-23,-0.85,2.78,1.91,neg_then_up,negative,up
2018-07-24,-0.08,0.27,0.19,neg_then_up,negative,up
2018-10-22,-0.95,-1.19,-2.12,neg_then_down,negative,down
2019-01-23,-0.03,-0.61,-0.63,neg_then_down,negative,down
2019-04-22,-0.19,-3.37,-3.55,neg_then_down,negative,down
2019-07-23,0.69,-0.98,-0.3,pos_then_down,positive,down
2019-10-22,0.91,2.86,3.8,pos_then_up,positive,up
2020-01-23,0.59,-1.44,-0.85,pos_then_down,positive,down
2020-04-22,-0.07,-1.64,-1.71,neg_then_down,negative,down
2020-07-23,0.3,-0.29,0.01,pos_then_down,positive,down
2020-10-22,0.34,-1.21,-0.88,pos_then_down,positive,down
2021-01-25,-0.37,0.83,0.45,neg_then_up,negative,up
2021-04-23,-0.24,-0.96,-1.2,neg_then_down,negative,down
2021-07-23,-0.92,0.51,-0.41,neg_then_up,negative,up
2021-10-25,-0.8,3.25,2.43,neg_then_up,negative,up
2022-01-26,0.08,1.87,1.96,pos_then_up,positive,up
2022-04-22,0.1,3.48,3.59,pos_then_up,positive,up
2022-07-26,0.2,-1.63,-1.43,pos_then_down,positive,down
2022-10-25,0.07,0.54,0.6,pos_then_up,positive,up
2023-01-25,-0.7,-0.66,-1.36,neg_then_down,negative,down
2023-04-25,-0.88,0.15,-0.73,neg_then_up,negative,up
2023-07-25,-0.06,-0.72,-0.77,neg_then_down,negative,down
2023-10-24,0.37,-1.79,-1.43,pos_then_down,positive,down
2024-01-24,0.09,1.98,2.08,pos_then_up,positive,up
2024-04-23,-0.28,1.56,1.28,neg_then_up,negative,up
2024-07-23,-0.82,4.26,3.41,neg_then_up,negative,up
2024-10-22,-0.59,-0.04,-0.62,neg_then_down,negative,down
2025-01-28,0.26,-0.08,0.18,pos_then_down,positive,down
2025-04-22,-1.74,-1.56,-3.28,neg_then_down,negative,down
2025-08-01,0.55,1.36,1.91,pos_then_up,positive,up
2025-10-30,-0.88,0.47,-0.42,neg_then_up,negative,up
