date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-01-29,-0.23,-1.41,-1.64,neg_then_down,negative,down
2004-04-05,3.29,-1.13,2.13,pos_then_down,positive,down
2004-07-26,0.86,1.58,2.45,pos_then_up,positive,up
2004-10-25,-0.35,-0.51,-0.86,neg_then_down,negative,down
2005-01-31,-0.76,1.47,0.69,neg_then_up,negative,up
2005-04-28,0.94,2.23,3.19,pos_then_up,positive,up
2005-07-27,0.71,1.5,2.23,pos_then_up,positive,up
2006-01-31,0.58,1.21,1.79,pos_then_up,positive,up
2006-04-27,0.44,1.11,1.56,pos_then_up,positive,up
2006-07-27,0.04,1.17,1.21,pos_then_up,positive,up
2006-10-26,-0.3,-0.12,-0.42,neg_then_down,negative,down
2007-01-30,-0.68,-1.2,-1.87,neg_then_down,negative,down
2007-04-30,0.4,0.47,0.87,pos_then_up,positive,up
2007-07-26,0.79,-0.71,0.08,pos_then_down,positive,down
2007-10-29,-1.13,-1.03,-2.15,neg_then_down,negative,down
2008-01-30,-1.36,-1.32,-2.67,neg_then_down,negative,down
2008-04-30,-0.92,3.41,2.46,neg_then_up,negative,up
2008-07-31,0.17,-1.3,-1.13,pos_then_down,positive,down
2008-10-29,2.4,-2.4,-0.06,pos_then_down,positive,down
2009-02-05,0.27,-0.5,-0.23,pos_then_down,positive,down
2009-04-30,0.17,2.89,3.06,pos_then_up,positive,up
2009-07-30,-0.69,0.36,-0.34,neg_then_up,negative,up
2009-10-29,0.62,-0.31,0.31,pos_then_down,positive,down
2010-02-04,-0.42,1.02,0.59,neg_then_up,negative,up
2010-04-29,-0.4,0.27,-0.13,neg_then_up,negative,up
2010-07-29,-0.4,4.73,4.31,neg_then_up,negative,up
2011-02-03,0.74,0.96,1.71,pos_then_up,positive,up
2011-05-04,-0.3,-0.07,-0.37,neg_then_down,negative,down
2011-07-28,-0.61,0.54,-0.07,neg_then_up,negative,up
2011-11-03,0.1,-0.1,0.0,pos_then_down,positive,down
2012-02-02,0.61,-0.12,0.49,pos_then_down,positive,down
2012-04-23,-0.04,-0.49,-0.53,neg_then_down,negative,down
2012-08-02,0.85,0.98,1.84,pos_then_up,positive,up
2012-11-01,0.11,0.24,0.36,pos_then_up,positive,up
2013-02-05,0.19,0.65,0.84,pos_then_up,positive,up
2013-05-02,0.47,-0.09,0.38,pos_then_down,positive,down
2013-08-01,0.18,-0.47,-0.29,pos_then_down,positive,down
2013-11-04,-0.88,1.48,0.59,neg_then_up,negative,up
2014-02-06,0.45,0.62,1.07,pos_then_up,positive,up
2014-07-31,-0.28,2.98,2.69,neg_then_up,negative,up
2014-10-30,0.72,-0.84,-0.12,pos_then_down,positive,down
2015-02-12,-1.11,0.96,-0.16,neg_then_up,negative,up
2015-05-05,0.33,-0.6,-0.27,pos_then_down,positive,down
2015-08-04,0.74,0.97,1.72,pos_then_up,positive,up
2015-11-03,0.48,0.38,0.87,pos_then_up,positive,up
2016-02-11,0.87,0.86,1.74,pos_then_up,positive,up
2016-05-05,-0.19,0.15,-0.04,neg_then_up,negative,up
2016-08-04,0.51,-0.16,0.35,pos_then_down,positive,down
2016-11-01,0.08,-0.24,-0.16,pos_then_down,positive,down
2017-02-09,-0.37,-0.21,-0.58,neg_then_down,negative,down
2017-05-04,0.48,-0.07,0.41,pos_then_down,positive,down
2017-08-03,1.65,-2.66,-1.05,pos_then_down,positive,down
2017-10-31,0.18,0.59,0.77,pos_then_up,positive,up
2018-02-08,0.94,1.1,2.05,pos_then_up,positive,up
2018-04-19,-0.08,-3.02,-3.1,neg_then_down,negative,down
2018-08-02,0.46,2.78,3.25,pos_then_up,positive,up
2019-02-07,-0.93,0.07,-0.86,neg_then_up,negative,up
2019-05-02,0.05,-1.64,-1.59,pos_then_down,positive,down
2019-08-01,-0.86,0.51,-0.36,neg_then_up,negative,up
2019-10-29,0.72,0.88,1.61,pos_then_up,positive,up
2020-02-06,-0.32,1.44,1.12,neg_then_up,negative,up
2020-04-30,-0.46,-0.52,-0.98,neg_then_down,negative,down
2020-07-30,-0.69,-1.58,-2.27,neg_then_down,negative,down
2020-10-29,-0.44,0.14,-0.3,neg_then_up,negative,up
2021-02-11,0.04,0.63,0.67,pos_then_up,positive,up
2021-05-06,-0.64,-0.22,-0.86,neg_then_down,negative,down
2021-08-05,-0.13,1.27,1.14,neg_then_up,negative,up
2021-11-04,-0.16,-0.4,-0.56,neg_then_down,negative,down
2022-02-10,-0.88,1.32,0.42,neg_then_up,negative,up
2022-05-05,0.04,3.52,3.56,pos_then_up,positive,up
2022-08-04,0.53,1.12,1.65,pos_then_up,positive,up
2022-11-03,0.72,-0.21,0.5,pos_then_down,positive,down
2023-02-09,0.51,0.33,0.83,pos_then_up,positive,up
2023-05-04,0.63,-0.66,-0.04,pos_then_down,positive,down
2023-08-03,-0.35,-1.85,-2.19,neg_then_down,negative,down
2023-11-08,0.56,-0.54,0.02,pos_then_down,positive,down
2024-02-08,-0.38,-2.27,-2.64,neg_then_down,negative,down
2024-05-02,-0.46,-0.8,-1.26,neg_then_down,negative,down
2024-08-01,1.64,-0.14,1.5,pos_then_down,positive,down
2024-10-31,-0.07,0.02,-0.05,neg_then_up,negative,up
2025-02-06,-0.04,0.24,0.21,neg_then_up,negative,up
2025-05-01,-0.19,0.29,0.1,neg_then_up,negative,up
2025-07-31,-0.25,0.36,0.11,neg_then_up,negative,up
2025-10-30,-0.18,0.1,-0.08,neg_then_up,negative,up
