date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2006-12-12,-3.14,-4.5,-7.51,neg_then_down,negative,down
2007-04-11,2.63,2.56,5.26,pos_then_up,positive,up
2007-09-06,1.62,2.04,3.7,pos_then_up,positive,up
2007-12-10,2.67,0.39,3.07,pos_then_up,positive,up
2008-03-25,-3.52,1.55,-2.03,neg_then_up,negative,up
2008-06-03,2.32,4.63,7.05,pos_then_up,positive,up
2008-09-03,3.53,2.82,6.45,pos_then_up,positive,up
2008-12-09,0.93,-0.16,0.76,pos_then_down,positive,down
2009-03-25,2.26,1.71,4.01,pos_then_up,positive,up
2009-06-03,5.11,1.08,6.25,pos_then_up,positive,up
2009-09-02,1.0,-2.14,-1.16,pos_then_down,positive,down
2009-12-08,-1.61,2.08,0.44,neg_then_up,negative,up
2010-03-30,-5.9,-0.9,-6.74,neg_then_down,negative,down
2010-06-03,-0.74,0.51,-0.23,neg_then_up,negative,up
2010-09-01,2.02,-3.19,-1.24,pos_then_down,positive,down
2010-12-08,-4.81,-1.69,-6.42,neg_then_down,negative,down
2011-03-23,0.29,0.18,0.47,pos_then_up,positive,up
2011-06-02,-0.76,-1.87,-2.61,neg_then_down,negative,down
2011-08-31,-10.4,-3.5,-13.53,neg_then_down,negative,down
2011-12-06,0.41,6.15,6.58,pos_then_up,positive,up
2012-03-14,0.7,1.78,2.49,pos_then_up,positive,up
2012-05-31,1.8,-3.8,-2.07,pos_then_down,positive,down
2012-08-30,5.08,-1.61,3.39,pos_then_down,positive,down
2012-12-05,-0.43,-3.1,-3.51,neg_then_down,negative,down
2013-03-26,4.99,-1.04,3.9,pos_then_down,positive,down
2013-06-03,-3.03,2.64,-0.47,neg_then_up,negative,up
2013-12-03,-1.03,0.36,-0.67,neg_then_up,negative,up
2014-03-27,-1.22,-0.37,-1.59,neg_then_down,negative,down
2014-06-04,-1.0,1.87,0.85,neg_then_up,negative,up
2014-09-09,-0.93,7.14,6.14,neg_then_up,negative,up
2014-12-03,1.24,-0.65,0.58,pos_then_down,positive,down
2015-03-25,-0.73,1.39,0.65,neg_then_up,negative,up
2015-10-29,0.56,0.11,0.67,pos_then_up,positive,up
2016-02-18,-0.33,-0.45,-0.78,neg_then_down,negative,down
2016-04-27,0.67,-2.2,-1.54,pos_then_down,positive,down
2016-07-28,-0.34,-0.93,-1.26,neg_then_down,negative,down
2016-11-03,-0.07,-1.35,-1.42,neg_then_down,negative,down
2017-02-23,0.1,2.93,3.03,pos_then_up,positive,up
2017-05-04,0.66,-0.51,0.15,pos_then_down,positive,down
2017-08-03,0.58,-1.37,-0.79,pos_then_down,positive,down
2017-11-02,0.6,0.73,1.34,pos_then_up,positive,up
2018-02-22,0.87,-0.74,0.12,pos_then_down,positive,down
2018-05-03,-0.76,0.54,-0.23,neg_then_up,negative,up
2018-07-26,0.59,-0.2,0.38,pos_then_down,positive,down
2018-10-25,-1.63,1.68,0.02,neg_then_up,negative,up
2019-02-19,-0.34,-0.68,-1.01,neg_then_down,negative,down
2019-04-30,0.86,-1.7,-0.86,pos_then_down,positive,down
2019-07-30,0.01,-2.71,-2.7,pos_then_down,positive,down
2019-10-29,0.6,-0.25,0.35,pos_then_down,positive,down
2020-02-18,0.63,-2.96,-2.35,pos_then_down,positive,down
2020-08-04,-0.17,-2.58,-2.75,neg_then_down,negative,down
2020-11-02,0.47,2.12,2.6,pos_then_up,positive,up
2021-02-23,-1.26,-2.11,-3.35,neg_then_down,negative,down
2021-05-04,0.19,-1.23,-1.04,pos_then_down,positive,down
2021-08-03,-0.4,-0.56,-0.95,neg_then_down,negative,down
2021-11-02,-0.57,-2.6,-3.16,neg_then_down,negative,down
2022-02-15,-0.44,5.46,4.99,neg_then_up,negative,up
2022-05-03,0.08,2.12,2.2,pos_then_up,positive,up
2022-08-02,0.15,-0.69,-0.54,pos_then_down,positive,down
2022-11-01,-0.14,0.92,0.78,neg_then_up,negative,up
2023-02-14,-0.9,3.76,2.82,neg_then_up,negative,up
2023-05-02,-0.07,0.42,0.35,neg_then_up,negative,up
2023-08-01,0.01,-1.44,-1.43,pos_then_down,positive,down
2023-10-31,0.92,1.15,2.08,pos_then_up,positive,up
2024-02-13,0.54,-0.35,0.18,pos_then_down,positive,down
2024-04-30,-0.36,1.78,1.4,neg_then_up,negative,up
2024-07-30,1.38,-2.43,-1.08,pos_then_down,positive,down
2024-10-29,1.22,-1.27,-0.06,pos_then_down,positive,down
2025-02-11,-0.81,0.27,-0.55,neg_then_up,negative,up
2025-05-06,-0.56,0.55,-0.02,neg_then_up,negative,up
2025-08-05,1.19,-0.29,0.9,pos_then_down,positive,down
2025-11-04,0.22,-2.46,-2.25,pos_then_down,positive,down
