date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2015-04-27,-0.18,-1.53,-1.71,neg_then_down,negative,down
2015-10-26,-0.08,2.58,2.49,neg_then_up,negative,up
2016-02-18,-0.06,0.14,0.08,neg_then_up,negative,up
2016-04-25,0.31,1.0,1.31,pos_then_up,positive,up
2016-10-26,0.08,-2.06,-1.98,pos_then_down,positive,down
2017-02-16,-0.32,0.66,0.33,neg_then_up,negative,up
2017-04-25,-0.04,-0.1,-0.14,neg_then_down,negative,down
2017-07-26,0.2,-0.87,-0.66,pos_then_down,positive,down
2017-10-25,0.43,0.02,0.45,pos_then_up,positive,up
2018-02-06,0.32,0.27,0.59,pos_then_up,positive,up
2018-04-25,0.06,-0.19,-0.13,pos_then_down,positive,down
2018-07-25,-0.55,-2.31,-2.85,neg_then_down,negative,down
2018-10-24,-0.2,1.06,0.86,neg_then_up,negative,up
2019-02-07,-0.66,-1.13,-1.78,neg_then_down,negative,down
2019-04-30,0.68,0.09,0.78,pos_then_up,positive,up
2019-07-25,0.44,-3.47,-3.05,pos_then_down,positive,down
2019-10-24,-0.15,1.02,0.87,neg_then_up,negative,up
2020-02-13,-0.39,0.67,0.28,neg_then_up,negative,up
2020-04-29,-2.77,-2.5,-5.21,neg_then_down,negative,down
2020-07-28,0.84,-1.81,-0.98,pos_then_down,positive,down
2020-10-27,-1.58,0.38,-1.21,neg_then_up,negative,up
2021-02-11,0.67,-0.22,0.44,pos_then_down,positive,down
2021-04-29,-0.3,-0.12,-0.42,neg_then_down,negative,down
2021-07-29,0.52,-0.01,0.51,pos_then_down,positive,down
2022-02-10,0.45,-2.54,-2.1,pos_then_down,positive,down
2022-04-28,-0.2,0.04,-0.16,neg_then_up,negative,up
2022-07-28,0.34,3.53,3.89,pos_then_up,positive,up
2022-10-27,-0.52,4.24,3.69,neg_then_up,negative,up
2023-02-16,0.28,-0.21,0.07,pos_then_down,positive,down
2023-04-25,-0.88,1.04,0.16,neg_then_up,negative,up
2023-07-27,0.97,-1.6,-0.65,pos_then_down,positive,down
2023-10-26,-0.5,-2.89,-3.38,neg_then_down,negative,down
2024-02-15,0.56,-3.01,-2.47,pos_then_down,positive,down
2024-04-25,-0.64,0.67,0.03,neg_then_up,negative,up
2024-08-01,-0.3,1.42,1.12,neg_then_up,negative,up
2024-10-24,-0.34,-0.28,-0.63,neg_then_down,negative,down
2025-02-06,0.46,-1.05,-0.59,pos_then_down,positive,down
2025-04-29,-0.46,0.71,0.25,neg_then_up,negative,up
2025-07-24,0.13,-1.15,-1.02,pos_then_down,positive,down
2025-10-28,-0.27,-4.19,-4.45,neg_then_down,negative,down
