date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-20,0.84,1.53,0.68,pos_then_up,positive,up
2004-01-22,0.97,1.42,0.45,pos_then_up,positive,up
2004-04-15,-0.54,-0.74,-0.2,neg_then_down,negative,down
2004-07-15,2.71,-1.22,-3.83,pos_then_down,positive,down
2004-10-14,1.06,1.7,0.63,pos_then_up,positive,up
2005-01-19,-0.28,-2.29,-2.02,neg_then_down,negative,down
2005-04-14,0.4,-0.94,-1.33,pos_then_down,positive,down
2005-07-14,-0.35,-1.39,-1.04,neg_then_down,negative,down
2005-10-20,1.19,4.84,3.61,pos_then_up,positive,up
2006-01-18,-0.78,-3.58,-2.83,neg_then_down,negative,down
2006-04-20,0.18,-2.91,-3.09,pos_then_down,positive,down
2006-07-19,-1.91,0.12,2.07,neg_then_up,negative,up
2006-10-19,0.31,-1.56,-1.87,pos_then_down,positive,down
2007-01-17,0.38,-0.38,-0.75,pos_then_down,positive,down
2007-07-18,0.51,4.33,3.8,pos_then_up,positive,up
2007-10-18,-0.21,-2.58,-2.38,neg_then_down,negative,down
2008-01-23,-0.39,-6.35,-5.98,neg_then_down,negative,down
2008-04-17,1.27,-0.32,-1.57,pos_then_down,positive,down
2008-10-16,-2.24,-2.4,-0.16,neg_then_down,negative,down
2009-01-22,-5.91,-18.45,-13.33,neg_then_down,negative,down
2009-04-03,-0.58,7.0,7.62,neg_then_up,negative,up
2009-07-07,0.46,2.01,1.54,pos_then_up,positive,up
2009-10-07,1.09,5.65,4.52,pos_then_up,positive,up
2010-01-08,0.18,1.15,0.97,pos_then_up,positive,up
2010-04-07,0.98,0.75,-0.22,pos_then_down,positive,down
2010-07-07,0.27,1.24,0.97,pos_then_up,positive,up
2010-10-07,0.31,1.24,0.93,pos_then_up,positive,up
2011-01-07,-0.3,0.08,0.38,neg_then_up,negative,up
2011-04-07,1.1,-1.02,-2.1,pos_then_down,positive,down
2011-07-08,-0.88,-2.99,-2.13,neg_then_down,negative,down
2011-10-07,0.91,3.64,2.71,pos_then_up,positive,up
2012-01-09,1.16,1.4,0.23,pos_then_up,positive,up
2012-04-19,-0.12,-3.89,-3.77,neg_then_down,negative,down
2012-07-19,0.33,-3.17,-3.49,pos_then_down,positive,down
2012-10-18,0.56,-1.11,-1.66,pos_then_down,positive,down
2013-01-08,0.09,-0.27,-0.36,pos_then_down,positive,down
2013-04-05,0.16,0.94,0.78,pos_then_up,positive,up
2013-07-09,-0.08,0.31,0.38,neg_then_up,negative,up
2013-10-07,0.13,-0.34,-0.47,pos_then_down,positive,down
2013-12-09,0.16,0.65,0.49,pos_then_up,positive,up
2014-04-08,0.38,2.72,2.33,pos_then_up,positive,up
2014-07-09,-0.74,0.22,0.96,neg_then_up,negative,up
2014-09-09,0.88,2.16,1.27,pos_then_up,positive,up
2015-01-12,0.92,0.57,-0.34,pos_then_down,positive,down
2015-04-09,-0.05,0.0,0.05,neg_then_up,negative,up
2015-07-08,1.33,0.49,-0.82,pos_then_down,positive,down
2015-10-08,0.72,3.04,2.31,pos_then_up,positive,up
2016-01-11,1.12,1.52,0.4,pos_then_up,positive,up
2016-04-07,0.57,1.95,1.37,pos_then_up,positive,up
2016-07-08,0.99,1.23,0.24,pos_then_up,positive,up
2016-10-11,0.9,0.55,-0.35,pos_then_down,positive,down
2017-01-10,0.84,0.66,-0.17,pos_then_down,positive,down
2017-04-07,-0.26,-0.59,-0.33,neg_then_down,negative,down
2017-07-10,-0.08,-2.09,-2.01,neg_then_down,negative,down
2017-10-06,0.1,-1.33,-1.44,pos_then_down,positive,down
2018-01-02,-0.26,-2.08,-1.83,neg_then_down,negative,down
2018-03-21,-0.47,-1.35,-0.89,neg_then_down,negative,down
2018-07-10,-0.87,-0.89,-0.02,neg_then_down,negative,down
2018-10-05,-0.25,-0.7,-0.46,neg_then_down,negative,down
2019-01-08,0.19,3.24,3.04,pos_then_up,positive,up
2019-04-25,-0.19,-0.69,-0.51,neg_then_down,negative,down
2019-07-25,-0.09,-3.02,-2.93,neg_then_down,negative,down
2019-10-24,-0.39,0.8,1.19,neg_then_up,negative,up
2020-01-23,0.38,2.08,1.69,pos_then_up,positive,up
2020-04-28,-0.67,4.31,5.02,neg_then_up,negative,up
2020-07-23,-1.46,-3.45,-2.01,neg_then_down,negative,down
2020-10-22,0.26,2.05,1.78,pos_then_up,positive,up
2021-01-28,-0.78,-1.48,-0.7,neg_then_down,negative,down
2021-04-22,0.39,0.75,0.36,pos_then_up,positive,up
2021-07-22,0.25,-1.15,-1.4,pos_then_down,positive,down
2021-10-21,-1.05,-2.12,-1.08,neg_then_down,negative,down
2022-01-27,-0.07,0.26,0.33,neg_then_up,negative,up
2022-04-28,0.51,-0.38,-0.89,pos_then_down,positive,down
2022-07-28,-1.1,-0.08,1.03,neg_then_up,negative,up
2022-10-27,0.82,2.66,1.83,pos_then_up,positive,up
2023-01-06,0.6,2.03,1.42,pos_then_up,positive,up
2023-07-27,-0.76,2.06,2.84,neg_then_up,negative,up
2023-10-26,-2.09,-4.49,-2.45,neg_then_down,negative,down
2024-01-25,0.46,-0.99,-1.44,pos_then_down,positive,down
2024-04-25,-0.4,-0.84,-0.44,neg_then_down,negative,down
2024-10-24,1.21,1.41,0.2,pos_then_up,positive,up
2025-01-30,0.1,-1.76,-1.85,pos_then_down,positive,down
2025-04-23,-3.41,3.68,7.34,neg_then_up,negative,up
2025-07-23,-3.58,-11.16,-7.87,neg_then_down,negative,down
2025-10-22,-2.78,-6.25,-3.56,neg_then_down,negative,down
