date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-03-08,-0.53,-4.75,-4.25,neg_then_down,negative,down
2005-08-03,-2.28,-1.36,0.94,neg_then_up,negative,up
2005-11-02,3.6,4.81,1.17,pos_then_up,positive,up
2006-02-14,-4.19,3.19,7.7,neg_then_up,negative,up
2006-05-04,4.49,7.54,2.91,pos_then_up,positive,up
2006-08-02,-4.11,-6.85,-2.86,neg_then_down,negative,down
2006-11-01,-2.31,-5.1,-2.86,neg_then_down,negative,down
2007-02-05,-2.15,-3.28,-1.15,neg_then_down,negative,down
2007-04-16,0.14,-0.58,-0.71,pos_then_down,positive,down
2007-08-01,1.54,7.74,6.1,pos_then_up,positive,up
2007-11-01,-11.96,-6.81,5.86,neg_then_up,negative,up
2008-02-04,4.04,9.15,4.91,pos_then_up,positive,up
2008-04-30,-9.18,-5.63,3.92,neg_then_up,negative,up
2008-07-30,-9.2,-4.81,4.84,neg_then_up,negative,up
2008-11-12,6.86,9.41,2.39,pos_then_up,positive,up
2009-02-11,4.27,-12.31,-15.9,pos_then_down,positive,down
2009-05-05,2.73,-9.61,-12.02,pos_then_down,positive,down
2009-07-30,-11.03,-16.14,-5.75,neg_then_down,negative,down
2009-10-29,7.25,2.24,-4.67,pos_then_down,positive,down
2010-02-17,-6.13,-8.88,-2.93,neg_then_down,negative,down
2010-05-06,2.82,-2.12,-4.81,pos_then_down,positive,down
2010-07-28,0.97,0.9,-0.07,pos_then_down,positive,down
2010-10-27,12.15,8.69,-3.08,pos_then_down,positive,down
2011-02-03,-5.83,-8.45,-2.79,neg_then_down,negative,down
2011-05-03,-6.5,-7.28,-0.84,neg_then_down,negative,down
2011-07-26,4.34,2.35,-1.9,pos_then_down,positive,down
2011-10-27,3.55,6.01,2.38,pos_then_up,positive,up
2012-02-01,1.14,1.77,0.63,pos_then_up,positive,up
2012-04-25,-2.93,-3.08,-0.16,neg_then_down,negative,down
2012-07-25,-4.48,-2.93,1.62,neg_then_up,negative,up
2012-11-01,-0.17,-0.77,-0.6,neg_then_down,negative,down
2013-01-30,3.51,7.16,3.52,pos_then_up,positive,up
2013-05-01,1.87,1.28,-0.58,pos_then_down,positive,down
2013-07-24,-0.25,-1.0,-0.75,neg_then_down,negative,down
2013-10-17,1.24,2.18,0.93,pos_then_up,positive,up
2014-01-29,-0.97,5.38,6.42,neg_then_up,negative,up
2014-04-24,-0.04,-3.12,-3.08,neg_then_down,negative,down
2014-07-16,-1.96,-0.6,1.4,neg_then_up,negative,up
2014-10-15,1.38,6.18,4.74,pos_then_up,positive,up
2015-01-28,1.18,-1.02,-2.17,pos_then_down,positive,down
2015-04-22,-2.84,-2.25,0.6,neg_then_up,negative,up
2015-07-22,4.46,1.4,-2.93,pos_then_down,positive,down
2015-10-21,3.16,-0.51,-3.56,pos_then_down,positive,down
2016-01-27,2.09,2.89,0.78,pos_then_up,positive,up
2016-04-20,-8.11,-9.18,-1.17,neg_then_down,negative,down
2016-07-25,3.08,5.9,2.74,pos_then_up,positive,up
2016-11-03,4.28,4.12,-0.15,pos_then_down,positive,down
2017-01-25,-3.42,-7.48,-4.2,neg_then_down,negative,down
2017-04-26,-2.56,-0.1,2.53,neg_then_up,negative,up
2017-07-26,-0.31,1.01,1.32,neg_then_up,negative,up
2017-10-25,1.73,-0.52,-2.22,pos_then_down,positive,down
2018-01-24,-0.45,-2.69,-2.24,neg_then_down,negative,down
2018-04-25,1.47,1.06,-0.4,pos_then_down,positive,down
2018-07-25,-3.49,-5.09,-1.66,neg_then_down,negative,down
2018-10-24,0.29,4.35,4.05,pos_then_up,positive,up
2019-01-23,-2.9,-1.61,1.33,neg_then_up,negative,up
2019-04-17,1.66,0.46,-1.19,pos_then_down,positive,down
2019-07-24,-2.51,-3.51,-1.03,neg_then_down,negative,down
2019-10-23,0.74,3.28,2.51,pos_then_up,positive,up
2020-01-29,-1.75,2.32,4.14,neg_then_up,negative,up
2020-04-22,10.09,12.02,1.75,pos_then_up,positive,up
2020-07-22,-2.88,-4.18,-1.34,neg_then_down,negative,down
2020-10-21,7.07,8.42,1.26,pos_then_up,positive,up
2021-01-27,0.29,0.08,-0.2,pos_then_down,positive,down
2021-04-21,-4.1,-4.0,0.1,neg_then_up,negative,up
2021-07-21,-2.95,-4.45,-1.54,neg_then_down,negative,down
2021-10-20,-2.02,-1.9,0.13,neg_then_up,negative,up
2022-01-26,0.23,-4.62,-4.84,pos_then_down,positive,down
2022-04-27,-1.09,2.41,3.54,neg_then_up,negative,up
2022-07-20,1.78,6.58,4.72,pos_then_up,positive,up
2022-10-19,2.64,5.59,2.87,pos_then_up,positive,up
2023-01-25,4.0,6.09,2.01,pos_then_up,positive,up
2023-04-19,4.68,3.66,-0.98,pos_then_down,positive,down
2023-07-19,-4.11,-5.4,-1.35,neg_then_down,negative,down
2023-10-18,3.43,2.87,-0.54,pos_then_down,positive,down
2024-01-24,3.85,1.03,-2.72,pos_then_down,positive,down
2024-04-17,-4.26,-8.66,-4.6,neg_then_down,negative,down
2024-07-24,-1.74,-2.43,-0.71,neg_then_down,negative,down
2024-10-23,2.17,2.8,0.61,pos_then_up,positive,up
2025-01-29,9.37,11.08,1.56,pos_then_up,positive,up
2025-04-23,0.26,6.49,6.21,pos_then_up,positive,up
2025-07-23,5.3,4.31,-0.94,pos_then_down,positive,down
2025-10-22,7.78,12.39,4.27,pos_then_up,positive,up
