date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2017-01-10,-0.38,0.14,0.52,neg_then_up,negative,up
2017-04-06,-2.34,-0.35,2.04,neg_then_up,negative,up
2017-07-25,-0.37,-3.06,-2.7,neg_then_down,negative,down
2017-10-04,0.89,0.37,-0.51,pos_then_down,positive,down
2018-01-04,0.03,0.84,0.8,pos_then_up,positive,up
2018-04-05,-0.28,0.5,0.78,neg_then_up,negative,up
2018-07-25,0.72,-0.51,-1.23,pos_then_down,positive,down
2018-10-02,1.31,0.33,-0.96,pos_then_down,positive,down
2019-01-04,0.01,-6.66,-6.67,pos_then_down,positive,down
2019-04-02,0.24,-1.71,-1.95,pos_then_down,positive,down
2019-07-23,-0.74,-0.27,0.47,neg_then_up,negative,up
2019-10-02,0.26,6.18,5.9,pos_then_up,positive,up
2020-01-03,-1.19,-3.06,-1.89,neg_then_down,negative,down
2020-04-01,-2.45,-2.2,0.26,neg_then_up,negative,up
2020-07-28,-0.32,-4.18,-3.87,neg_then_down,negative,down
2020-10-07,0.58,2.94,2.34,pos_then_up,positive,up
2021-01-07,-0.53,1.49,2.03,neg_then_up,negative,up
2021-04-07,-2.74,-0.47,2.33,neg_then_up,negative,up
2021-07-27,-1.2,1.57,2.8,neg_then_up,negative,up
2021-10-07,-1.15,-3.11,-1.98,neg_then_down,negative,down
2022-01-06,-0.03,3.57,3.6,neg_then_up,negative,up
2022-04-07,0.58,1.64,1.05,pos_then_up,positive,up
2022-07-27,0.4,3.9,3.49,pos_then_up,positive,up
2022-10-05,0.24,0.71,0.46,pos_then_up,positive,up
2023-01-05,1.88,3.73,1.81,pos_then_up,positive,up
2023-04-06,0.78,0.4,-0.37,pos_then_down,positive,down
2023-07-25,0.52,-3.09,-3.59,pos_then_down,positive,down
2023-10-05,-0.37,-4.38,-4.03,neg_then_down,negative,down
2024-01-04,-0.41,0.72,1.14,neg_then_up,negative,up
2024-04-04,0.59,-2.15,-2.72,pos_then_down,positive,down
2024-07-24,-2.3,-6.04,-3.83,neg_then_down,negative,down
2024-10-02,-1.26,2.57,3.88,neg_then_up,negative,up
2024-12-19,-0.11,-0.66,-0.54,neg_then_down,negative,down
2025-04-03,-0.99,-0.96,0.03,neg_then_up,negative,up
2025-07-23,-0.16,2.48,2.64,neg_then_up,negative,up
2025-09-30,0.22,6.77,6.53,pos_then_up,positive,up
