date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2010-10-29,-0.37,-2.84,-3.2,neg_then_down,negative,down
2011-02-18,-3.74,-1.89,-5.56,neg_then_down,negative,down
2011-05-02,0.4,-2.47,-2.09,pos_then_down,positive,down
2011-07-29,3.8,-1.54,2.2,pos_then_down,positive,down
2011-10-28,0.72,-5.44,-4.75,pos_then_down,positive,down
2012-02-10,1.34,1.46,2.82,pos_then_up,positive,up
2012-04-30,1.44,1.13,2.58,pos_then_up,positive,up
2012-07-27,0.4,-0.25,0.16,pos_then_down,positive,down
2012-10-26,0.11,-0.78,-0.67,pos_then_down,positive,down
2013-02-01,-0.37,-0.08,-0.46,neg_then_down,negative,down
2013-04-26,0.42,1.77,2.19,pos_then_up,positive,up
2013-10-29,0.53,-0.87,-0.34,pos_then_down,positive,down
2014-01-31,0.29,-2.25,-1.97,pos_then_down,positive,down
2014-04-29,0.35,1.33,1.68,pos_then_up,positive,up
2014-07-25,0.01,2.0,2.01,pos_then_up,positive,up
2014-10-24,-3.51,-2.2,-5.63,neg_then_down,negative,down
2015-02-03,-1.22,-0.57,-1.78,neg_then_down,negative,down
2015-04-24,0.57,2.1,2.68,pos_then_up,positive,up
2015-07-28,0.53,0.87,1.41,pos_then_up,positive,up
2015-10-23,-0.34,-1.52,-1.86,neg_then_down,negative,down
2016-02-02,0.25,0.12,0.37,pos_then_up,positive,up
2016-04-22,-1.14,-1.03,-2.16,neg_then_down,negative,down
2016-11-01,-0.35,-0.71,-1.05,neg_then_down,negative,down
2017-02-03,-0.51,0.77,0.26,neg_then_up,negative,up
2017-04-28,0.28,-1.81,-1.53,pos_then_down,positive,down
2017-07-28,0.53,-0.31,0.22,pos_then_down,positive,down
2017-10-27,0.11,6.94,7.06,pos_then_up,positive,up
2018-02-02,-0.38,-2.66,-3.03,neg_then_down,negative,down
2018-08-03,-0.06,0.83,0.77,neg_then_up,negative,up
2018-10-30,1.36,-0.84,0.51,pos_then_down,positive,down
2019-02-01,-0.69,-0.67,-1.35,neg_then_down,negative,down
2019-04-26,-0.15,1.38,1.23,neg_then_up,negative,up
2019-08-02,-0.92,1.15,0.22,neg_then_up,negative,up
2019-11-01,0.77,2.54,3.33,pos_then_up,positive,up
2020-01-31,0.64,0.59,1.23,pos_then_up,positive,up
2020-04-15,-0.46,-5.74,-6.17,neg_then_down,negative,down
2020-07-31,0.85,-1.46,-0.62,pos_then_down,positive,down
2020-10-30,1.29,3.72,5.05,pos_then_up,positive,up
2021-01-29,1.03,0.13,1.15,pos_then_up,positive,up
2021-04-30,1.17,2.78,3.98,pos_then_up,positive,up
2021-07-30,0.65,-1.08,-0.43,pos_then_down,positive,down
2021-10-29,-0.01,1.58,1.57,neg_then_up,negative,up
2022-01-28,-0.52,1.2,0.68,neg_then_up,negative,up
2022-04-29,2.61,-0.73,1.87,pos_then_down,positive,down
2022-07-29,-1.26,-1.19,-2.43,neg_then_down,negative,down
2022-10-28,-1.28,-0.7,-1.97,neg_then_down,negative,down
2023-02-03,0.08,0.57,0.65,pos_then_up,positive,up
2023-04-28,-0.53,-0.63,-1.15,neg_then_down,negative,down
2023-08-04,0.44,2.31,2.76,pos_then_up,positive,up
2023-10-27,0.98,-0.8,0.18,pos_then_down,positive,down
2024-02-02,-1.13,1.46,0.31,neg_then_up,negative,up
2024-04-26,0.41,-0.83,-0.42,pos_then_down,positive,down
2024-08-02,-2.08,0.14,-1.94,neg_then_up,negative,up
2024-11-01,-0.87,-1.89,-2.74,neg_then_down,negative,down
2025-01-31,-1.22,2.03,0.79,neg_then_up,negative,up
2025-04-25,0.61,-1.81,-1.21,pos_then_down,positive,down
2025-08-01,1.68,-6.3,-4.72,pos_then_down,positive,down
