date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-08-04,-0.41,-4.57,-4.18,neg_then_down,negative,down
2005-10-31,-0.21,-0.04,0.17,neg_then_up,negative,up
2006-02-02,-0.27,0.83,1.11,neg_then_up,negative,up
2006-05-04,0.9,-1.21,-2.09,pos_then_down,positive,down
2006-08-03,-1.61,-1.75,-0.14,neg_then_down,negative,down
2006-11-02,0.16,-1.46,-1.62,pos_then_down,positive,down
2007-02-01,-0.38,-0.85,-0.47,neg_then_down,negative,down
2007-05-03,-0.09,0.56,0.66,neg_then_up,negative,up
2007-08-02,0.97,-2.24,-3.18,pos_then_down,positive,down
2007-11-01,3.41,0.81,-2.52,pos_then_down,positive,down
2008-02-07,-4.09,-3.19,0.93,neg_then_up,negative,up
2008-07-31,-3.76,-8.65,-5.08,neg_then_down,negative,down
2008-11-06,-0.25,0.22,0.46,neg_then_up,negative,up
2009-02-05,-4.14,8.35,13.04,neg_then_up,negative,up
2009-05-07,2.52,7.25,4.62,pos_then_up,positive,up
2009-08-06,2.55,7.2,4.53,pos_then_up,positive,up
2009-11-05,-1.4,1.97,3.42,neg_then_up,negative,up
2010-02-04,-3.1,0.02,3.22,neg_then_up,negative,up
2010-05-06,-0.09,-2.74,-2.65,neg_then_down,negative,down
2010-08-05,-1.38,-0.65,0.75,neg_then_up,negative,up
2010-11-04,-0.1,0.6,0.7,neg_then_up,negative,up
2011-02-03,-0.21,-2.29,-2.08,neg_then_down,negative,down
2011-05-05,1.38,1.06,-0.31,pos_then_down,positive,down
2011-08-05,-4.64,-8.13,-3.66,neg_then_down,negative,down
2011-11-03,-1.37,-0.95,0.42,neg_then_up,negative,up
2012-05-03,-0.64,-1.04,-0.41,neg_then_down,negative,down
2012-08-02,0.94,-0.32,-1.25,pos_then_down,positive,down
2012-11-01,0.28,-0.59,-0.86,pos_then_down,positive,down
2013-02-06,2.83,0.02,-2.74,pos_then_down,positive,down
2013-05-01,0.39,0.64,0.25,pos_then_up,positive,up
2013-07-31,0.07,-1.92,-2.0,pos_then_down,positive,down
2013-11-06,-1.38,-2.73,-1.37,neg_then_down,negative,down
2014-02-05,1.87,1.05,-0.8,pos_then_down,positive,down
2014-04-30,0.16,-0.14,-0.3,pos_then_down,positive,down
2014-07-30,-1.92,-6.66,-4.83,neg_then_down,negative,down
2014-10-29,0.01,0.27,0.26,pos_then_up,positive,up
2015-02-04,0.37,-1.51,-1.87,pos_then_down,positive,down
2015-04-29,1.85,-1.45,-3.24,pos_then_down,positive,down
2015-07-29,2.45,3.73,1.25,pos_then_up,positive,up
2015-10-28,-0.29,2.64,2.94,neg_then_up,negative,up
2016-02-03,-2.16,-5.23,-3.14,neg_then_down,negative,down
2016-05-04,-0.35,1.4,1.76,neg_then_up,negative,up
2016-07-27,-0.74,0.03,0.78,neg_then_up,negative,up
2016-10-27,0.86,0.41,-0.44,pos_then_down,positive,down
2017-02-01,-0.2,4.14,4.35,neg_then_up,negative,up
2017-07-26,-0.99,0.65,1.65,neg_then_up,negative,up
2017-10-25,-1.41,-4.32,-2.95,neg_then_down,negative,down
2018-01-31,-0.91,-3.8,-2.91,neg_then_down,negative,down
2018-08-01,-1.32,-1.2,0.12,neg_then_up,negative,up
2018-10-31,1.45,0.49,-0.95,pos_then_down,positive,down
2019-01-30,-1.13,-2.74,-1.62,neg_then_down,negative,down
2019-05-01,0.42,0.29,-0.13,pos_then_down,positive,down
2019-07-31,0.33,2.46,2.12,pos_then_up,positive,up
2019-10-30,0.1,1.63,1.53,pos_then_up,positive,up
2020-01-29,0.24,0.67,0.42,pos_then_up,positive,up
2020-05-06,0.69,3.4,2.69,pos_then_up,positive,up
2020-07-29,-1.08,3.16,4.29,neg_then_up,negative,up
2020-10-28,0.01,0.98,0.97,pos_then_up,positive,up
2021-02-03,0.23,0.1,-0.13,pos_then_down,positive,down
2021-04-28,0.27,0.95,0.68,pos_then_up,positive,up
2021-07-28,1.12,2.83,1.69,pos_then_up,positive,up
2021-10-27,-0.02,1.1,1.13,neg_then_up,negative,up
2022-02-02,-0.02,0.47,0.49,neg_then_up,negative,up
2022-04-27,0.29,1.81,1.52,pos_then_up,positive,up
2022-07-27,-0.71,4.54,5.29,neg_then_up,negative,up
2022-10-26,2.44,1.56,-0.86,pos_then_down,positive,down
2023-02-01,0.39,3.37,2.97,pos_then_up,positive,up
2023-04-26,1.32,2.66,1.33,pos_then_up,positive,up
2023-10-25,-0.31,-4.37,-4.08,neg_then_down,negative,down
2024-02-07,-0.03,-0.56,-0.53,neg_then_down,negative,down
2024-05-01,-0.54,0.81,1.35,neg_then_up,negative,up
2024-07-31,1.23,4.75,3.48,pos_then_up,positive,up
2024-10-30,0.82,-0.53,-1.34,pos_then_down,positive,down
2025-02-05,0.53,1.27,0.74,pos_then_up,positive,up
2025-04-30,-1.07,1.52,2.61,neg_then_up,negative,up
2025-07-30,-1.65,-4.27,-2.67,neg_then_down,negative,down
2025-10-29,0.14,2.0,1.86,pos_then_up,positive,up
