date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-11-02,1.16,2.31,1.14,pos_then_up,positive,up
2005-02-23,1.91,1.54,-0.36,pos_then_down,positive,down
2005-05-03,-0.1,1.14,1.24,neg_then_up,negative,up
2005-08-02,0.63,0.59,-0.03,pos_then_down,positive,down
2005-11-01,0.11,1.94,1.82,pos_then_up,positive,up
2006-01-11,-0.52,-1.36,-0.85,neg_then_down,negative,down
2006-08-01,0.83,0.26,-0.56,pos_then_down,positive,down
2006-10-31,0.54,-1.52,-2.05,pos_then_down,positive,down
2007-02-14,-0.16,-1.64,-1.48,neg_then_down,negative,down
2007-05-01,0.03,-0.1,-0.13,pos_then_down,positive,down
2007-07-31,-0.04,0.18,0.22,neg_then_up,negative,up
2007-10-30,-0.04,-0.91,-0.86,neg_then_down,negative,down
2008-02-12,-1.86,1.6,3.52,neg_then_up,negative,up
2008-04-29,-0.54,-2.36,-1.83,neg_then_down,negative,down
2008-07-29,-0.36,-1.27,-0.91,neg_then_down,negative,down
2008-10-28,-0.1,0.7,0.8,neg_then_up,negative,up
2009-02-11,-7.79,-7.38,0.44,neg_then_up,negative,up
2009-04-27,-4.62,-13.85,-9.68,neg_then_down,negative,down
2009-07-27,5.02,14.03,8.57,pos_then_up,positive,up
2009-10-26,1.4,-3.89,-5.22,pos_then_down,positive,down
2010-02-10,-4.48,-5.03,-0.58,neg_then_down,negative,down
2010-04-27,2.75,5.31,2.49,pos_then_up,positive,up
2010-07-26,-3.6,-11.74,-8.43,neg_then_down,negative,down
2010-10-25,-0.55,0.37,0.92,neg_then_up,negative,up
2011-02-14,-5.99,-9.23,-3.45,neg_then_down,negative,down
2011-04-25,-2.84,-2.77,0.08,neg_then_up,negative,up
2011-07-25,-2.96,-3.14,-0.18,neg_then_down,negative,down
2011-10-24,-2.25,1.71,4.05,neg_then_up,negative,up
2012-02-13,-9.52,-12.09,-2.84,neg_then_down,negative,down
2012-07-30,-6.02,-8.31,-2.43,neg_then_down,negative,down
2013-02-11,8.49,12.48,3.68,pos_then_up,positive,up
2013-04-29,-1.32,-4.8,-3.52,neg_then_down,negative,down
2013-07-29,4.56,5.37,0.78,pos_then_up,positive,up
2013-10-28,3.87,2.63,-1.2,pos_then_down,positive,down
2014-02-10,3.32,3.46,0.13,pos_then_up,positive,up
2014-04-24,-8.02,-7.44,0.63,neg_then_up,negative,up
2014-07-28,8.49,7.1,-1.27,pos_then_down,positive,down
2014-10-27,-5.14,-3.61,1.61,neg_then_up,negative,up
2015-02-09,-0.72,0.42,1.15,neg_then_up,negative,up
2015-04-28,-0.3,-0.59,-0.3,neg_then_down,negative,down
2015-07-28,0.59,3.04,2.44,pos_then_up,positive,up
2015-10-27,1.23,3.14,1.88,pos_then_up,positive,up
2016-02-09,1.14,0.47,-0.66,pos_then_down,positive,down
2016-04-26,0.66,0.35,-0.31,pos_then_down,positive,down
2016-07-26,0.5,1.65,1.14,pos_then_up,positive,up
2016-10-25,-0.46,0.72,1.19,neg_then_up,negative,up
2017-02-09,0.27,2.09,1.81,pos_then_up,positive,up
2017-04-25,0.41,1.49,1.08,pos_then_up,positive,up
2017-07-27,0.13,0.73,0.6,pos_then_up,positive,up
2017-10-24,-2.25,-2.84,-0.6,neg_then_down,negative,down
2018-02-08,1.65,3.51,1.84,pos_then_up,positive,up
2018-04-24,0.39,2.79,2.4,pos_then_up,positive,up
2018-10-30,0.85,1.69,0.84,pos_then_up,positive,up
2019-02-07,0.59,1.07,0.48,pos_then_up,positive,up
2019-04-25,1.89,2.61,0.71,pos_then_up,positive,up
2019-07-25,-2.86,-2.08,0.8,neg_then_up,negative,up
2019-10-30,-0.3,0.06,0.37,neg_then_up,negative,up
2020-02-11,0.78,-0.99,-1.75,pos_then_down,positive,down
2020-04-29,-1.25,-1.11,0.15,neg_then_up,negative,up
2020-07-30,0.3,0.23,-0.07,pos_then_down,positive,down
2020-10-28,0.41,0.37,-0.04,pos_then_down,positive,down
2021-02-09,-1.01,-1.79,-0.79,neg_then_down,negative,down
2021-04-28,0.38,1.48,1.11,pos_then_up,positive,up
2021-07-29,0.07,1.79,1.72,pos_then_up,positive,up
2021-10-27,0.54,1.93,1.38,pos_then_up,positive,up
2022-02-08,1.81,2.4,0.58,pos_then_up,positive,up
2022-04-27,0.91,0.29,-0.61,pos_then_down,positive,down
2022-07-28,0.43,0.18,-0.25,pos_then_down,positive,down
2022-10-26,-0.46,0.99,1.46,neg_then_up,negative,up
2023-02-09,0.98,1.96,0.97,pos_then_up,positive,up
2023-04-26,2.03,4.01,1.95,pos_then_up,positive,up
2023-07-27,1.84,-1.23,-3.01,pos_then_down,positive,down
2023-10-26,0.66,-0.95,-1.6,pos_then_down,positive,down
2024-02-08,0.57,-0.97,-1.53,pos_then_down,positive,down
2024-04-24,-2.08,0.19,2.31,neg_then_up,negative,up
2024-07-25,0.21,2.12,1.91,pos_then_up,positive,up
2024-10-29,-0.98,-1.17,-0.19,neg_then_down,negative,down
2025-02-11,-3.84,-2.45,1.44,neg_then_up,negative,up
2025-04-23,1.25,1.65,0.4,pos_then_up,positive,up
2025-07-31,-0.41,1.03,1.44,neg_then_up,negative,up
2025-10-29,-0.32,-0.35,-0.03,neg_then_down,negative,down
