date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2006-08-02,-1.78,-0.06,1.75,neg_then_up,negative,up
2006-11-01,-1.47,2.97,4.51,neg_then_up,negative,up
2007-02-09,-1.57,-1.47,0.11,neg_then_up,negative,up
2007-05-02,0.52,6.7,6.15,pos_then_up,positive,up
2007-08-01,-2.0,-4.92,-2.98,neg_then_down,negative,down
2007-10-31,-2.03,-0.23,1.84,neg_then_up,negative,up
2008-01-31,1.77,4.07,2.25,pos_then_up,positive,up
2008-04-29,0.74,1.53,0.78,pos_then_up,positive,up
2008-07-31,-1.51,-2.82,-1.33,neg_then_down,negative,down
2008-11-03,10.5,18.31,7.07,pos_then_up,positive,up
2009-02-05,0.45,1.66,1.21,pos_then_up,positive,up
2009-05-01,2.23,3.52,1.27,pos_then_up,positive,up
2009-07-30,0.1,-0.04,-0.14,pos_then_down,positive,down
2009-11-03,0.42,2.64,2.21,pos_then_up,positive,up
2010-02-04,1.48,-0.62,-2.07,pos_then_down,positive,down
2010-05-04,-1.29,-5.3,-4.06,neg_then_down,negative,down
2010-08-03,0.84,2.19,1.34,pos_then_up,positive,up
2010-11-02,0.29,2.38,2.08,pos_then_up,positive,up
2011-02-03,0.17,0.75,0.59,pos_then_up,positive,up
2011-05-03,-0.97,0.0,0.98,neg_then_up,negative,up
2011-08-03,-1.37,-4.69,-3.36,neg_then_down,negative,down
2011-11-02,-0.65,2.5,3.16,neg_then_up,negative,up
2012-02-02,0.13,2.29,2.16,pos_then_up,positive,up
2012-05-02,0.34,-2.0,-2.33,pos_then_down,positive,down
2012-08-01,-0.33,-0.88,-0.55,neg_then_down,negative,down
2012-10-31,0.54,1.68,1.14,pos_then_up,positive,up
2013-01-31,0.46,0.06,-0.4,pos_then_down,positive,down
2013-05-01,-0.71,1.06,1.78,neg_then_up,negative,up
2013-07-31,1.33,5.86,4.47,pos_then_up,positive,up
2013-10-31,0.96,2.84,1.87,pos_then_up,positive,up
2014-01-31,0.49,-2.34,-2.81,pos_then_down,positive,down
2014-05-01,-0.03,-0.59,-0.57,neg_then_down,negative,down
2014-07-31,-0.42,1.12,1.54,neg_then_up,negative,up
2014-10-30,0.1,0.75,0.65,pos_then_up,positive,up
2015-01-30,-0.39,1.16,1.55,neg_then_up,negative,up
2015-07-29,-0.09,1.74,1.83,neg_then_up,negative,up
2015-10-29,0.18,-1.59,-1.77,pos_then_down,positive,down
2016-01-29,-0.57,-0.45,0.12,neg_then_up,negative,up
2016-04-28,-0.36,-0.2,0.17,neg_then_up,negative,up
2016-07-14,0.63,-0.57,-1.2,pos_then_down,positive,down
2016-10-28,0.47,0.11,-0.35,pos_then_down,positive,down
2017-01-31,0.28,-1.25,-1.53,pos_then_down,positive,down
2017-05-02,0.04,-0.67,-0.71,pos_then_down,positive,down
2017-07-27,0.02,-0.79,-0.81,pos_then_down,positive,down
2017-10-31,0.79,0.08,-0.71,pos_then_down,positive,down
2018-02-01,-0.6,-1.38,-0.79,neg_then_down,negative,down
2018-05-02,-0.66,0.36,1.02,neg_then_up,negative,up
2018-07-26,2.08,-2.14,-4.13,pos_then_down,positive,down
2018-10-30,2.94,5.29,2.29,pos_then_up,positive,up
2019-01-31,0.41,1.25,0.84,pos_then_up,positive,up
2019-04-30,0.26,-2.16,-2.41,pos_then_down,positive,down
2019-07-30,0.18,-2.12,-2.3,pos_then_down,positive,down
2019-10-29,0.13,1.04,0.91,pos_then_up,positive,up
2020-01-29,-0.41,1.29,1.71,neg_then_up,negative,up
2020-04-29,-1.85,-3.07,-1.24,neg_then_down,negative,down
2020-07-30,0.32,-0.15,-0.47,pos_then_down,positive,down
2020-10-28,0.62,0.62,-0.01,pos_then_down,positive,down
2021-01-28,-0.15,-2.46,-2.32,neg_then_down,negative,down
2021-04-29,-1.57,-1.77,-0.21,neg_then_down,negative,down
2021-07-29,0.05,-0.74,-0.79,pos_then_down,positive,down
2021-10-28,-0.54,0.75,1.29,neg_then_up,negative,up
2022-01-27,2.43,9.12,6.53,pos_then_up,positive,up
2022-04-28,-1.79,-4.08,-2.33,neg_then_down,negative,down
2022-07-28,0.48,0.38,-0.1,pos_then_down,positive,down
2022-10-27,-0.02,3.16,3.18,neg_then_up,negative,up
2023-01-26,-0.28,-0.85,-0.57,neg_then_down,negative,down
2023-04-27,-0.31,1.7,2.01,neg_then_up,negative,up
2023-07-27,0.88,-0.39,-1.26,pos_then_down,positive,down
2023-10-26,0.52,-0.14,-0.66,pos_then_down,positive,down
2024-01-31,1.28,2.6,1.3,pos_then_up,positive,up
2024-05-01,0.21,-0.22,-0.43,pos_then_down,positive,down
2024-07-31,0.38,-0.28,-0.66,pos_then_down,positive,down
2024-10-31,0.17,1.7,1.53,pos_then_up,positive,up
2025-01-30,-0.39,-1.87,-1.49,neg_then_down,negative,down
2025-05-01,1.65,2.33,0.68,pos_then_up,positive,up
2025-07-31,-0.46,-1.16,-0.7,neg_then_down,negative,down
2025-10-30,-0.87,-0.31,0.56,neg_then_up,negative,up
