date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-01-20,0.6,1.39,0.79,pos_then_up,positive,up
2004-04-15,1.0,1.97,0.96,pos_then_up,positive,up
2004-07-22,-0.73,-1.78,-1.06,neg_then_down,negative,down
2004-10-13,-0.73,0.76,1.5,neg_then_up,negative,up
2005-01-21,1.06,1.57,0.51,pos_then_up,positive,up
2005-04-13,0.35,-1.47,-1.82,pos_then_down,positive,down
2005-07-19,-0.55,0.16,0.72,neg_then_up,negative,up
2005-10-17,0.31,-0.7,-1.01,pos_then_down,positive,down
2006-01-18,0.89,0.6,-0.28,pos_then_down,positive,down
2006-04-13,-0.2,-1.52,-1.32,neg_then_down,negative,down
2006-07-20,0.14,0.09,-0.06,pos_then_down,positive,down
2006-10-12,-0.78,-0.28,0.5,neg_then_up,negative,up
2007-01-18,0.18,0.49,0.31,pos_then_up,positive,up
2007-04-16,-0.1,1.89,2.0,neg_then_up,negative,up
2007-07-16,-0.15,0.12,0.27,neg_then_up,negative,up
2007-10-12,0.47,-1.46,-1.92,pos_then_down,positive,down
2008-01-28,0.7,-0.63,-1.32,pos_then_down,positive,down
2008-04-22,0.1,0.58,0.48,pos_then_up,positive,up
2008-07-18,-0.13,-1.14,-1.01,neg_then_down,negative,down
2008-10-22,2.23,2.58,0.34,pos_then_up,positive,up
2009-01-26,0.68,0.21,-0.48,pos_then_down,positive,down
2009-04-22,0.92,1.94,1.0,pos_then_up,positive,up
2009-07-23,0.53,-0.02,-0.55,pos_then_down,positive,down
2010-01-22,-0.08,-0.47,-0.39,neg_then_down,negative,down
2010-04-21,-0.16,0.95,1.11,neg_then_up,negative,up
2010-07-23,0.2,1.39,1.19,pos_then_up,positive,up
2010-10-21,-0.5,0.14,0.64,neg_then_up,negative,up
2011-01-24,0.21,0.13,-0.08,pos_then_down,positive,down
2011-04-21,0.31,0.29,-0.03,pos_then_down,positive,down
2011-07-22,-0.68,-0.5,0.18,neg_then_up,negative,up
2011-10-21,-0.27,-0.34,-0.07,neg_then_down,negative,down
2012-01-24,-0.34,0.49,0.83,neg_then_up,negative,up
2012-04-20,-0.17,-0.78,-0.62,neg_then_down,negative,down
2012-07-23,0.25,-0.99,-1.23,pos_then_down,positive,down
2012-10-19,0.16,-0.3,-0.46,pos_then_down,positive,down
2013-01-23,0.11,-0.18,-0.29,pos_then_down,positive,down
2013-04-19,-0.57,-0.6,-0.03,neg_then_down,negative,down
2013-07-22,-0.03,-0.84,-0.81,neg_then_down,negative,down
2013-10-21,0.1,0.56,0.46,pos_then_up,positive,up
2014-01-23,-0.62,-0.93,-0.32,neg_then_down,negative,down
2014-04-22,0.03,-0.19,-0.22,pos_then_down,positive,down
2014-07-22,-0.79,-0.96,-0.17,neg_then_down,negative,down
