date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-27,0.01,1.45,1.43,pos_then_up,positive,up
2005-02-16,0.24,-0.56,-0.8,pos_then_down,positive,down
2005-04-27,-0.69,-3.72,-3.05,neg_then_down,negative,down
2005-07-29,-0.21,-0.4,-0.19,neg_then_down,negative,down
2005-10-26,0.02,0.46,0.44,pos_then_up,positive,up
2006-02-03,0.33,0.17,-0.16,pos_then_down,positive,down
2006-08-02,-1.76,-1.18,0.59,neg_then_up,negative,up
2006-10-25,0.06,2.04,1.98,pos_then_up,positive,up
2007-02-07,-0.14,1.2,1.34,neg_then_up,negative,up
2007-04-25,-0.37,-0.76,-0.4,neg_then_down,negative,down
2007-08-01,-1.62,3.36,5.07,neg_then_up,negative,up
2007-10-24,-3.24,-5.66,-2.5,neg_then_down,negative,down
2008-02-07,1.65,-2.59,-4.17,pos_then_down,positive,down
2008-04-23,0.51,-0.93,-1.43,pos_then_down,positive,down
2008-07-30,-1.48,-1.22,0.26,neg_then_up,negative,up
2008-10-29,5.61,13.87,7.83,pos_then_up,positive,up
2009-02-05,0.3,7.16,6.84,pos_then_up,positive,up
2009-04-29,1.18,2.54,1.34,pos_then_up,positive,up
2009-07-29,1.14,-6.03,-7.09,pos_then_down,positive,down
2009-10-29,-0.33,-2.43,-2.11,neg_then_down,negative,down
2010-02-04,0.49,3.6,3.09,pos_then_up,positive,up
2010-04-21,0.43,1.44,1.01,pos_then_up,positive,up
2010-07-29,-0.89,-0.38,0.51,neg_then_up,negative,up
2010-10-28,0.19,1.84,1.65,pos_then_up,positive,up
2011-01-06,0.34,-1.28,-1.61,pos_then_down,positive,down
2011-04-27,0.1,1.1,0.99,pos_then_up,positive,up
2011-10-27,-0.24,-2.34,-2.1,neg_then_down,negative,down
2012-02-08,0.37,0.16,-0.21,pos_then_down,positive,down
2012-04-26,0.84,-0.1,-0.93,pos_then_down,positive,down
2012-07-26,0.7,2.05,1.34,pos_then_up,positive,up
2012-10-26,-0.02,0.56,0.58,neg_then_up,negative,up
2013-02-08,0.35,4.89,4.53,pos_then_up,positive,up
2013-05-03,-0.41,1.2,1.62,neg_then_up,negative,up
2013-07-24,-0.48,-0.19,0.3,neg_then_up,negative,up
2013-10-25,-0.14,-1.54,-1.4,neg_then_down,negative,down
2014-02-07,0.19,-0.85,-1.04,pos_then_down,positive,down
2014-04-25,0.19,-0.99,-1.17,pos_then_down,positive,down
2014-07-25,0.05,-0.68,-0.73,pos_then_down,positive,down
2014-10-24,-0.34,-0.22,0.12,neg_then_up,negative,up
2015-02-06,-0.28,-0.15,0.12,neg_then_up,negative,up
2015-05-01,0.47,1.1,0.63,pos_then_up,positive,up
2015-07-24,-0.23,-1.34,-1.11,neg_then_down,negative,down
2015-10-30,-1.21,0.3,1.53,neg_then_up,negative,up
2016-02-05,-2.41,-5.16,-2.82,neg_then_down,negative,down
2016-04-29,0.07,0.3,0.23,pos_then_up,positive,up
2016-07-22,0.06,0.39,0.33,pos_then_up,positive,up
2016-10-21,0.72,0.59,-0.14,pos_then_down,positive,down
2017-01-17,0.48,0.18,-0.3,pos_then_down,positive,down
2017-05-05,-0.18,-1.31,-1.14,neg_then_down,negative,down
2017-07-21,0.44,0.75,0.32,pos_then_up,positive,up
2017-11-03,0.11,-1.22,-1.32,pos_then_down,positive,down
2018-02-09,1.4,3.0,1.58,pos_then_up,positive,up
2018-04-27,0.61,-0.51,-1.11,pos_then_down,positive,down
2018-07-27,-0.12,-3.28,-3.16,neg_then_down,negative,down
2018-10-26,0.83,-0.26,-1.09,pos_then_down,positive,down
2019-02-15,-0.24,-0.77,-0.53,neg_then_down,negative,down
2019-04-24,-0.3,-0.59,-0.28,neg_then_down,negative,down
2019-07-31,-0.68,0.8,1.48,neg_then_up,negative,up
2019-10-30,-0.09,1.12,1.22,neg_then_up,negative,up
2020-02-12,-0.1,-0.23,-0.13,neg_then_down,negative,down
2020-04-30,-1.03,-0.84,0.18,neg_then_up,negative,up
2020-07-30,0.57,-0.87,-1.43,pos_then_down,positive,down
2020-10-29,-0.66,-0.04,0.63,neg_then_up,negative,up
2021-02-12,0.51,0.6,0.1,pos_then_up,positive,up
2021-04-28,0.39,3.1,2.69,pos_then_up,positive,up
2021-07-28,-0.21,-0.34,-0.13,neg_then_down,negative,down
2021-10-28,0.18,-0.62,-0.8,pos_then_down,positive,down
2022-02-10,-0.17,-5.1,-4.93,neg_then_down,negative,down
2022-05-02,-0.57,2.75,3.34,neg_then_up,negative,up
2022-07-26,-0.26,2.46,2.73,neg_then_up,negative,up
2022-10-25,-0.2,-0.25,-0.05,neg_then_down,negative,down
2023-01-31,-0.6,0.16,0.77,neg_then_up,negative,up
2023-04-25,0.09,-0.5,-0.59,pos_then_down,positive,down
2023-07-25,-0.22,-0.68,-0.46,neg_then_down,negative,down
2023-10-25,-0.68,-1.33,-0.65,neg_then_down,negative,down
2024-02-13,0.21,-0.74,-0.95,pos_then_down,positive,down
2024-05-02,1.22,1.11,-0.12,pos_then_down,positive,down
2024-07-23,-0.2,-4.0,-3.81,neg_then_down,negative,down
2024-10-22,0.49,0.24,-0.24,pos_then_down,positive,down
2025-02-13,0.49,-0.88,-1.37,pos_then_down,positive,down
2025-04-22,3.09,0.21,-2.8,pos_then_down,positive,down
2025-07-23,0.34,1.03,0.68,pos_then_up,positive,up
2025-10-22,0.58,1.38,0.79,pos_then_up,positive,up
