date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2015-09-03,-1.6,-1.43,0.17,neg_then_up,negative,up
2015-12-03,0.42,1.92,1.49,pos_then_up,positive,up
2016-03-01,0.36,0.55,0.19,pos_then_up,positive,up
2016-05-31,-0.46,0.05,0.51,neg_then_up,negative,up
2016-08-25,0.27,1.42,1.14,pos_then_up,positive,up
2016-11-22,-0.46,2.96,3.44,neg_then_up,negative,up
2017-02-21,-0.38,-1.17,-0.79,neg_then_down,negative,down
2017-08-22,-0.54,-2.46,-1.93,neg_then_down,negative,down
2017-11-08,2.99,3.86,0.84,pos_then_up,positive,up
2018-02-20,-0.22,-1.09,-0.87,neg_then_down,negative,down
2018-08-21,-0.32,0.43,0.75,neg_then_up,negative,up
2018-11-20,0.65,0.88,0.23,pos_then_up,positive,up
2019-02-19,0.13,0.51,0.38,pos_then_up,positive,up
2019-05-23,0.83,1.52,0.68,pos_then_up,positive,up
2019-08-20,-0.28,0.82,1.11,neg_then_up,negative,up
2019-11-19,0.31,0.65,0.34,pos_then_up,positive,up
2020-02-18,1.1,0.99,-0.11,pos_then_down,positive,down
2020-05-21,0.12,-0.72,-0.84,pos_then_down,positive,down
2020-08-25,0.89,1.45,0.56,pos_then_up,positive,up
2020-11-24,-0.26,-0.66,-0.4,neg_then_down,negative,down
2021-02-23,0.03,0.63,0.59,pos_then_up,positive,up
2021-05-27,1.2,1.15,-0.05,pos_then_down,positive,down
2021-08-24,0.08,1.49,1.42,pos_then_up,positive,up
2021-11-23,-0.28,0.93,1.22,neg_then_up,negative,up
2022-02-22,0.5,-0.67,-1.16,pos_then_down,positive,down
2022-05-26,-0.31,-0.36,-0.05,neg_then_down,negative,down
2022-08-23,-0.83,-1.04,-0.21,neg_then_down,negative,down
2022-11-22,-0.54,1.4,1.95,neg_then_up,negative,up
2023-02-21,0.85,-0.46,-1.3,pos_then_down,positive,down
2023-05-25,-0.92,-2.49,-1.58,neg_then_down,negative,down
2023-08-22,1.13,-0.05,-1.17,pos_then_down,positive,down
2023-11-21,0.36,-0.32,-0.67,pos_then_down,positive,down
2024-02-20,0.79,0.06,-0.73,pos_then_down,positive,down
2024-05-23,-0.48,1.12,1.61,neg_then_up,negative,up
2024-08-20,0.64,2.53,1.87,pos_then_up,positive,up
2024-11-19,-0.32,-1.05,-0.73,neg_then_down,negative,down
2025-02-18,-0.08,1.08,1.16,neg_then_up,negative,up
2025-05-21,-1.34,-4.15,-2.85,neg_then_down,negative,down
2025-08-19,0.51,3.69,3.17,pos_then_up,positive,up
2025-11-18,0.19,-0.46,-0.64,pos_then_down,positive,down
