date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2010-10-28,-3.11,-0.32,2.88,neg_then_up,negative,up
2011-02-09,-1.95,-0.69,1.29,neg_then_up,negative,up
2011-05-04,-0.63,-3.03,-2.42,neg_then_down,negative,down
2011-07-28,2.24,3.52,1.25,pos_then_up,positive,up
2011-10-27,3.34,3.22,-0.11,pos_then_down,positive,down
2012-02-14,1.45,1.53,0.08,pos_then_up,positive,up
2012-04-19,1.05,-1.19,-2.21,pos_then_down,positive,down
2012-08-01,-0.36,4.17,4.55,neg_then_up,negative,up
2012-10-24,1.26,2.12,0.85,pos_then_up,positive,up
2013-02-13,-1.23,-2.16,-0.94,neg_then_down,negative,down
2013-05-01,1.3,4.09,2.75,pos_then_up,positive,up
2013-07-31,1.34,6.3,4.89,pos_then_up,positive,up
2013-10-30,-3.59,-3.45,0.15,neg_then_up,negative,up
2014-05-01,0.48,0.62,0.14,pos_then_up,positive,up
2014-07-30,-1.21,-3.38,-2.19,neg_then_down,negative,down
2014-10-29,1.41,1.34,-0.08,pos_then_down,positive,down
2015-02-11,0.46,-0.16,-0.61,pos_then_down,positive,down
2015-04-24,0.22,-0.81,-1.02,pos_then_down,positive,down
2015-07-29,-1.89,-0.68,1.23,neg_then_up,negative,up
2015-11-04,-2.44,-1.17,1.3,neg_then_up,negative,up
2016-02-03,-3.17,-5.24,-2.14,neg_then_down,negative,down
2016-05-04,-2.46,-1.68,0.8,neg_then_up,negative,up
2016-08-03,-4.83,-8.68,-4.05,neg_then_down,negative,down
2016-10-20,-1.01,-0.66,0.35,neg_then_up,negative,up
2017-02-01,-3.34,-4.56,-1.27,neg_then_down,negative,down
2017-05-03,2.03,1.84,-0.19,pos_then_down,positive,down
2017-07-25,0.02,-1.74,-1.76,pos_then_down,positive,down
2017-11-01,1.74,3.45,1.68,pos_then_up,positive,up
2018-02-13,0.88,3.32,2.41,pos_then_up,positive,up
2018-05-02,1.49,-0.87,-2.32,pos_then_down,positive,down
2018-08-01,0.83,1.25,0.41,pos_then_up,positive,up
2018-11-01,4.58,3.96,-0.59,pos_then_down,positive,down
2019-02-06,-2.96,-3.72,-0.78,neg_then_down,negative,down
2019-05-01,2.17,3.72,1.52,pos_then_up,positive,up
2019-07-31,0.87,-2.21,-3.05,pos_then_down,positive,down
2019-10-30,-0.65,1.08,1.74,neg_then_up,negative,up
2020-02-05,0.58,0.66,0.08,pos_then_up,positive,up
2020-05-06,2.83,5.94,3.02,pos_then_up,positive,up
2020-08-05,-2.06,-3.4,-1.36,neg_then_down,negative,down
2020-11-04,2.44,5.46,2.95,pos_then_up,positive,up
2021-02-03,0.43,6.11,5.66,pos_then_up,positive,up
2021-05-05,0.37,2.35,1.98,pos_then_up,positive,up
2021-08-04,2.38,2.99,0.6,pos_then_up,positive,up
2021-11-03,0.09,-2.1,-2.19,pos_then_down,positive,down
2022-02-02,2.15,-1.17,-3.24,pos_then_down,positive,down
2022-05-04,-1.57,-1.19,0.39,neg_then_up,negative,up
2022-08-03,0.94,0.31,-0.62,pos_then_down,positive,down
2022-11-02,-1.24,-0.63,0.62,neg_then_up,negative,up
2023-02-01,0.39,-4.09,-4.45,pos_then_down,positive,down
2023-05-03,-1.11,-7.84,-6.8,neg_then_down,negative,down
2023-08-02,1.24,2.66,1.4,pos_then_up,positive,up
2023-11-01,0.02,0.05,0.03,pos_then_up,positive,up
2024-01-31,-4.57,-5.73,-1.21,neg_then_down,negative,down
2024-05-01,0.72,-2.28,-2.98,pos_then_down,positive,down
2024-07-31,2.29,-1.39,-3.6,pos_then_down,positive,down
2024-10-30,-7.95,-5.72,2.42,neg_then_up,negative,up
2025-02-05,-2.05,-1.56,0.49,neg_then_up,negative,up
2025-04-30,1.31,0.53,-0.77,pos_then_down,positive,down
2025-08-06,-5.07,-2.8,2.39,neg_then_up,negative,up
2025-11-05,1.04,-3.44,-4.44,pos_then_down,positive,down
