date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-02-05,6.18,8.43,2.12,pos_then_up,positive,up
2004-04-21,-2.41,-0.28,2.18,neg_then_up,negative,up
2004-07-22,-1.08,-1.01,0.07,neg_then_up,negative,up
2004-10-21,0.15,1.24,1.09,pos_then_up,positive,up
2005-02-16,0.21,-1.21,-1.42,pos_then_down,positive,down
2005-04-22,0.01,-0.47,-0.49,pos_then_down,positive,down
2005-07-21,0.74,1.09,0.34,pos_then_up,positive,up
2005-10-21,0.13,3.47,3.33,pos_then_up,positive,up
2006-02-24,-0.07,-0.25,-0.18,neg_then_down,negative,down
2006-04-27,-0.01,2.89,2.9,neg_then_up,negative,up
2006-07-28,-1.01,-1.34,-0.33,neg_then_down,negative,down
2007-02-15,4.84,10.94,5.82,pos_then_up,positive,up
2007-04-19,5.04,4.09,-0.91,pos_then_down,positive,down
2007-07-19,-3.37,-2.45,0.95,neg_then_up,negative,up
2007-10-18,-0.71,1.93,2.66,neg_then_up,negative,up
2008-02-14,-0.61,-2.21,-1.61,neg_then_down,negative,down
2008-04-17,3.47,5.65,2.1,pos_then_up,positive,up
2008-07-09,0.1,-3.5,-3.59,pos_then_down,positive,down
2008-11-04,-1.58,-4.6,-3.07,neg_then_down,negative,down
2009-02-24,-0.55,-6.58,-6.06,neg_then_down,negative,down
2009-07-30,3.36,7.01,3.53,pos_then_up,positive,up
2009-10-29,-4.13,-7.85,-3.88,neg_then_down,negative,down
2010-02-25,2.39,7.95,5.44,pos_then_up,positive,up
2010-04-29,0.64,0.14,-0.5,pos_then_down,positive,down
2010-08-06,0.98,2.06,1.07,pos_then_up,positive,up
2010-11-04,-5.31,-5.37,-0.07,neg_then_down,negative,down
2011-02-23,-0.14,-1.49,-1.35,neg_then_down,negative,down
2011-05-05,2.87,6.82,3.85,pos_then_up,positive,up
2011-08-05,-2.34,-6.89,-4.66,neg_then_down,negative,down
2011-11-03,-4.79,1.74,6.86,neg_then_up,negative,up
2012-02-23,-1.02,-2.5,-1.5,neg_then_down,negative,down
2012-05-03,6.28,7.33,0.99,pos_then_up,positive,up
2012-08-02,2.27,5.79,3.44,pos_then_up,positive,up
2012-11-01,1.3,2.19,0.88,pos_then_up,positive,up
2013-02-21,0.01,4.43,4.42,pos_then_up,positive,up
2013-05-02,4.06,6.41,2.26,pos_then_up,positive,up
2013-08-01,10.48,7.16,-3.01,pos_then_down,positive,down
2013-10-31,3.46,3.88,0.41,pos_then_up,positive,up
2014-02-20,-5.26,-1.73,3.72,neg_then_up,negative,up
2014-05-01,5.25,5.72,0.44,pos_then_up,positive,up
2014-07-31,4.43,1.33,-2.97,pos_then_down,positive,down
2014-10-30,5.72,4.64,-1.02,pos_then_down,positive,down
2015-02-19,5.64,6.71,1.02,pos_then_up,positive,up
2015-05-07,2.78,2.82,0.04,pos_then_up,positive,up
2015-08-06,3.85,3.14,-0.68,pos_then_down,positive,down
2015-11-05,-1.65,-5.23,-3.64,neg_then_down,negative,down
2016-02-25,2.34,4.36,1.97,pos_then_up,positive,up
2016-05-05,0.29,1.06,0.76,pos_then_up,positive,up
2016-08-04,1.64,3.04,1.38,pos_then_up,positive,up
2016-11-03,5.15,7.78,2.5,pos_then_up,positive,up
2017-02-09,-1.06,3.7,4.81,neg_then_up,negative,up
2017-04-27,-3.72,-1.71,2.08,neg_then_up,negative,up
2017-07-27,2.19,4.33,2.09,pos_then_up,positive,up
2017-10-26,-0.35,0.52,0.87,neg_then_up,negative,up
2018-02-08,0.95,-2.77,-3.68,pos_then_down,positive,down
2018-04-26,-2.95,-4.33,-1.42,neg_then_down,negative,down
2018-07-25,-13.0,-17.51,-5.18,neg_then_down,negative,down
2018-10-25,-17.88,-23.86,-7.28,neg_then_down,negative,down
2019-02-07,6.19,5.91,-0.26,pos_then_down,positive,down
2019-04-25,-1.4,-2.84,-1.46,neg_then_down,negative,down
2019-07-25,-11.74,-17.6,-6.64,neg_then_down,negative,down
2019-10-25,1.14,0.74,-0.4,pos_then_down,positive,down
2020-02-13,0.09,4.03,3.93,pos_then_up,positive,up
2020-05-04,1.46,-3.01,-4.41,pos_then_down,positive,down
2020-08-06,2.41,-0.82,-3.15,pos_then_down,positive,down
2020-10-29,13.83,10.9,-2.58,pos_then_down,positive,down
2021-02-11,5.22,5.99,0.74,pos_then_up,positive,up
2021-04-29,-2.17,-3.51,-1.37,neg_then_down,negative,down
2021-10-28,-5.05,-10.98,-6.24,neg_then_down,negative,down
2022-02-10,0.59,-5.21,-5.77,pos_then_down,positive,down
2022-04-28,20.23,7.86,-10.29,pos_then_down,positive,down
2022-07-28,-1.33,-5.82,-4.55,neg_then_down,negative,down
2022-10-27,-5.62,-1.56,4.3,neg_then_up,negative,up
2023-01-17,0.92,1.3,0.37,pos_then_up,positive,up
2023-04-27,6.94,7.21,0.25,pos_then_up,positive,up
2023-07-27,-1.57,-6.91,-5.42,neg_then_down,negative,down
2023-10-26,4.78,-2.5,-6.94,pos_then_down,positive,down
2024-02-08,-3.67,0.36,4.19,neg_then_up,negative,up
2024-04-25,6.99,4.7,-2.14,pos_then_down,positive,down
2024-07-25,12.13,19.49,6.56,pos_then_up,positive,up
2024-10-24,-11.17,-13.82,-2.98,neg_then_down,negative,down
2025-02-06,2.48,-1.34,-3.74,pos_then_down,positive,down
2025-05-01,-2.79,-1.65,1.17,neg_then_up,negative,up
2025-07-24,2.75,4.22,1.43,pos_then_up,positive,up
2025-10-23,-1.2,-6.98,-5.85,neg_then_down,negative,down
