date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2005-01-28,-0.19,1.35,1.16,neg_then_up,negative,up
2005-07-20,0.15,-0.59,-0.44,pos_then_down,positive,down
2005-10-04,-0.96,-1.39,-2.34,neg_then_down,negative,down
2006-05-02,-0.63,-0.08,-0.71,neg_then_down,negative,down
2006-08-01,1.79,4.85,6.73,pos_then_up,positive,up
2006-10-20,-0.74,-1.96,-2.68,neg_then_down,negative,down
2007-04-20,-0.34,2.53,2.19,neg_then_up,negative,up
2007-08-07,0.82,3.92,4.78,pos_then_up,positive,up
2007-10-30,-1.3,0.94,-0.38,neg_then_up,negative,up
2008-02-05,-0.01,0.15,0.14,neg_then_up,negative,up
2008-05-06,-3.57,0.09,-3.48,neg_then_up,negative,up
2008-08-07,0.1,1.59,1.69,pos_then_up,positive,up
2008-10-28,-0.14,15.46,15.3,neg_then_up,negative,up
2009-02-12,-1.21,-4.44,-5.59,neg_then_down,negative,down
2009-05-05,1.07,-0.83,0.23,pos_then_down,positive,down
2009-07-14,1.89,1.7,3.62,pos_then_up,positive,up
2009-11-03,-0.66,0.29,-0.38,neg_then_up,negative,up
2010-02-09,-0.01,1.94,1.92,neg_then_up,negative,up
2010-05-04,0.8,-3.66,-2.89,pos_then_down,positive,down
2010-08-03,-0.35,-0.65,-1.0,neg_then_down,negative,down
2010-11-02,-0.33,-0.17,-0.5,neg_then_down,negative,down
2011-02-08,-2.16,-0.63,-2.78,neg_then_down,negative,down
2011-05-03,-0.11,-1.17,-1.28,neg_then_down,negative,down
2011-08-02,1.31,-0.54,0.77,pos_then_down,positive,down
2011-11-01,0.94,-0.67,0.27,pos_then_down,positive,down
2012-02-07,-0.51,0.72,0.21,neg_then_up,negative,up
2012-05-01,-0.4,0.79,0.38,neg_then_up,negative,up
2012-07-31,-0.2,-0.64,-0.84,neg_then_down,negative,down
2012-11-06,-1.17,1.08,-0.1,neg_then_up,negative,up
2013-02-12,0.33,0.79,1.12,pos_then_up,positive,up
2013-04-30,-0.33,-1.19,-1.52,neg_then_down,negative,down
2013-07-30,0.21,-1.22,-1.01,pos_then_down,positive,down
2013-11-07,-0.14,-0.1,-0.24,neg_then_down,negative,down
2014-01-28,2.77,-1.56,1.17,pos_then_down,positive,down
2014-04-29,-0.31,0.27,-0.03,neg_then_up,negative,up
2014-07-29,0.8,-1.28,-0.5,pos_then_down,positive,down
2014-10-28,0.09,-1.66,-1.57,pos_then_down,positive,down
2015-02-10,0.27,1.8,2.08,pos_then_up,positive,up
2015-04-30,0.75,2.86,3.63,pos_then_up,positive,up
2015-08-04,0.78,2.05,2.85,pos_then_up,positive,up
2015-11-03,-0.3,2.94,2.63,neg_then_up,negative,up
2016-02-09,1.46,0.47,1.94,pos_then_up,positive,up
2016-05-05,-0.02,1.69,1.66,neg_then_up,negative,up
2016-08-02,-0.26,1.09,0.83,neg_then_up,negative,up
2016-11-01,-0.26,-1.0,-1.26,neg_then_down,negative,down
2017-02-14,-0.78,-1.18,-1.95,neg_then_down,negative,down
2017-05-02,-0.6,0.24,-0.37,neg_then_up,negative,up
2017-08-01,-1.25,3.31,2.01,neg_then_up,negative,up
2017-11-02,-0.66,2.04,1.36,neg_then_up,negative,up
2018-02-13,-1.3,0.06,-1.24,neg_then_up,negative,up
2018-05-08,0.56,-0.96,-0.4,pos_then_down,positive,down
2018-07-26,0.07,-0.63,-0.56,pos_then_down,positive,down
2018-11-06,0.45,-0.34,0.11,pos_then_down,positive,down
2019-02-12,0.68,-2.91,-2.24,pos_then_down,positive,down
2019-04-30,0.72,-1.94,-1.23,pos_then_down,positive,down
2019-07-30,0.53,0.04,0.57,pos_then_up,positive,up
2019-10-29,-0.5,0.01,-0.49,neg_then_up,negative,up
2020-02-11,-0.43,-0.63,-1.05,neg_then_down,negative,down
2020-05-05,1.12,-4.93,-3.87,pos_then_down,positive,down
2020-07-28,0.77,0.05,0.81,pos_then_up,positive,up
2020-10-29,-1.08,2.14,1.04,neg_then_up,negative,up
2021-02-09,1.01,2.26,3.29,pos_then_up,positive,up
2021-05-04,0.88,-0.6,0.27,pos_then_down,positive,down
2021-07-29,-0.58,-0.53,-1.11,neg_then_down,negative,down
2021-11-02,1.47,-1.3,0.15,pos_then_down,positive,down
2022-02-10,-1.2,-0.83,-2.02,neg_then_down,negative,down
2022-05-03,1.61,1.39,3.03,pos_then_up,positive,up
2022-07-28,0.36,2.15,2.51,pos_then_up,positive,up
2022-11-02,-1.37,4.1,2.68,neg_then_up,negative,up
2023-02-15,-2.28,-1.38,-3.62,neg_then_down,negative,down
2023-05-04,1.53,0.61,2.15,pos_then_up,positive,up
2023-07-27,1.51,-0.65,0.86,pos_then_down,positive,down
2023-11-01,0.45,-0.1,0.36,pos_then_down,positive,down
2024-02-14,0.1,-0.81,-0.71,pos_then_down,positive,down
2024-04-30,-0.06,0.7,0.65,neg_then_up,negative,up
2024-08-08,-0.44,-0.57,-1.01,neg_then_down,negative,down
2024-10-30,-1.36,-0.72,-2.07,neg_then_down,negative,down
2025-02-12,1.11,1.68,2.81,pos_then_up,positive,up
2025-04-30,0.77,-0.97,-0.21,pos_then_down,positive,down
2025-08-04,-0.31,1.18,0.86,neg_then_up,negative,up
2025-11-04,-0.63,-1.73,-2.34,neg_then_down,negative,down
