date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-20,0.65,-0.62,0.03,pos_then_down,positive,down
2004-01-20,0.67,0.99,1.67,pos_then_up,positive,up
2004-04-19,0.29,-0.95,-0.67,pos_then_down,positive,down
2004-07-19,0.48,1.86,2.35,pos_then_up,positive,up
2004-10-18,0.92,-1.84,-0.93,pos_then_down,positive,down
2005-01-18,0.59,-0.4,0.18,pos_then_down,positive,down
2005-04-18,0.79,0.56,1.36,pos_then_up,positive,up
2005-07-18,0.05,-0.38,-0.32,pos_then_down,positive,down
2005-10-18,0.01,1.24,1.26,pos_then_up,positive,up
2006-01-24,-1.28,-0.34,-1.62,neg_then_down,negative,down
2006-04-06,-0.16,-0.27,-0.43,neg_then_down,negative,down
2006-07-07,0.51,-1.84,-1.34,pos_then_down,positive,down
2006-10-20,0.04,2.03,2.06,pos_then_up,positive,up
2007-01-30,-0.66,0.12,-0.54,neg_then_up,negative,up
2007-07-26,0.39,-0.39,0.0,pos_then_down,positive,down
2007-10-19,-1.47,1.09,-0.39,neg_then_up,negative,up
2008-01-29,-0.26,0.51,0.26,neg_then_up,negative,up
2008-04-24,-0.35,-1.31,-1.66,neg_then_down,negative,down
2008-07-24,0.68,-0.81,-0.14,pos_then_down,positive,down
2008-10-21,-1.32,-1.79,-3.08,neg_then_down,negative,down
2009-01-29,0.07,-4.95,-4.88,pos_then_down,positive,down
2009-04-09,-0.66,1.08,0.41,neg_then_up,negative,up
2009-07-23,-0.04,0.03,-0.01,neg_then_up,negative,up
2009-10-22,-0.47,-0.77,-1.23,neg_then_down,negative,down
2010-01-28,0.74,-1.06,-0.32,pos_then_down,positive,down
2010-04-07,-0.3,-0.55,-0.85,neg_then_down,negative,down
2010-06-28,-0.33,-0.29,-0.62,neg_then_down,negative,down
2010-10-28,-0.07,-0.93,-1.0,neg_then_down,negative,down
2011-01-25,0.09,1.12,1.21,pos_then_up,positive,up
2011-04-07,0.43,-0.4,0.03,pos_then_down,positive,down
2011-07-26,-0.27,-1.8,-2.06,neg_then_down,negative,down
2011-10-25,1.22,-1.23,-0.03,pos_then_down,positive,down
2012-01-26,-0.49,0.36,-0.14,neg_then_up,negative,up
2012-04-24,0.55,-0.2,0.35,pos_then_down,positive,down
2012-07-26,0.39,0.85,1.24,pos_then_up,positive,up
2012-10-23,0.34,-0.72,-0.38,pos_then_down,positive,down
2013-01-24,0.12,0.8,0.92,pos_then_up,positive,up
2013-04-25,0.09,-1.12,-1.04,pos_then_down,positive,down
2013-07-25,-0.33,0.64,0.31,neg_then_up,negative,up
2013-10-24,-0.36,1.11,0.75,neg_then_up,negative,up
2014-01-30,-1.13,1.26,0.11,neg_then_up,negative,up
2014-04-24,-0.11,0.04,-0.07,neg_then_up,negative,up
2014-07-24,0.37,-0.37,-0.01,pos_then_down,positive,down
2014-10-23,-0.03,2.48,2.44,neg_then_up,negative,up
2015-01-27,0.6,-0.41,0.19,pos_then_down,positive,down
2015-04-23,0.09,-0.51,-0.42,pos_then_down,positive,down
2015-07-23,-0.43,0.32,-0.11,neg_then_up,negative,up
2015-10-22,0.35,-0.48,-0.13,pos_then_down,positive,down
2016-01-26,0.12,0.41,0.53,pos_then_up,positive,up
2016-04-26,0.49,0.46,0.95,pos_then_up,positive,up
2016-07-26,-0.14,0.48,0.34,neg_then_up,negative,up
2016-10-25,-0.32,0.49,0.17,neg_then_up,negative,up
2017-01-24,0.64,-0.2,0.43,pos_then_down,positive,down
2017-04-25,0.29,-0.36,-0.07,pos_then_down,positive,down
2017-07-25,0.53,-0.71,-0.18,pos_then_down,positive,down
2017-10-24,0.15,1.14,1.29,pos_then_up,positive,up
2018-01-25,0.42,2.05,2.48,pos_then_up,positive,up
2018-04-24,-0.01,-1.12,-1.14,neg_then_down,negative,down
2018-07-24,-0.02,1.87,1.84,neg_then_up,negative,up
2018-10-23,-0.23,-3.94,-4.16,neg_then_down,negative,down
2019-01-29,0.64,0.53,1.18,pos_then_up,positive,up
2019-04-25,-0.1,0.6,0.5,neg_then_up,negative,up
2019-07-25,-0.28,-2.05,-2.33,neg_then_down,negative,down
2019-10-24,0.38,2.2,2.59,pos_then_up,positive,up
2020-01-28,0.47,-2.61,-2.16,pos_then_down,positive,down
2020-04-28,0.59,-1.44,-0.86,pos_then_down,positive,down
2020-07-28,0.75,-0.16,0.59,pos_then_down,positive,down
2020-10-27,-0.76,-0.8,-1.55,neg_then_down,negative,down
2021-01-26,0.77,5.27,6.08,pos_then_up,positive,up
2021-04-27,0.28,0.48,0.76,pos_then_up,positive,up
2021-07-27,-0.57,-0.52,-1.09,neg_then_down,negative,down
2021-10-26,0.06,-2.21,-2.15,pos_then_down,positive,down
2022-01-25,0.31,-2.86,-2.56,pos_then_down,positive,down
2022-04-26,0.39,-0.39,-0.01,pos_then_down,positive,down
2022-07-26,-0.8,-0.54,-1.34,neg_then_down,negative,down
2022-10-25,0.92,2.6,3.54,pos_then_up,positive,up
2023-01-24,-0.43,-1.37,-1.8,neg_then_down,negative,down
2023-04-25,-0.35,-1.04,-1.39,neg_then_down,negative,down
2023-07-25,0.01,2.55,2.56,pos_then_up,positive,up
2023-10-24,-0.8,-0.01,-0.81,neg_then_down,negative,down
2024-01-23,0.56,-3.52,-2.98,pos_then_down,positive,down
2024-04-30,1.65,0.35,2.0,pos_then_up,positive,up
2024-07-26,0.66,-2.22,-1.57,pos_then_down,positive,down
2024-10-22,-0.39,-2.52,-2.9,neg_then_down,negative,down
2025-01-21,0.67,0.84,1.52,pos_then_up,positive,up
2025-04-22,2.24,-2.38,-0.2,pos_then_down,positive,down
2025-07-18,-0.64,0.37,-0.27,neg_then_up,negative,up
2025-10-21,0.31,0.04,0.35,pos_then_up,positive,up
