date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-05-11,-0.52,-2.98,-2.47,neg_then_down,negative,down
2005-08-09,-0.82,-6.93,-6.17,neg_then_down,negative,down
2005-11-09,-1.17,4.97,6.21,neg_then_up,negative,up
2006-03-09,1.68,7.94,6.16,pos_then_up,positive,up
2006-05-09,4.72,14.08,8.95,pos_then_up,positive,up
2006-08-07,-0.27,-1.31,-1.04,neg_then_down,negative,down
2006-11-09,1.77,6.31,4.46,pos_then_up,positive,up
2007-02-27,0.26,0.75,0.49,pos_then_up,positive,up
2007-05-07,-1.36,-3.32,-1.98,neg_then_down,negative,down
2007-08-08,-1.39,1.43,2.85,neg_then_up,negative,up
2007-11-08,0.16,6.8,6.63,pos_then_up,positive,up
2008-02-28,-8.15,-6.0,2.34,neg_then_up,negative,up
2008-05-07,-18.96,-15.34,4.47,neg_then_up,negative,up
2008-08-07,-1.02,7.3,8.4,neg_then_up,negative,up
2008-11-06,8.65,8.21,-0.4,pos_then_down,positive,down
2009-02-26,1.55,7.32,5.68,pos_then_up,positive,up
2009-05-07,8.72,11.8,2.83,pos_then_up,positive,up
2009-08-06,12.58,17.63,4.49,pos_then_up,positive,up
2009-11-05,-9.82,-6.81,3.33,neg_then_up,negative,up
2010-02-25,0.89,2.9,1.99,pos_then_up,positive,up
2010-05-06,-16.93,-12.2,5.69,neg_then_up,negative,up
2010-08-05,5.66,7.66,1.89,pos_then_up,positive,up
2010-11-04,-0.59,0.82,1.42,neg_then_up,negative,up
2011-02-24,1.17,7.88,6.63,pos_then_up,positive,up
2011-05-05,4.94,4.52,-0.4,pos_then_down,positive,down
2011-08-04,1.44,8.4,6.85,pos_then_up,positive,up
2011-11-03,-2.36,6.02,8.59,neg_then_up,negative,up
2012-02-23,-0.97,2.75,3.75,neg_then_up,negative,up
2012-05-09,13.28,8.97,-3.8,pos_then_down,positive,down
2012-08-08,-7.32,-9.69,-2.56,neg_then_down,negative,down
2012-11-07,-10.41,-1.27,10.2,neg_then_up,negative,up
2013-02-27,6.09,1.69,-4.14,pos_then_down,positive,down
2013-05-08,-10.04,-5.2,5.39,neg_then_up,negative,up
2013-08-08,0.84,0.36,-0.47,pos_then_down,positive,down
2013-11-07,-2.1,-3.41,-1.34,neg_then_down,negative,down
2014-02-27,4.95,3.99,-0.91,pos_then_down,positive,down
2014-05-08,-3.58,1.32,5.08,neg_then_up,negative,up
2014-08-07,6.54,6.68,0.13,pos_then_up,positive,up
2014-11-06,3.27,7.87,4.45,pos_then_up,positive,up
2015-02-26,11.54,13.13,1.42,pos_then_up,positive,up
2015-05-07,-6.2,-10.47,-4.55,neg_then_down,negative,down
2015-08-06,2.91,2.97,0.05,pos_then_up,positive,up
2015-11-05,8.14,13.61,5.06,pos_then_up,positive,up
2016-02-25,-4.03,-1.74,2.38,neg_then_up,negative,up
2016-04-29,0.13,2.57,2.44,pos_then_up,positive,up
2016-08-04,2.47,2.48,0.01,pos_then_up,positive,up
2016-11-03,-6.9,-3.55,3.6,neg_then_up,negative,up
2017-03-01,13.9,12.76,-1.0,pos_then_down,positive,down
2017-05-04,2.24,3.31,1.04,pos_then_up,positive,up
2017-08-08,-2.07,-1.14,0.95,neg_then_up,negative,up
2017-11-08,-3.45,1.17,4.79,neg_then_up,negative,up
2018-02-28,-9.34,-14.44,-5.62,neg_then_down,negative,down
2018-05-08,-6.74,-7.48,-0.79,neg_then_down,negative,down
2018-08-08,1.4,2.66,1.25,pos_then_up,positive,up
2018-11-07,-11.18,-3.17,9.02,neg_then_up,negative,up
2019-02-27,7.63,8.67,0.96,pos_then_up,positive,up
2019-05-02,8.47,8.83,0.33,pos_then_up,positive,up
2019-08-07,-9.09,2.96,13.26,neg_then_up,negative,up
2019-11-07,5.05,2.68,-2.25,pos_then_down,positive,down
2020-02-27,1.69,-2.09,-3.72,pos_then_down,positive,down
2020-05-07,2.08,5.94,3.79,pos_then_up,positive,up
2020-08-04,5.15,6.52,1.3,pos_then_up,positive,up
2020-11-05,0.97,-0.5,-1.46,pos_then_down,positive,down
2021-02-25,2.66,2.8,0.14,pos_then_up,positive,up
2021-05-06,-6.34,-3.97,2.53,neg_then_up,negative,up
2021-08-05,2.23,5.46,3.16,pos_then_up,positive,up
2021-11-04,3.02,4.39,1.33,pos_then_up,positive,up
2022-02-24,3.3,5.25,1.89,pos_then_up,positive,up
2022-05-05,-0.59,4.37,4.99,neg_then_up,negative,up
2022-08-04,-4.93,-5.17,-0.25,neg_then_down,negative,down
2022-11-03,7.38,7.52,0.13,pos_then_up,positive,up
2023-02-28,-3.5,-2.53,1.01,neg_then_up,negative,up
2023-05-04,2.47,3.27,0.78,pos_then_up,positive,up
2023-08-03,-1.86,-4.95,-3.15,neg_then_down,negative,down
2023-11-02,8.7,5.51,-2.94,pos_then_down,positive,down
2024-02-28,6.0,5.82,-0.17,pos_then_down,positive,down
2024-05-02,2.4,3.02,0.6,pos_then_up,positive,up
2024-08-07,-11.18,-10.92,0.29,neg_then_up,negative,up
2024-11-07,-2.78,-1.08,1.75,neg_then_up,negative,up
2025-02-27,5.93,5.26,-0.64,pos_then_down,positive,down
2025-05-08,-2.21,1.43,3.72,neg_then_up,negative,up
2025-08-07,7.73,6.4,-1.24,pos_then_down,positive,down
2025-11-06,6.2,5.16,-0.98,pos_then_down,positive,down
