date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-19,0.42,0.02,-0.4,pos_then_down,positive,down
2005-01-26,-0.03,1.28,1.31,neg_then_up,negative,up
2005-04-20,2.39,4.08,1.65,pos_then_up,positive,up
2006-01-31,0.29,1.6,1.31,pos_then_up,positive,up
2006-04-20,0.63,0.71,0.09,pos_then_up,positive,up
2006-07-25,-0.12,-0.32,-0.2,neg_then_down,negative,down
2006-10-25,0.18,-0.65,-0.83,pos_then_down,positive,down
2007-04-19,0.91,0.22,-0.69,pos_then_down,positive,down
2007-07-18,0.64,0.47,-0.17,pos_then_down,positive,down
2007-10-17,0.27,-0.13,-0.39,pos_then_down,positive,down
2008-01-30,-0.55,-0.93,-0.38,neg_then_down,negative,down
2008-04-24,-3.24,-3.68,-0.46,neg_then_down,negative,down
2008-07-31,0.93,2.7,1.75,pos_then_up,positive,up
2008-10-23,-5.52,-1.84,3.89,neg_then_up,negative,up
2009-01-29,0.36,-1.78,-2.13,pos_then_down,positive,down
2009-04-22,0.42,0.3,-0.12,pos_then_down,positive,down
2009-07-22,0.4,0.64,0.23,pos_then_up,positive,up
2009-10-21,-0.22,-0.16,0.06,neg_then_up,negative,up
2010-01-28,0.35,-0.75,-1.1,pos_then_down,positive,down
2010-04-21,-0.28,-0.84,-0.56,neg_then_down,negative,down
2010-07-21,0.79,2.06,1.25,pos_then_up,positive,up
2010-10-20,0.04,0.12,0.08,pos_then_up,positive,up
2011-01-27,0.04,-0.54,-0.59,pos_then_down,positive,down
2011-04-20,0.5,-0.34,-0.84,pos_then_down,positive,down
2011-07-20,0.42,0.83,0.42,pos_then_up,positive,up
2011-10-27,-0.47,-0.36,0.11,neg_then_up,negative,up
2012-01-27,-0.43,0.89,1.32,neg_then_up,negative,up
2012-04-26,0.16,0.63,0.47,pos_then_up,positive,up
2012-07-24,0.25,-0.48,-0.73,pos_then_down,positive,down
2012-10-25,0.19,-1.06,-1.24,pos_then_down,positive,down
2013-01-31,0.74,1.54,0.8,pos_then_up,positive,up
2013-04-25,-0.14,0.36,0.5,neg_then_up,negative,up
2013-07-23,0.08,-1.17,-1.25,pos_then_down,positive,down
2013-10-24,0.39,0.81,0.42,pos_then_up,positive,up
2014-01-30,-0.99,-0.37,0.63,neg_then_up,negative,up
2014-07-22,0.14,-0.5,-0.64,pos_then_down,positive,down
2014-10-30,0.91,1.77,0.86,pos_then_up,positive,up
2015-01-30,0.28,1.32,1.03,pos_then_up,positive,up
2015-04-23,0.31,-0.53,-0.84,pos_then_down,positive,down
2015-07-29,-1.23,-0.37,0.87,neg_then_up,negative,up
2015-10-29,-0.54,-1.72,-1.19,neg_then_down,negative,down
2016-01-28,0.99,2.48,1.48,pos_then_up,positive,up
2016-04-28,0.14,0.84,0.69,pos_then_up,positive,up
2016-07-27,0.09,0.54,0.45,pos_then_up,positive,up
2016-10-27,0.67,2.25,1.57,pos_then_up,positive,up
2017-02-01,0.38,0.08,-0.29,pos_then_down,positive,down
2017-05-02,-0.18,-0.86,-0.68,neg_then_down,negative,down
2017-07-27,0.04,-9.49,-9.53,pos_then_down,positive,down
2017-10-26,-0.36,-1.32,-0.96,neg_then_down,negative,down
2018-02-01,-0.04,-0.76,-0.72,neg_then_down,negative,down
2018-04-26,-0.13,2.48,2.61,neg_then_up,negative,up
2018-07-26,0.46,3.21,2.73,pos_then_up,positive,up
2018-10-25,1.16,-0.11,-1.25,pos_then_down,positive,down
2019-01-31,0.36,-0.3,-0.67,pos_then_down,positive,down
2019-04-25,0.25,2.68,2.43,pos_then_up,positive,up
2019-07-30,-0.39,-2.95,-2.57,neg_then_down,negative,down
2019-10-31,-0.42,0.6,1.03,neg_then_up,negative,up
2020-01-30,0.52,-0.98,-1.49,pos_then_down,positive,down
2020-04-30,-0.56,-3.41,-2.87,neg_then_down,negative,down
2020-07-28,0.82,-2.09,-2.89,pos_then_down,positive,down
2020-10-30,1.14,1.11,-0.03,pos_then_down,positive,down
2021-01-28,-0.94,-3.68,-2.77,neg_then_down,negative,down
2021-04-29,1.37,2.47,1.08,pos_then_up,positive,up
2021-07-29,-0.23,-1.15,-0.93,neg_then_down,negative,down
2021-10-28,-0.65,-1.05,-0.41,neg_then_down,negative,down
2022-01-27,-0.77,0.28,1.06,neg_then_up,negative,up
2022-04-28,1.36,0.67,-0.68,pos_then_down,positive,down
2022-07-28,-0.66,-0.32,0.34,neg_then_up,negative,up
2022-10-27,1.06,1.96,0.89,pos_then_up,positive,up
2023-02-01,-0.38,-1.2,-0.82,neg_then_down,negative,down
2023-04-27,0.59,0.68,0.08,pos_then_up,positive,up
2023-08-01,-0.29,-1.35,-1.07,neg_then_down,negative,down
2023-10-26,1.17,0.1,-1.06,pos_then_down,positive,down
2024-02-01,-0.55,-0.86,-0.31,neg_then_down,negative,down
2024-04-25,-0.25,-0.37,-0.12,neg_then_down,negative,down
2024-07-31,1.22,2.06,0.83,pos_then_up,positive,up
2025-01-30,-0.47,1.34,1.81,neg_then_up,negative,up
2025-04-29,0.6,0.65,0.05,pos_then_up,positive,up
2025-07-30,-0.47,0.72,1.19,neg_then_up,negative,up
2025-10-30,0.05,-1.31,-1.36,pos_then_down,positive,down
