date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-21,-0.51,-2.24,-1.74,neg_then_down,negative,down
2005-01-25,0.16,0.71,0.55,pos_then_up,positive,up
2005-10-24,-0.93,0.07,1.01,neg_then_up,negative,up
2006-01-30,1.19,0.12,-1.06,pos_then_down,positive,down
2006-04-20,0.54,-0.74,-1.28,pos_then_down,positive,down
2006-07-24,0.85,0.82,-0.03,pos_then_down,positive,down
2006-10-20,-0.39,0.13,0.53,neg_then_up,negative,up
2007-01-29,0.55,-1.32,-1.86,pos_then_down,positive,down
2007-04-19,1.28,2.67,1.38,pos_then_up,positive,up
2007-07-23,1.18,-1.17,-2.32,pos_then_down,positive,down
2007-10-22,0.38,3.15,2.75,pos_then_up,positive,up
2008-02-12,0.82,2.24,1.41,pos_then_up,positive,up
2008-04-23,0.21,3.5,3.28,pos_then_up,positive,up
2008-07-21,-8.43,-11.32,-3.15,neg_then_down,negative,down
2008-10-21,-2.9,-6.54,-3.75,neg_then_down,negative,down
2009-02-03,0.03,-1.12,-1.16,pos_then_down,positive,down
2009-04-21,-0.59,-2.42,-1.84,neg_then_down,negative,down
2009-07-21,-0.27,-0.67,-0.41,neg_then_down,negative,down
2009-10-22,-0.33,-1.34,-1.01,neg_then_down,negative,down
2010-02-16,0.19,-0.85,-1.03,pos_then_down,positive,down
2010-05-04,-1.09,-0.61,0.48,neg_then_up,negative,up
2010-07-30,1.16,1.77,0.6,pos_then_up,positive,up
2010-10-29,0.36,-0.17,-0.52,pos_then_down,positive,down
2011-04-29,1.36,1.0,-0.36,pos_then_down,positive,down
2011-07-29,0.35,-2.02,-2.36,pos_then_down,positive,down
2011-10-28,-0.26,-1.74,-1.48,neg_then_down,negative,down
2012-02-02,0.16,-0.18,-0.34,pos_then_down,positive,down
2012-04-27,0.47,2.03,1.55,pos_then_up,positive,up
2012-07-27,-1.02,-1.37,-0.36,neg_then_down,negative,down
2012-10-26,0.59,-1.13,-1.7,pos_then_down,positive,down
2013-02-01,-1.05,-2.34,-1.3,neg_then_down,negative,down
2013-05-01,0.46,0.09,-0.37,pos_then_down,positive,down
2013-07-30,0.94,0.25,-0.68,pos_then_down,positive,down
2013-10-28,0.13,0.51,0.37,pos_then_up,positive,up
2014-02-05,-0.5,0.45,0.96,neg_then_up,negative,up
2014-04-29,-0.36,-0.27,0.09,neg_then_up,negative,up
2014-10-27,0.27,-1.06,-1.33,pos_then_down,positive,down
2015-02-04,0.37,0.2,-0.17,pos_then_down,positive,down
2015-04-28,-1.08,-0.5,0.59,neg_then_up,negative,up
2015-07-28,0.3,1.77,1.47,pos_then_up,positive,up
2015-10-27,0.97,3.05,2.06,pos_then_up,positive,up
2016-02-03,-0.7,-2.92,-2.23,neg_then_down,negative,down
2016-05-05,-0.5,-0.91,-0.41,neg_then_down,negative,down
2016-07-29,0.29,0.0,-0.29,pos_then_down,positive,down
2016-10-25,-0.34,-1.74,-1.41,neg_then_down,negative,down
2017-02-02,-0.5,0.17,0.67,neg_then_up,negative,up
2017-05-02,-0.32,1.48,1.81,neg_then_up,negative,up
2017-07-28,0.22,-0.36,-0.58,pos_then_down,positive,down
2017-10-27,-4.28,-6.06,-1.87,neg_then_down,negative,down
2018-02-02,-0.5,-3.69,-3.21,neg_then_down,negative,down
2018-05-01,-0.52,-1.17,-0.66,neg_then_down,negative,down
2018-07-27,0.47,2.08,1.6,pos_then_up,positive,up
2018-10-25,-0.27,0.63,0.9,neg_then_up,negative,up
2019-02-01,-0.65,0.55,1.21,neg_then_up,negative,up
2019-04-30,-0.03,0.01,0.04,neg_then_up,negative,up
2019-07-30,-0.44,-0.34,0.11,neg_then_up,negative,up
2019-10-29,-0.12,1.32,1.44,neg_then_up,negative,up
2020-02-05,0.22,-0.17,-0.4,pos_then_down,positive,down
2020-04-28,1.24,-0.51,-1.73,pos_then_down,positive,down
2020-07-31,2.38,2.87,0.47,pos_then_up,positive,up
2020-10-27,-1.1,-2.32,-1.23,neg_then_down,negative,down
2021-02-04,0.53,-0.3,-0.82,pos_then_down,positive,down
2021-04-29,-0.14,1.11,1.25,neg_then_up,negative,up
2021-07-29,0.25,-0.08,-0.32,pos_then_down,positive,down
2021-10-28,-0.07,1.73,1.8,neg_then_up,negative,up
2022-02-03,-0.63,-0.57,0.06,neg_then_up,negative,up
2022-04-21,-0.43,-1.9,-1.48,neg_then_down,negative,down
2022-07-28,0.16,-0.67,-0.82,pos_then_down,positive,down
2022-10-27,0.5,1.03,0.53,pos_then_up,positive,up
2023-02-02,-0.23,-0.5,-0.27,neg_then_down,negative,down
2023-04-27,-0.69,0.27,0.97,neg_then_up,negative,up
2023-08-01,0.71,0.4,-0.31,pos_then_down,positive,down
2023-10-26,-0.22,-2.59,-2.37,neg_then_down,negative,down
2024-02-01,0.26,0.02,-0.24,pos_then_down,positive,down
2024-04-25,-0.45,0.37,0.82,neg_then_up,negative,up
2024-07-30,0.65,-1.84,-2.47,pos_then_down,positive,down
2024-10-31,-0.53,-0.43,0.1,neg_then_up,negative,up
2025-02-04,-0.39,-1.18,-0.8,neg_then_down,negative,down
2025-04-24,0.41,3.63,3.21,pos_then_up,positive,up
2025-07-29,0.34,-1.06,-1.4,pos_then_down,positive,down
2025-10-30,-1.0,-0.35,0.66,neg_then_up,negative,up
