date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-23,-5.67,-7.96,-2.42,neg_then_down,negative,down
2004-01-22,0.96,1.68,0.71,pos_then_up,positive,up
2004-04-23,-0.33,-1.09,-0.77,neg_then_down,negative,down
2004-07-22,-2.14,-3.34,-1.23,neg_then_down,negative,down
2004-10-21,-0.91,-2.87,-1.98,neg_then_down,negative,down
2005-01-27,1.65,0.27,-1.36,pos_then_down,positive,down
2005-04-11,-0.2,1.4,1.61,neg_then_up,negative,up
2005-07-21,-1.7,-2.87,-1.19,neg_then_down,negative,down
2005-10-27,1.01,2.74,1.71,pos_then_up,positive,up
2006-01-26,2.75,4.87,2.06,pos_then_up,positive,up
2006-04-27,-11.08,-11.38,-0.33,neg_then_down,negative,down
2006-07-20,5.38,4.46,-0.87,pos_then_down,positive,down
2006-10-26,0.49,-0.04,-0.53,pos_then_down,positive,down
2007-01-25,2.53,0.49,-1.99,pos_then_down,positive,down
2007-04-26,3.68,3.51,-0.17,pos_then_down,positive,down
2007-07-19,-1.14,-1.11,0.03,neg_then_up,negative,up
2007-10-25,12.57,9.5,-2.72,pos_then_down,positive,down
2008-01-24,4.96,-0.93,-5.62,pos_then_down,positive,down
2008-04-24,-5.5,-6.2,-0.73,neg_then_down,negative,down
2008-07-17,-4.22,-6.03,-1.9,neg_then_down,negative,down
2008-10-23,-5.65,-1.61,4.27,neg_then_up,negative,up
2009-01-22,-0.82,0.53,1.36,neg_then_up,negative,up
2009-04-23,4.76,10.52,5.5,pos_then_up,positive,up
2009-07-23,-7.63,-8.26,-0.68,neg_then_down,negative,down
2009-10-23,0.39,2.36,1.96,pos_then_up,positive,up
2010-01-28,2.54,-3.36,-5.75,pos_then_down,positive,down
2010-04-22,-0.86,-1.37,-0.51,neg_then_down,negative,down
2010-10-28,3.31,1.48,-1.77,pos_then_down,positive,down
2011-01-27,0.1,-3.88,-3.98,pos_then_down,positive,down
2011-04-28,-0.6,-2.96,-2.37,neg_then_down,negative,down
2011-07-21,-0.89,1.59,2.49,neg_then_up,negative,up
2011-10-20,0.41,0.44,0.04,pos_then_up,positive,up
2012-01-19,2.49,5.65,3.09,pos_then_up,positive,up
2012-04-19,3.68,4.55,0.84,pos_then_up,positive,up
2012-07-19,1.08,-1.79,-2.84,pos_then_down,positive,down
2012-10-18,-1.53,-2.92,-1.41,neg_then_down,negative,down
2013-01-24,-0.18,0.9,1.09,neg_then_up,negative,up
2013-04-18,2.88,3.4,0.51,pos_then_up,positive,up
2013-07-18,-8.58,-11.4,-3.09,neg_then_down,negative,down
2013-10-24,6.41,5.96,-0.42,pos_then_down,positive,down
2014-01-23,3.85,2.08,-1.71,pos_then_down,positive,down
2014-04-24,1.08,0.13,-0.94,pos_then_down,positive,down
2014-07-22,1.38,0.09,-1.28,pos_then_down,positive,down
2014-10-23,4.02,2.47,-1.49,pos_then_down,positive,down
2015-01-26,-8.64,-9.25,-0.68,neg_then_down,negative,down
2015-04-23,5.35,10.45,4.84,pos_then_up,positive,up
2015-07-21,-3.89,-3.68,0.22,neg_then_up,negative,up
2015-10-22,8.89,10.08,1.09,pos_then_up,positive,up
2016-01-28,5.13,5.82,0.66,pos_then_up,positive,up
2016-04-21,-6.94,-7.17,-0.25,neg_then_down,negative,down
2016-07-19,5.76,5.31,-0.43,pos_then_down,positive,down
2016-10-20,5.29,4.21,-1.03,pos_then_down,positive,down
2017-01-26,1.74,2.35,0.6,pos_then_up,positive,up
2017-04-27,0.94,0.28,-0.65,pos_then_down,positive,down
2017-07-20,-1.04,-0.58,0.46,neg_then_up,negative,up
2017-10-26,7.12,6.41,-0.66,pos_then_down,positive,down
2018-01-31,-0.23,-0.79,-0.56,neg_then_down,negative,down
2018-04-26,3.54,1.66,-1.82,pos_then_down,positive,down
2018-07-19,3.52,1.79,-1.67,pos_then_down,positive,down
2018-10-24,4.13,5.84,1.64,pos_then_up,positive,up
2019-01-30,-2.43,-1.83,0.61,neg_then_up,negative,up
2019-04-24,4.04,3.31,-0.7,pos_then_down,positive,down
2019-07-18,2.79,0.15,-2.57,pos_then_down,positive,down
2019-10-23,1.57,1.97,0.39,pos_then_up,positive,up
2020-01-29,3.58,2.82,-0.73,pos_then_down,positive,down
2020-04-29,1.45,1.0,-0.44,pos_then_down,positive,down
2020-07-22,-2.15,-4.35,-2.24,neg_then_down,negative,down
2020-10-27,-2.62,-4.96,-2.4,neg_then_down,negative,down
2021-01-26,2.44,0.25,-2.14,pos_then_down,positive,down
2021-04-27,-2.25,-2.83,-0.59,neg_then_down,negative,down
2021-07-27,0.86,-0.11,-0.96,pos_then_down,positive,down
2021-10-26,1.9,4.21,2.27,pos_then_up,positive,up
2022-01-25,6.76,2.85,-3.66,pos_then_down,positive,down
2022-04-26,4.4,4.81,0.4,pos_then_up,positive,up
2022-07-26,3.68,6.69,2.9,pos_then_up,positive,up
2022-10-25,-7.78,-7.72,0.06,neg_then_up,negative,up
2023-01-24,-3.12,-0.59,2.61,neg_then_up,negative,up
2023-04-25,7.73,7.24,-0.45,pos_then_down,positive,down
2023-07-25,-2.72,-3.76,-1.07,neg_then_down,negative,down
2023-10-24,4.38,3.07,-1.26,pos_then_down,positive,down
2024-01-30,-0.4,-2.69,-2.3,neg_then_down,negative,down
2024-04-25,3.29,1.82,-1.42,pos_then_down,positive,down
2024-07-30,-0.57,-1.08,-0.51,neg_then_down,negative,down
2024-10-30,-3.97,-6.05,-2.17,neg_then_down,negative,down
2025-01-29,-5.33,-6.18,-0.9,neg_then_down,negative,down
2025-04-30,9.07,7.63,-1.32,pos_then_down,positive,down
2025-07-30,8.18,3.95,-3.91,pos_then_down,positive,down
2025-10-29,-2.04,-2.92,-0.89,neg_then_down,negative,down
