date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-14,1.18,1.55,0.36,pos_then_up,positive,up
2004-01-20,-0.41,-1.41,-1.0,neg_then_down,negative,down
2004-10-19,-5.03,-7.62,-2.73,neg_then_down,negative,down
2005-01-18,-3.9,-7.06,-3.28,neg_then_down,negative,down
2005-04-06,0.4,2.41,2.0,pos_then_up,positive,up
2005-07-19,-0.3,0.4,0.71,neg_then_up,negative,up
2005-10-18,4.11,4.21,0.1,pos_then_up,positive,up
2006-01-19,-3.94,-7.68,-3.89,neg_then_down,negative,down
2006-04-18,-6.15,-6.6,-0.49,neg_then_down,negative,down
2006-07-06,-1.0,-1.44,-0.45,neg_then_down,negative,down
2006-10-17,-5.79,-4.87,0.98,neg_then_up,negative,up
2007-01-05,0.37,-1.8,-2.16,pos_then_down,positive,down
2007-04-18,-0.27,-0.77,-0.5,neg_then_down,negative,down
2007-07-12,-0.61,-1.0,-0.39,neg_then_down,negative,down
2007-10-25,0.88,-0.31,-1.18,pos_then_down,positive,down
2008-01-23,1.3,1.2,-0.1,pos_then_down,positive,down
2008-04-24,0.32,-0.11,-0.43,pos_then_down,positive,down
2008-07-31,1.85,1.97,0.11,pos_then_up,positive,up
2008-10-30,-1.16,3.87,5.09,neg_then_up,negative,up
2009-01-21,-4.21,-1.77,2.55,neg_then_up,negative,up
2009-04-30,-0.54,0.18,0.73,neg_then_up,negative,up
2009-07-30,1.39,-0.42,-1.78,pos_then_down,positive,down
2009-10-29,1.72,-1.95,-3.6,pos_then_down,positive,down
2010-01-28,-0.77,-5.09,-4.35,neg_then_down,negative,down
2010-04-05,-0.98,1.68,2.68,neg_then_up,negative,up
2010-07-29,-0.13,-1.58,-1.45,neg_then_down,negative,down
2011-01-27,0.54,-1.61,-2.14,pos_then_down,positive,down
2011-04-14,0.2,-0.32,-0.52,pos_then_down,positive,down
2011-07-28,-1.08,-3.19,-2.14,neg_then_down,negative,down
2011-10-27,0.09,1.94,1.85,pos_then_up,positive,up
2012-01-25,-0.13,0.87,1.0,neg_then_up,negative,up
2012-04-25,-0.14,-0.58,-0.45,neg_then_down,negative,down
2012-07-25,0.82,-0.69,-1.49,pos_then_down,positive,down
