date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-09-22,-0.45,1.64,2.1,neg_then_up,negative,up
2004-12-21,-0.37,1.06,1.44,neg_then_up,negative,up
2005-03-17,0.02,1.24,1.23,pos_then_up,positive,up
2005-06-13,-0.18,-0.55,-0.37,neg_then_down,negative,down
2005-12-20,0.24,0.69,0.45,pos_then_up,positive,up
2006-03-22,0.19,-0.6,-0.79,pos_then_down,positive,down
2006-06-21,0.03,0.89,0.86,pos_then_up,positive,up
2006-12-19,0.72,-0.51,-1.23,pos_then_down,positive,down
2007-03-21,-0.63,-0.25,0.38,neg_then_up,negative,up
2007-06-20,0.62,-0.03,-0.65,pos_then_down,positive,down
2007-09-19,0.84,-3.58,-4.38,pos_then_down,positive,down
2007-12-19,0.94,2.58,1.62,pos_then_up,positive,up
2008-03-19,-0.14,14.32,14.47,neg_then_up,negative,up
2008-06-18,-0.15,-1.23,-1.08,neg_then_down,negative,down
2008-09-16,-20.45,-24.22,-4.73,neg_then_down,negative,down
2008-12-17,1.94,-1.64,-3.51,pos_then_down,positive,down
2009-04-22,1.2,-2.14,-3.3,pos_then_down,positive,down
2009-07-22,0.07,3.63,3.56,pos_then_up,positive,up
2009-10-21,0.21,4.87,4.66,pos_then_up,positive,up
2010-01-20,-1.11,-4.21,-3.14,neg_then_down,negative,down
2010-04-21,-1.7,0.69,2.44,neg_then_up,negative,up
2010-07-21,1.12,-0.04,-1.14,pos_then_down,positive,down
2010-10-20,-0.87,-3.07,-2.23,neg_then_down,negative,down
2011-01-20,1.14,3.41,2.25,pos_then_up,positive,up
2011-04-21,-0.72,-2.64,-1.94,neg_then_down,negative,down
2012-01-19,-2.08,0.6,2.74,neg_then_up,negative,up
2012-04-19,0.33,-3.27,-3.59,pos_then_down,positive,down
2012-07-19,-1.06,-3.55,-2.52,neg_then_down,negative,down
2012-10-18,-1.12,-1.46,-0.34,neg_then_down,negative,down
2013-01-18,-1.12,2.68,3.84,neg_then_up,negative,up
2013-04-18,0.3,1.33,1.03,pos_then_up,positive,up
2013-07-18,-0.11,-0.36,-0.25,neg_then_down,negative,down
2013-10-18,-0.51,-0.88,-0.37,neg_then_down,negative,down
2014-01-17,-0.57,-2.31,-1.75,neg_then_down,negative,down
2014-04-17,0.68,0.72,0.03,pos_then_up,positive,up
2014-07-17,0.46,1.05,0.59,pos_then_up,positive,up
2014-10-17,-0.27,0.3,0.57,neg_then_up,negative,up
2015-01-20,-0.17,-0.06,0.12,neg_then_up,negative,up
2015-07-20,-0.82,0.1,0.93,neg_then_up,negative,up
2015-10-19,-0.34,-0.22,0.12,neg_then_up,negative,up
2016-01-19,-2.13,-3.88,-1.79,neg_then_down,negative,down
2016-04-18,0.51,2.84,2.32,pos_then_up,positive,up
2016-07-20,-0.21,0.31,0.52,neg_then_up,negative,up
2016-10-19,-0.27,-0.09,0.18,neg_then_up,negative,up
2017-01-17,0.33,1.68,1.35,pos_then_up,positive,up
2017-04-19,1.36,1.09,-0.26,pos_then_down,positive,down
2017-07-19,-0.58,-0.24,0.35,neg_then_up,negative,up
2017-10-17,0.61,2.1,1.48,pos_then_up,positive,up
2018-01-18,-0.27,2.9,3.18,neg_then_up,negative,up
2018-04-18,0.19,2.7,2.51,pos_then_up,positive,up
2018-07-18,-0.12,-1.4,-1.29,neg_then_down,negative,down
2018-10-16,0.04,2.72,2.68,pos_then_up,positive,up
2019-01-17,1.15,2.73,1.56,pos_then_up,positive,up
2019-04-17,-0.97,-1.47,-0.5,neg_then_down,negative,down
2019-10-17,0.21,0.51,0.3,pos_then_up,positive,up
2020-01-16,-0.32,1.9,2.22,neg_then_up,negative,up
2020-04-16,3.1,1.9,-1.16,pos_then_down,positive,down
2020-07-16,0.27,-0.44,-0.7,pos_then_down,positive,down
2020-10-15,0.39,1.01,0.62,pos_then_up,positive,up
2021-01-20,0.21,-0.19,-0.4,pos_then_down,positive,down
2021-04-16,-0.37,1.83,2.21,neg_then_up,negative,up
2021-07-15,0.56,-1.49,-2.04,pos_then_down,positive,down
2021-10-14,1.44,1.12,-0.31,pos_then_down,positive,down
2022-01-19,0.91,4.28,3.34,pos_then_up,positive,up
2022-04-14,-0.44,2.03,2.48,neg_then_up,negative,up
2022-07-14,1.67,4.5,2.78,pos_then_up,positive,up
2022-10-14,2.01,2.44,0.43,pos_then_up,positive,up
2023-01-17,-0.29,-0.52,-0.23,neg_then_down,negative,down
2023-04-19,-0.66,-0.02,0.65,neg_then_up,negative,up
2023-07-18,-0.55,1.33,1.89,neg_then_up,negative,up
2023-10-18,-0.01,-2.62,-2.6,neg_then_down,negative,down
2024-01-16,-1.3,-1.81,-0.52,neg_then_down,negative,down
2024-04-16,1.11,1.05,-0.06,pos_then_down,positive,down
2024-07-16,-1.06,0.7,1.78,neg_then_up,negative,up
2024-10-16,0.22,-0.06,-0.28,pos_then_down,positive,down
2025-01-16,0.26,1.52,1.26,pos_then_up,positive,up
2025-04-11,2.18,0.92,-1.24,pos_then_down,positive,down
2025-07-16,-0.38,0.79,1.18,neg_then_up,negative,up
2025-10-15,0.27,-1.62,-1.88,pos_then_down,positive,down
