date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-12,-1.18,-2.21,-1.04,neg_then_down,negative,down
2005-01-11,0.14,-1.29,-1.43,pos_then_down,positive,down
2005-04-19,-0.47,-2.47,-2.01,neg_then_down,negative,down
2005-07-12,0.03,0.78,0.75,pos_then_up,positive,up
2005-10-12,-0.4,0.84,1.25,neg_then_up,negative,up
2006-01-11,-0.54,-1.79,-1.26,neg_then_down,negative,down
2006-04-18,-0.38,-0.81,-0.43,neg_then_down,negative,down
2006-07-12,-0.7,-0.24,0.47,neg_then_up,negative,up
2006-10-11,-0.18,-0.82,-0.65,neg_then_down,negative,down
2007-01-11,-0.16,-0.91,-0.75,neg_then_down,negative,down
2007-04-17,0.81,2.73,1.91,pos_then_up,positive,up
2007-07-12,-0.37,-0.02,0.35,neg_then_up,negative,up
2007-10-11,-0.39,-3.34,-2.96,neg_then_down,negative,down
2008-01-14,-1.05,-1.15,-0.1,neg_then_down,negative,down
2008-04-15,0.58,4.65,4.04,pos_then_up,positive,up
2008-07-14,-1.0,-3.2,-2.22,neg_then_down,negative,down
2008-10-21,-2.17,-6.69,-4.62,neg_then_down,negative,down
2009-01-22,-3.95,3.15,7.38,neg_then_up,negative,up
2009-04-21,-5.22,-4.15,1.12,neg_then_up,negative,up
2009-07-20,0.37,-3.9,-4.26,pos_then_down,positive,down
2009-10-20,-0.04,-1.56,-1.52,neg_then_down,negative,down
2010-01-20,0.14,1.16,1.02,pos_then_up,positive,up
2010-04-19,0.84,1.07,0.22,pos_then_up,positive,up
2010-07-21,1.46,3.81,2.31,pos_then_up,positive,up
2010-10-20,0.89,-1.5,-2.37,pos_then_down,positive,down
2011-01-14,-0.09,-0.21,-0.12,neg_then_down,negative,down
2011-04-18,0.46,-2.05,-2.5,pos_then_down,positive,down
2011-07-20,0.71,1.64,0.92,pos_then_up,positive,up
2011-10-19,1.17,0.95,-0.22,pos_then_down,positive,down
2012-01-17,0.2,0.84,0.64,pos_then_up,positive,up
2012-04-16,1.0,2.0,0.98,pos_then_up,positive,up
2012-10-17,-0.5,1.76,2.27,neg_then_up,negative,up
2013-01-16,0.2,0.42,0.21,pos_then_up,positive,up
2013-04-15,-0.27,0.12,0.4,neg_then_up,negative,up
2013-07-17,-0.47,1.15,1.63,neg_then_up,negative,up
2013-10-17,-0.14,1.94,2.08,neg_then_up,negative,up
2014-01-17,-1.48,-0.2,1.31,neg_then_up,negative,up
2014-04-14,0.25,-0.38,-0.63,pos_then_down,positive,down
2014-07-17,0.75,0.12,-0.63,pos_then_down,positive,down
2014-10-17,-0.39,0.2,0.6,neg_then_up,negative,up
2015-01-20,-0.32,-0.51,-0.2,neg_then_down,negative,down
2015-04-20,0.15,0.23,0.08,pos_then_up,positive,up
2015-07-16,-0.38,0.31,0.7,neg_then_up,negative,up
2015-10-19,0.11,1.83,1.73,pos_then_up,positive,up
2016-01-19,-2.1,-1.52,0.59,neg_then_up,negative,up
2016-04-18,-0.29,1.76,2.06,neg_then_up,negative,up
2016-07-20,-0.4,-0.95,-0.56,neg_then_down,negative,down
2016-10-19,-0.06,1.15,1.21,neg_then_up,negative,up
2017-01-19,0.25,1.08,0.83,pos_then_up,positive,up
2017-04-17,-0.34,-1.21,-0.87,neg_then_down,negative,down
2017-07-19,0.09,-1.32,-1.4,pos_then_down,positive,down
2017-10-18,-0.66,1.02,1.69,neg_then_up,negative,up
2018-01-18,0.69,1.41,0.72,pos_then_up,positive,up
2018-04-16,0.35,-2.28,-2.62,pos_then_down,positive,down
2018-07-18,-0.05,-0.98,-0.93,neg_then_down,negative,down
2018-10-17,0.46,-0.7,-1.15,pos_then_down,positive,down
2019-01-17,0.81,1.46,0.64,pos_then_up,positive,up
2019-04-15,0.23,2.79,2.55,pos_then_up,positive,up
2019-07-18,0.5,0.07,-0.43,pos_then_down,positive,down
2019-10-17,-0.18,0.08,0.26,neg_then_up,negative,up
2020-01-23,0.26,0.66,0.39,pos_then_up,positive,up
2020-04-20,-3.73,-0.92,2.92,neg_then_up,negative,up
2020-07-23,0.73,0.12,-0.61,pos_then_down,positive,down
2020-10-22,1.01,1.38,0.36,pos_then_up,positive,up
2021-01-21,-1.16,-0.93,0.23,neg_then_up,negative,up
2021-04-19,-1.14,-3.43,-2.31,neg_then_down,negative,down
2021-07-21,-0.78,-3.05,-2.29,neg_then_down,negative,down
2021-10-20,-0.22,-0.41,-0.19,neg_then_down,negative,down
2022-01-20,-0.6,-3.75,-3.17,neg_then_down,negative,down
2022-04-20,2.55,0.82,-1.69,pos_then_down,positive,down
2022-07-20,0.02,2.22,2.2,pos_then_up,positive,up
2022-10-19,-0.54,-1.02,-0.48,neg_then_down,negative,down
2023-01-19,1.02,-0.08,-1.09,pos_then_down,positive,down
2023-04-17,0.66,0.06,-0.6,pos_then_down,positive,down
2023-07-19,0.07,0.32,0.25,pos_then_up,positive,up
2023-10-18,0.07,-1.42,-1.49,pos_then_down,positive,down
2024-01-18,0.31,4.9,4.58,pos_then_up,positive,up
2024-04-15,-0.55,-2.52,-1.98,neg_then_down,negative,down
2024-07-18,0.62,-1.27,-1.88,pos_then_down,positive,down
2024-10-17,0.73,-0.66,-1.38,pos_then_down,positive,down
2025-01-16,0.02,0.34,0.32,pos_then_up,positive,up
2025-04-14,0.09,0.69,0.59,pos_then_up,positive,up
2025-07-16,0.18,1.6,1.42,pos_then_up,positive,up
2025-10-16,-0.97,1.14,2.14,neg_then_up,negative,up
