date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-11-04,1.1,1.3,0.2,pos_then_up,positive,up
2005-02-09,0.99,1.31,0.32,pos_then_up,positive,up
2005-05-03,1.08,0.92,-0.15,pos_then_down,positive,down
2005-07-28,3.93,5.89,1.88,pos_then_up,positive,up
2005-11-03,2.88,7.31,4.31,pos_then_up,positive,up
2006-05-03,2.76,0.4,-2.3,pos_then_down,positive,down
2006-07-27,0.38,1.57,1.18,pos_then_up,positive,up
2006-11-02,10.12,10.05,-0.07,pos_then_down,positive,down
2007-04-26,2.73,5.49,2.68,pos_then_up,positive,up
2007-07-26,1.41,0.23,-1.16,pos_then_down,positive,down
2007-11-01,9.41,7.05,-2.16,pos_then_down,positive,down
2008-02-07,7.65,5.16,-2.31,pos_then_down,positive,down
2008-04-24,2.55,0.09,-2.4,pos_then_down,positive,down
2008-07-24,3.81,10.22,6.18,pos_then_up,positive,up
2008-11-06,2.4,3.13,0.72,pos_then_up,positive,up
2009-02-05,-14.47,-9.33,6.01,neg_then_up,negative,up
2009-04-30,11.99,22.68,9.55,pos_then_up,positive,up
2009-07-23,-2.99,-1.88,1.15,neg_then_up,negative,up
2009-10-29,2.56,4.17,1.56,pos_then_up,positive,up
2010-02-04,-0.29,0.68,0.97,neg_then_up,negative,up
2010-04-29,6.38,4.72,-1.56,pos_then_down,positive,down
2010-07-22,0.21,-0.26,-0.46,pos_then_down,positive,down
2010-11-04,2.52,3.86,1.31,pos_then_up,positive,up
2011-02-10,0.83,4.87,4.01,pos_then_up,positive,up
2011-05-04,-1.14,-7.56,-6.49,neg_then_down,negative,down
2011-07-28,-0.04,0.25,0.29,neg_then_up,negative,up
2011-11-03,-0.37,6.23,6.62,neg_then_up,negative,up
2012-02-08,-0.39,0.87,1.27,neg_then_up,negative,up
2012-05-03,-8.29,-7.78,0.56,neg_then_up,negative,up
2012-07-26,-5.2,0.46,5.98,neg_then_up,negative,up
2012-11-01,-0.6,0.51,1.12,neg_then_up,negative,up
2013-02-06,0.54,2.33,1.78,pos_then_up,positive,up
2013-05-02,1.59,6.19,4.53,pos_then_up,positive,up
2013-07-25,-1.05,-1.57,-0.53,neg_then_down,negative,down
2013-11-07,-3.58,-2.44,1.18,neg_then_up,negative,up
2014-02-05,2.68,7.69,4.87,pos_then_up,positive,up
2014-05-08,-0.59,2.52,3.13,neg_then_up,negative,up
2014-07-24,-1.58,1.45,3.08,neg_then_up,negative,up
2014-11-06,3.18,5.34,2.09,pos_then_up,positive,up
2015-02-05,5.37,-0.76,-5.82,pos_then_down,positive,down
2015-05-07,5.08,1.37,-3.54,pos_then_down,positive,down
2015-07-30,-1.0,-0.82,0.19,neg_then_up,negative,up
2015-11-05,4.05,4.9,0.82,pos_then_up,positive,up
2016-02-04,-0.1,-0.73,-0.64,neg_then_down,negative,down
2016-05-05,-0.4,-1.87,-1.47,neg_then_down,negative,down
2016-07-28,0.92,3.4,2.46,pos_then_up,positive,up
2016-11-03,4.28,5.66,1.32,pos_then_up,positive,up
2017-02-02,3.29,6.69,3.3,pos_then_up,positive,up
2017-05-04,5.89,4.78,-1.05,pos_then_down,positive,down
2017-07-27,-1.21,-2.88,-1.69,neg_then_down,negative,down
2017-11-02,-3.34,-3.81,-0.49,neg_then_down,negative,down
2018-02-08,2.17,-0.1,-2.23,pos_then_down,positive,down
2018-05-03,0.9,-3.8,-4.66,pos_then_down,positive,down
2018-07-26,-0.97,-4.53,-3.6,neg_then_down,negative,down
2018-11-08,2.87,2.14,-0.71,pos_then_down,positive,down
2019-02-07,2.79,2.19,-0.59,pos_then_down,positive,down
2019-05-09,-1.0,-1.89,-0.9,neg_then_down,negative,down
2019-08-01,-4.0,-5.65,-1.72,neg_then_down,negative,down
2019-11-07,-5.66,-1.66,4.24,neg_then_up,negative,up
2020-02-06,-0.14,1.11,1.25,neg_then_up,negative,up
2020-04-13,0.89,3.04,2.13,pos_then_up,positive,up
2020-07-30,3.13,4.45,1.28,pos_then_up,positive,up
2020-11-05,9.24,7.01,-2.04,pos_then_down,positive,down
2021-02-04,-1.26,-1.79,-0.53,neg_then_down,negative,down
2021-05-06,-0.45,-1.54,-1.09,neg_then_down,negative,down
2021-07-29,-0.99,-2.51,-1.54,neg_then_down,negative,down
2021-11-04,1.82,2.3,0.47,pos_then_up,positive,up
2022-02-10,-1.43,-6.0,-4.64,neg_then_down,negative,down
2022-05-05,-1.11,0.35,1.48,neg_then_up,negative,up
2022-07-28,1.03,3.91,2.85,pos_then_up,positive,up
2022-11-03,-1.0,4.78,5.84,neg_then_up,negative,up
2023-02-09,0.15,-1.39,-1.54,pos_then_down,positive,down
2023-05-04,-0.01,-3.4,-3.39,neg_then_down,negative,down
2023-07-27,-4.84,-1.18,3.85,neg_then_up,negative,up
2023-11-09,-1.96,1.91,3.94,neg_then_up,negative,up
2024-01-10,-0.45,0.82,1.28,neg_then_up,negative,up
2024-05-09,7.7,17.04,8.67,pos_then_up,positive,up
2024-08-01,-3.45,-4.88,-1.48,neg_then_down,negative,down
2024-11-07,-4.87,-7.19,-2.44,neg_then_down,negative,down
2025-05-01,1.72,4.11,2.35,pos_then_up,positive,up
2025-08-01,0.19,2.89,2.7,pos_then_up,positive,up
2025-11-06,-1.33,-0.02,1.33,neg_then_up,negative,up
