date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-09-29,-0.25,-0.33,-0.58,neg_then_down,negative,down
2004-12-22,-1.52,0.85,-0.67,neg_then_up,negative,up
2005-03-29,3.26,0.29,3.56,pos_then_up,positive,up
2005-09-29,6.64,2.31,9.11,pos_then_up,positive,up
2005-12-21,-4.03,0.52,-3.54,neg_then_up,negative,up
2006-04-10,1.54,-0.26,1.27,pos_then_down,positive,down
2006-06-28,-1.94,-3.39,-5.26,neg_then_down,negative,down
2006-10-05,-8.72,-5.43,-13.68,neg_then_down,negative,down
2006-12-21,5.19,-1.76,3.34,pos_then_down,positive,down
2007-04-04,0.66,-5.27,-4.64,pos_then_down,positive,down
2007-06-28,0.64,0.32,0.97,pos_then_up,positive,up
2007-10-02,-5.68,-3.42,-8.91,neg_then_down,negative,down
2007-12-20,-3.16,-1.83,-4.92,neg_then_down,negative,down
2008-04-02,4.85,1.34,6.26,pos_then_up,positive,up
2008-06-26,-2.0,-10.95,-12.73,neg_then_down,negative,down
2008-10-01,-2.33,6.67,4.19,neg_then_up,negative,up
2008-12-23,-6.78,17.73,9.75,neg_then_up,negative,up
2009-04-02,-4.32,1.58,-2.81,neg_then_up,negative,up
2009-06-25,-4.72,0.99,-3.77,neg_then_up,negative,up
2009-12-22,3.61,2.46,6.16,pos_then_up,positive,up
2010-03-31,6.36,-7.8,-1.93,pos_then_down,positive,down
2010-06-28,-7.78,-6.17,-13.47,neg_then_down,negative,down
2010-10-07,1.27,5.42,6.75,pos_then_up,positive,up
2010-12-22,-2.42,-1.73,-4.11,neg_then_down,negative,down
2011-03-23,6.79,1.5,8.39,pos_then_up,positive,up
2011-06-23,-8.42,-6.61,-14.47,neg_then_down,negative,down
2011-09-29,-7.33,-7.35,-14.14,neg_then_down,negative,down
2011-12-21,3.07,12.26,15.7,pos_then_up,positive,up
2012-03-22,-2.53,-1.06,-3.56,neg_then_down,negative,down
2012-06-20,-3.27,-4.56,-7.68,neg_then_down,negative,down
2012-09-27,0.5,-1.16,-0.66,pos_then_down,positive,down
2012-12-20,-4.57,-2.47,-6.92,neg_then_down,negative,down
2013-03-21,7.5,2.97,10.69,pos_then_up,positive,up
2013-06-19,-3.51,0.45,-3.08,neg_then_up,negative,up
2013-10-10,-2.93,-5.87,-8.63,neg_then_down,negative,down
2014-01-07,11.37,-1.36,9.85,pos_then_down,positive,down
2014-04-03,3.29,-8.91,-5.92,pos_then_down,positive,down
2014-06-23,0.8,3.14,3.97,pos_then_up,positive,up
2014-09-25,7.16,-0.41,6.72,pos_then_down,positive,down
2015-01-06,-4.08,1.81,-2.34,neg_then_up,negative,up
2015-04-01,2.29,-3.68,-1.47,pos_then_down,positive,down
2015-06-25,-15.61,-3.01,-18.15,neg_then_down,negative,down
2015-10-01,3.05,4.53,7.72,pos_then_up,positive,up
2015-12-22,-6.09,4.23,-2.12,neg_then_up,negative,up
2016-03-30,-1.62,1.55,-0.1,neg_then_up,negative,up
2016-06-30,-8.58,-0.64,-9.16,neg_then_down,negative,down
2016-10-04,-1.4,0.85,-0.56,neg_then_up,negative,up
2016-12-21,11.32,1.22,12.68,pos_then_up,positive,up
2017-03-23,12.24,-4.31,7.4,pos_then_down,positive,down
2017-06-29,2.07,-7.04,-5.12,pos_then_down,positive,down
2017-09-26,6.09,2.29,8.51,pos_then_up,positive,up
2017-12-19,6.07,-1.93,4.02,pos_then_down,positive,down
2018-03-22,-2.09,-6.03,-7.99,neg_then_down,negative,down
2018-06-20,4.26,-3.29,0.83,pos_then_down,positive,down
2018-09-20,-3.6,0.77,-2.87,neg_then_up,negative,up
2018-12-18,-7.18,-0.79,-7.92,neg_then_down,negative,down
2019-03-20,3.91,5.49,9.62,pos_then_up,positive,up
2019-06-25,9.76,3.26,13.34,pos_then_up,positive,up
2019-09-26,-5.56,-5.86,-11.09,neg_then_down,negative,down
2019-12-18,3.71,-0.87,2.81,pos_then_down,positive,down
2020-03-25,5.65,-0.24,5.39,pos_then_down,positive,down
2020-06-29,5.35,-0.5,4.82,pos_then_down,positive,down
2020-09-29,-3.47,-4.07,-7.39,neg_then_down,negative,down
2021-01-07,4.34,-6.2,-2.14,pos_then_down,positive,down
2021-03-31,5.43,-0.63,4.76,pos_then_down,positive,down
2021-06-30,-3.22,-2.59,-5.73,neg_then_down,negative,down
2021-09-28,-2.65,0.67,-2.0,neg_then_up,negative,up
2021-12-20,8.48,1.9,10.54,pos_then_up,positive,up
2022-03-29,2.74,-6.1,-3.52,pos_then_down,positive,down
2022-06-30,-3.6,0.68,-2.95,neg_then_up,negative,up
2022-09-29,1.06,-0.87,0.18,pos_then_down,positive,down
2022-12-21,-3.3,-0.14,-3.44,neg_then_down,negative,down
2023-03-28,2.75,4.32,7.19,pos_then_up,positive,up
2023-06-28,1.15,-5.17,-4.09,pos_then_down,positive,down
2023-09-27,-3.28,-1.17,-4.41,neg_then_down,negative,down
2023-12-20,8.02,0.56,8.63,pos_then_up,positive,up
2024-03-20,17.79,-3.1,14.13,pos_then_down,positive,down
2024-06-26,-4.62,-2.62,-7.12,neg_then_down,negative,down
2024-09-25,18.1,-2.85,14.73,pos_then_down,positive,down
2024-12-18,-13.3,-3.32,-16.18,neg_then_down,negative,down
2025-03-20,-4.66,-3.54,-8.04,neg_then_down,negative,down
2025-06-25,1.79,-2.73,-0.98,pos_then_down,positive,down
2025-09-23,-0.8,-2.04,-2.82,neg_then_down,negative,down
