date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-01-25,0.86,2.22,1.35,pos_then_up,positive,up
2005-04-21,4.13,26.1,21.1,pos_then_up,positive,up
2005-07-28,5.63,8.11,2.35,pos_then_up,positive,up
2005-10-26,1.87,2.0,0.13,pos_then_up,positive,up
2006-01-30,-9.29,-10.26,-1.06,neg_then_down,negative,down
2006-04-21,-1.46,-3.64,-2.22,neg_then_down,negative,down
2006-07-20,0.18,-2.21,-2.39,pos_then_down,positive,down
2006-10-19,0.41,0.11,-0.3,pos_then_down,positive,down
2007-02-13,2.09,1.61,-0.47,pos_then_down,positive,down
2007-04-16,0.13,-0.1,-0.22,pos_then_down,positive,down
2007-07-19,-0.53,-0.27,0.27,neg_then_up,negative,up
2007-10-24,0.87,2.75,1.87,pos_then_up,positive,up
2008-01-31,-0.54,-0.95,-0.41,neg_then_down,negative,down
2008-05-08,-1.76,-2.15,-0.39,neg_then_down,negative,down
2008-08-06,-0.32,1.65,1.98,neg_then_up,negative,up
2008-11-06,-0.7,-4.27,-3.6,neg_then_down,negative,down
2009-02-26,-2.61,-4.39,-1.83,neg_then_down,negative,down
2009-05-07,0.2,1.7,1.49,pos_then_up,positive,up
2009-08-06,0.23,3.95,3.72,pos_then_up,positive,up
2009-11-05,-1.16,2.16,3.36,neg_then_up,negative,up
2010-02-08,1.33,0.83,-0.49,pos_then_down,positive,down
2010-04-30,1.33,0.52,-0.8,pos_then_down,positive,down
2010-07-27,1.8,-0.77,-2.52,pos_then_down,positive,down
2010-10-29,0.85,0.0,-0.85,pos_then_down,positive,down
2011-02-02,0.15,-1.4,-1.54,pos_then_down,positive,down
2011-04-20,0.15,0.81,0.66,pos_then_up,positive,up
2011-07-27,0.3,2.13,1.82,pos_then_up,positive,up
2011-10-26,3.54,5.96,2.34,pos_then_up,positive,up
2012-02-01,-0.93,-0.44,0.49,neg_then_up,negative,up
2012-04-25,-0.64,-0.2,0.44,neg_then_up,negative,up
2012-07-25,1.75,1.49,-0.26,pos_then_down,positive,down
2012-10-24,0.08,1.23,1.14,pos_then_up,positive,up
2013-01-31,1.06,1.13,0.07,pos_then_up,positive,up
2013-04-24,0.6,1.88,1.27,pos_then_up,positive,up
2013-07-24,-0.15,1.28,1.43,neg_then_up,negative,up
2014-02-05,0.58,-0.79,-1.36,pos_then_down,positive,down
2014-04-24,0.52,-0.61,-1.12,pos_then_down,positive,down
2014-07-24,-0.09,0.33,0.43,neg_then_up,negative,up
2014-10-24,-0.71,0.27,0.99,neg_then_up,negative,up
2015-01-29,-0.11,0.95,1.06,neg_then_up,negative,up
2015-04-23,-0.82,-2.39,-1.58,neg_then_down,negative,down
2015-07-23,0.23,0.7,0.46,pos_then_up,positive,up
2015-10-22,0.03,-0.64,-0.68,pos_then_down,positive,down
2016-01-28,0.95,5.28,4.29,pos_then_up,positive,up
2016-04-27,-0.84,-1.98,-1.15,neg_then_down,negative,down
2016-07-27,-0.03,0.04,0.07,neg_then_up,negative,up
2016-10-26,-0.22,-1.14,-0.93,neg_then_down,negative,down
2017-01-31,-0.1,0.3,0.4,neg_then_up,negative,up
2017-04-26,-0.17,-1.25,-1.08,neg_then_down,negative,down
2017-07-26,0.07,-0.16,-0.23,pos_then_down,positive,down
2017-10-25,0.23,-0.21,-0.44,pos_then_down,positive,down
2018-01-31,-0.74,0.57,1.32,neg_then_up,negative,up
2018-04-25,0.64,0.42,-0.22,pos_then_down,positive,down
2018-07-25,-0.04,-0.05,-0.01,neg_then_down,negative,down
2018-10-24,0.32,2.58,2.25,pos_then_up,positive,up
2019-01-30,-0.36,1.56,1.92,neg_then_up,negative,up
2019-04-24,-0.37,0.29,0.66,neg_then_up,negative,up
2019-07-24,0.01,-0.62,-0.63,pos_then_down,positive,down
2019-10-23,0.68,-0.32,-0.99,pos_then_down,positive,down
2020-01-29,-0.08,0.54,0.62,neg_then_up,negative,up
2020-04-22,2.24,-0.75,-2.92,pos_then_down,positive,down
2020-07-22,0.07,-2.01,-2.08,pos_then_down,positive,down
2020-10-21,0.6,-1.72,-2.31,pos_then_down,positive,down
2021-01-12,0.11,0.4,0.3,pos_then_up,positive,up
2021-04-21,0.67,0.25,-0.42,pos_then_down,positive,down
2021-07-21,0.69,-0.5,-1.18,pos_then_down,positive,down
2021-10-20,-0.12,-0.15,-0.04,neg_then_down,negative,down
2022-01-26,3.12,1.66,-1.41,pos_then_down,positive,down
2022-04-20,0.17,-1.95,-2.12,pos_then_down,positive,down
2022-07-20,0.33,2.93,2.59,pos_then_up,positive,up
2022-10-19,0.34,1.5,1.16,pos_then_up,positive,up
2023-01-25,-0.72,3.1,3.85,neg_then_up,negative,up
2023-04-19,0.03,-1.52,-1.55,pos_then_down,positive,down
2023-07-19,0.46,-1.63,-2.07,pos_then_down,positive,down
2023-10-18,0.19,-1.21,-1.4,pos_then_down,positive,down
2024-01-31,-0.4,-1.18,-0.78,neg_then_down,negative,down
2024-04-25,-1.08,-0.28,0.8,neg_then_up,negative,up
2024-07-25,0.51,-0.45,-0.95,pos_then_down,positive,down
2024-10-24,0.48,-0.73,-1.2,pos_then_down,positive,down
2025-01-29,0.38,0.67,0.29,pos_then_up,positive,up
2025-04-24,0.09,0.83,0.74,pos_then_up,positive,up
2025-07-24,0.82,1.43,0.6,pos_then_up,positive,up
2025-10-21,-0.28,-3.22,-2.95,neg_then_down,negative,down
