date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-08-25,1.2,-0.35,-1.54,pos_then_down,positive,down
2004-12-08,-1.49,-0.4,1.11,neg_then_up,negative,up
2005-02-22,1.26,0.0,-1.25,pos_then_down,positive,down
2005-05-25,1.4,-0.51,-1.88,pos_then_down,positive,down
2005-08-23,1.01,4.18,3.14,pos_then_up,positive,up
2005-12-13,4.92,9.1,3.98,pos_then_up,positive,up
2006-02-27,0.7,5.7,4.96,pos_then_up,positive,up
2006-05-26,-1.17,-7.1,-5.99,neg_then_down,negative,down
2006-08-23,-5.03,-4.11,0.97,neg_then_up,negative,up
2006-12-19,0.63,3.84,3.19,pos_then_up,positive,up
2007-02-27,-2.35,-6.68,-4.43,neg_then_down,negative,down
2007-05-09,-0.23,-1.13,-0.9,neg_then_down,negative,down
2007-08-23,6.64,6.87,0.22,pos_then_up,positive,up
2007-12-18,4.2,8.1,3.74,pos_then_up,positive,up
2008-02-21,4.52,0.48,-3.86,pos_then_down,positive,down
2008-05-21,11.84,14.05,1.97,pos_then_up,positive,up
2008-08-21,-20.77,-23.73,-3.73,neg_then_down,negative,down
2008-12-17,-6.49,-4.34,2.3,neg_then_up,negative,up
2009-02-19,-2.94,-7.01,-4.18,neg_then_down,negative,down
2009-05-21,13.67,6.92,-5.94,pos_then_down,positive,down
2009-08-20,10.19,6.74,-3.13,pos_then_down,positive,down
2009-12-16,-5.79,-6.33,-0.57,neg_then_down,negative,down
2010-02-22,11.09,8.78,-2.08,pos_then_down,positive,down
2010-05-20,3.29,8.39,4.93,pos_then_up,positive,up
2010-08-19,5.17,0.57,-4.37,pos_then_down,positive,down
2010-12-15,3.82,3.93,0.11,pos_then_up,positive,up
2011-02-22,14.09,12.39,-1.49,pos_then_down,positive,down
2011-05-19,-6.34,-6.89,-0.59,neg_then_down,negative,down
2011-08-18,-11.58,-4.8,7.67,neg_then_up,negative,up
2011-12-14,-1.35,-9.21,-7.97,neg_then_down,negative,down
2012-02-23,6.56,7.15,0.55,pos_then_up,positive,up
2012-05-21,10.2,8.73,-1.33,pos_then_down,positive,down
2012-08-20,10.0,11.04,0.94,pos_then_up,positive,up
2012-12-13,4.08,-1.4,-5.27,pos_then_down,positive,down
2013-02-21,-3.88,-7.06,-3.31,neg_then_down,negative,down
2013-05-23,-9.08,-7.03,2.26,neg_then_up,negative,up
2013-08-22,-3.08,-2.02,1.09,neg_then_up,negative,up
2013-12-11,-2.08,-0.26,1.85,neg_then_up,negative,up
2014-02-25,-0.58,0.75,1.33,neg_then_up,negative,up
2014-05-22,4.17,9.32,4.95,pos_then_up,positive,up
2014-08-21,2.74,0.98,-1.71,pos_then_down,positive,down
2014-12-11,-0.71,0.71,1.42,neg_then_up,negative,up
2015-02-24,-0.88,0.24,1.13,neg_then_up,negative,up
2015-05-19,-1.63,-0.91,0.73,neg_then_up,negative,up
2015-08-20,-5.32,-11.94,-7.0,neg_then_down,negative,down
2015-12-10,-6.55,-7.09,-0.58,neg_then_down,negative,down
2016-02-22,6.12,7.63,1.43,pos_then_up,positive,up
2016-05-23,9.92,15.0,4.62,pos_then_up,positive,up
2016-08-22,5.15,10.53,5.11,pos_then_up,positive,up
2016-12-13,6.03,5.86,-0.16,pos_then_down,positive,down
2017-02-21,-0.61,0.22,0.84,neg_then_up,negative,up
2017-05-22,-0.85,-7.13,-6.34,neg_then_down,negative,down
2017-08-21,-7.25,-10.89,-3.92,neg_then_down,negative,down
2017-12-13,10.31,13.36,2.76,pos_then_up,positive,up
2018-02-22,-3.15,-3.44,-0.29,neg_then_down,negative,down
2018-05-21,-6.1,-7.43,-1.42,neg_then_down,negative,down
2018-08-20,-7.5,-0.7,7.35,neg_then_up,negative,up
2018-12-12,5.8,6.33,0.5,pos_then_up,positive,up
2019-02-20,-2.75,-2.69,0.07,neg_then_up,negative,up
2019-05-20,-1.79,2.5,4.37,neg_then_up,negative,up
2019-08-20,-6.63,-1.79,5.19,neg_then_up,negative,up
2019-12-11,-1.38,-2.4,-1.03,neg_then_down,negative,down
2020-02-19,-0.98,0.36,1.35,neg_then_up,negative,up
2020-05-20,1.67,0.56,-1.09,pos_then_down,positive,down
2020-08-19,-5.31,-6.43,-1.19,neg_then_down,negative,down
2020-12-15,-1.47,-3.92,-2.49,neg_then_down,negative,down
2021-02-22,1.83,1.87,0.04,pos_then_up,positive,up
2021-05-24,8.16,7.09,-0.99,pos_then_down,positive,down
2021-08-30,1.31,-0.09,-1.38,pos_then_down,positive,down
2021-12-15,-2.65,-7.53,-5.02,neg_then_down,negative,down
2022-02-22,-4.72,-2.56,2.26,neg_then_up,negative,up
2022-05-23,4.31,2.41,-1.82,pos_then_down,positive,down
2022-08-22,1.17,2.52,1.34,pos_then_up,positive,up
2022-12-14,1.7,2.51,0.8,pos_then_up,positive,up
2023-02-21,1.71,4.31,2.56,pos_then_up,positive,up
2023-05-22,0.33,1.54,1.21,pos_then_up,positive,up
2023-08-21,-0.65,2.17,2.84,neg_then_up,negative,up
2023-12-13,1.26,3.86,2.56,pos_then_up,positive,up
2024-02-21,0.52,4.5,3.96,pos_then_up,positive,up
2024-05-20,-8.29,-9.41,-1.23,neg_then_down,negative,down
2024-08-21,2.48,3.33,0.83,pos_then_up,positive,up
2024-12-11,-6.22,-8.19,-2.11,neg_then_down,negative,down
2025-02-19,-2.74,0.33,3.16,neg_then_up,negative,up
2025-05-28,7.21,6.76,-0.42,pos_then_down,positive,down
2025-08-20,6.14,3.0,-2.96,pos_then_down,positive,down
