date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2007-10-30,0.34,2.17,1.82,pos_then_up,positive,up
2008-01-28,1.0,0.69,-0.3,pos_then_down,positive,down
2008-04-30,-0.33,1.9,2.24,neg_then_up,negative,up
2008-07-31,-0.14,-5.1,-4.97,neg_then_down,negative,down
2008-10-27,2.02,10.96,8.77,pos_then_up,positive,up
2009-01-27,1.63,1.38,-0.25,pos_then_down,positive,down
2009-04-28,-1.05,-0.76,0.3,neg_then_up,negative,up
2009-07-28,-0.75,0.28,1.04,neg_then_up,negative,up
2009-10-27,-0.49,-1.36,-0.87,neg_then_down,negative,down
2010-01-26,-0.14,1.1,1.24,neg_then_up,negative,up
2010-04-27,0.32,1.46,1.14,pos_then_up,positive,up
2010-07-23,-0.36,0.04,0.4,neg_then_up,negative,up
2010-10-29,0.35,-2.03,-2.37,pos_then_down,positive,down
2011-01-25,0.04,-0.66,-0.7,pos_then_down,positive,down
2011-04-29,0.35,0.05,-0.3,pos_then_down,positive,down
2011-07-27,-0.53,-0.72,-0.2,neg_then_down,negative,down
2011-11-04,-1.4,-0.73,0.68,neg_then_up,negative,up
2012-01-27,-0.37,0.02,0.39,neg_then_up,negative,up
2012-04-25,0.29,0.03,-0.26,pos_then_down,positive,down
2012-07-26,0.3,0.52,0.23,pos_then_up,positive,up
2012-10-24,0.33,0.3,-0.03,pos_then_down,positive,down
2013-01-29,-0.1,-0.84,-0.74,neg_then_down,negative,down
2013-04-30,-0.46,-0.85,-0.39,neg_then_down,negative,down
2013-07-30,0.16,0.15,-0.01,pos_then_down,positive,down
2013-11-01,0.58,-0.06,-0.63,pos_then_down,positive,down
2014-01-28,-0.36,-0.01,0.35,neg_then_up,negative,up
2014-04-30,0.37,0.12,-0.25,pos_then_down,positive,down
2014-07-29,-0.24,-2.09,-1.85,neg_then_down,negative,down
2014-10-31,0.1,0.59,0.49,pos_then_up,positive,up
2015-01-27,0.05,-1.17,-1.22,pos_then_down,positive,down
2015-04-29,-0.37,-1.72,-1.36,neg_then_down,negative,down
2015-08-03,0.01,-1.09,-1.1,pos_then_down,positive,down
2015-10-28,-0.29,-1.14,-0.85,neg_then_down,negative,down
2016-01-28,1.01,3.15,2.12,pos_then_up,positive,up
2016-04-28,-0.22,0.95,1.18,neg_then_up,negative,up
2016-07-27,-0.12,0.2,0.31,neg_then_up,negative,up
2016-10-31,0.15,-1.65,-1.79,pos_then_down,positive,down
2017-01-27,0.25,0.89,0.64,pos_then_up,positive,up
2017-04-21,-0.3,-0.2,0.1,neg_then_up,negative,up
2017-07-26,-0.37,-0.58,-0.21,neg_then_down,negative,down
2018-01-26,-0.31,-1.27,-0.97,neg_then_down,negative,down
2018-04-24,-0.38,-1.13,-0.76,neg_then_down,negative,down
2018-07-25,0.38,0.24,-0.14,pos_then_down,positive,down
2018-10-23,0.42,2.91,2.49,pos_then_up,positive,up
2019-01-25,1.1,-0.99,-2.07,pos_then_down,positive,down
2019-04-23,-0.02,0.14,0.16,neg_then_up,negative,up
2019-07-24,-0.91,-1.16,-0.25,neg_then_down,negative,down
2019-10-22,0.55,-0.1,-0.65,pos_then_down,positive,down
2020-01-24,-0.42,1.15,1.57,neg_then_up,negative,up
2020-04-22,-0.32,-2.44,-2.13,neg_then_down,negative,down
2020-07-24,0.27,-0.93,-1.2,pos_then_down,positive,down
2020-10-21,0.65,1.54,0.88,pos_then_up,positive,up
2021-01-26,-0.74,-5.91,-5.21,neg_then_down,negative,down
2021-04-21,0.29,0.45,0.15,pos_then_up,positive,up
2021-07-23,-0.53,-0.38,0.16,neg_then_up,negative,up
2021-10-20,0.35,-0.13,-0.48,pos_then_down,positive,down
2022-01-25,1.86,-3.28,-5.05,pos_then_down,positive,down
2022-04-21,-0.01,-2.93,-2.91,neg_then_down,negative,down
2022-07-22,-0.31,0.91,1.23,neg_then_up,negative,up
2022-10-28,-0.73,-1.94,-1.21,neg_then_down,negative,down
2023-01-25,-1.95,-0.25,1.73,neg_then_up,negative,up
2023-04-25,-1.34,-4.82,-3.53,neg_then_down,negative,down
2023-07-25,-0.73,-1.42,-0.69,neg_then_down,negative,down
2023-10-24,0.89,2.43,1.53,pos_then_up,positive,up
2024-01-25,0.6,0.86,0.26,pos_then_up,positive,up
2024-04-23,-0.44,0.54,0.99,neg_then_up,negative,up
2024-07-24,-0.29,-2.61,-2.33,neg_then_down,negative,down
2024-10-23,-1.13,-2.53,-1.42,neg_then_down,negative,down
2025-01-24,0.65,1.37,0.72,pos_then_up,positive,up
2025-04-23,-0.34,-1.37,-1.03,neg_then_down,negative,down
2025-07-23,0.15,-1.17,-1.32,pos_then_down,positive,down
2025-10-28,-0.32,-2.17,-1.85,neg_then_down,negative,down
