date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-01-31,0.26,0.35,0.09,pos_then_up,positive,up
2005-07-28,0.16,-0.33,-0.49,pos_then_down,positive,down
2005-11-04,0.04,-2.35,-2.4,pos_then_down,positive,down
2006-01-31,-0.39,-1.46,-1.08,neg_then_down,negative,down
2006-05-03,0.05,-0.05,-0.09,pos_then_down,positive,down
2006-08-02,-0.45,-0.76,-0.32,neg_then_down,negative,down
2006-11-02,-0.17,-0.84,-0.67,neg_then_down,negative,down
2007-05-03,0.64,-0.2,-0.83,pos_then_down,positive,down
2007-08-02,0.69,-6.6,-7.24,pos_then_down,positive,down
2007-11-02,-0.7,-1.99,-1.3,neg_then_down,negative,down
2008-01-30,-1.35,2.38,3.78,neg_then_up,negative,up
2008-08-05,-0.12,-0.24,-0.12,neg_then_down,negative,down
2008-11-04,-0.52,-2.0,-1.49,neg_then_down,negative,down
2009-02-04,-0.28,0.47,0.75,neg_then_up,negative,up
2009-05-01,-0.09,2.14,2.23,neg_then_up,negative,up
2009-08-04,0.22,-2.85,-3.06,pos_then_down,positive,down
2010-02-01,-0.13,2.15,2.29,neg_then_up,negative,up
2010-05-04,-0.72,-2.41,-1.7,neg_then_down,negative,down
2010-08-03,-0.18,0.84,1.03,neg_then_up,negative,up
2010-10-29,0.92,-0.81,-1.72,pos_then_down,positive,down
2011-02-01,-0.16,-2.03,-1.87,neg_then_down,negative,down
2011-05-03,0.41,0.97,0.56,pos_then_up,positive,up
2011-08-02,-0.1,1.03,1.13,neg_then_up,negative,up
2011-10-28,-0.71,-1.91,-1.21,neg_then_down,negative,down
2012-02-01,0.69,-1.55,-2.22,pos_then_down,positive,down
2012-05-01,-0.63,-1.14,-0.52,neg_then_down,negative,down
2012-07-31,0.16,-0.82,-0.98,pos_then_down,positive,down
2012-11-02,-0.59,-1.71,-1.12,neg_then_down,negative,down
2013-02-19,0.04,-0.81,-0.84,pos_then_down,positive,down
2013-04-30,0.1,-0.39,-0.49,pos_then_down,positive,down
2013-07-31,0.88,1.27,0.39,pos_then_up,positive,up
2013-10-31,0.06,0.63,0.57,pos_then_up,positive,up
2014-02-18,0.08,0.28,0.2,pos_then_up,positive,up
2014-04-30,0.28,1.93,1.65,pos_then_up,positive,up
2014-07-31,-0.11,-1.17,-1.06,neg_then_down,negative,down
2014-10-30,0.24,-0.73,-0.97,pos_then_down,positive,down
2015-02-18,0.23,-1.0,-1.23,pos_then_down,positive,down
2015-04-30,0.14,1.01,0.87,pos_then_up,positive,up
2015-08-03,-0.41,-1.46,-1.06,neg_then_down,negative,down
2016-02-18,-0.64,0.0,0.64,neg_then_up,negative,up
2016-05-03,-0.17,1.82,1.99,neg_then_up,negative,up
2016-08-02,-0.12,-2.31,-2.2,neg_then_down,negative,down
2017-02-22,0.56,2.59,2.02,pos_then_up,positive,up
2017-05-03,-0.04,1.12,1.17,neg_then_up,negative,up
2017-08-02,0.04,-0.64,-0.67,pos_then_down,positive,down
2017-11-01,0.26,1.35,1.09,pos_then_up,positive,up
2018-02-20,-0.3,-0.96,-0.65,neg_then_down,negative,down
2018-05-02,-0.35,0.75,1.11,neg_then_up,negative,up
2018-08-01,0.27,1.51,1.23,pos_then_up,positive,up
2018-11-01,0.39,0.24,-0.16,pos_then_down,positive,down
2019-02-20,-0.57,0.61,1.19,neg_then_up,negative,up
2019-05-01,0.18,0.66,0.47,pos_then_up,positive,up
2019-07-31,0.13,1.18,1.04,pos_then_up,positive,up
2019-10-30,0.76,1.93,1.15,pos_then_up,positive,up
2020-02-27,-0.92,-1.03,-0.11,neg_then_down,negative,down
2020-05-06,1.83,-0.09,-1.89,pos_then_down,positive,down
2020-08-05,-0.7,-0.08,0.62,neg_then_up,negative,up
2020-11-02,1.45,2.47,1.01,pos_then_up,positive,up
2021-02-17,0.09,0.75,0.66,pos_then_up,positive,up
2021-05-05,0.58,-0.08,-0.66,pos_then_down,positive,down
2021-08-04,-0.36,0.75,1.11,neg_then_up,negative,up
2021-11-03,0.28,-0.87,-1.14,pos_then_down,positive,down
2022-02-23,-0.6,0.43,1.03,neg_then_up,negative,up
2022-05-04,-0.44,-1.21,-0.78,neg_then_down,negative,down
2022-08-03,0.33,-1.39,-1.71,pos_then_down,positive,down
2022-11-07,0.25,2.3,2.05,pos_then_up,positive,up
2023-02-22,0.98,1.05,0.07,pos_then_up,positive,up
2023-05-03,0.43,0.89,0.46,pos_then_up,positive,up
2023-08-02,0.04,-2.74,-2.78,pos_then_down,positive,down
2023-11-01,-0.16,1.5,1.66,neg_then_up,negative,up
2024-02-21,-0.65,-0.8,-0.15,neg_then_down,negative,down
2024-05-08,0.24,0.63,0.38,pos_then_up,positive,up
2024-08-07,-0.68,-0.16,0.52,neg_then_up,negative,up
2024-10-30,-0.01,0.85,0.86,neg_then_up,negative,up
2025-02-12,0.52,2.06,1.54,pos_then_up,positive,up
2025-05-07,-0.15,-2.15,-2.0,neg_then_down,negative,down
2025-08-06,-0.6,1.27,1.88,neg_then_up,negative,up
2025-10-29,-0.07,-0.78,-0.71,neg_then_down,negative,down
