date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-12-16,3.61,3.03,6.75,pos_then_up,positive,up
2005-03-17,0.9,-2.52,-1.65,pos_then_down,positive,down
2005-06-27,0.09,2.5,2.6,pos_then_up,positive,up
2005-09-19,0.6,-4.71,-4.13,pos_then_down,positive,down
2005-12-20,-4.07,1.02,-3.09,neg_then_up,negative,up
2006-03-21,-0.06,2.26,2.2,neg_then_up,negative,up
2006-06-27,-2.55,-2.18,-4.68,neg_then_down,negative,down
2006-09-21,4.47,0.24,4.73,pos_then_up,positive,up
2006-12-20,-0.58,1.1,0.51,neg_then_up,negative,up
2007-03-22,-1.46,1.91,0.41,neg_then_up,negative,up
2007-06-26,5.44,2.71,8.31,pos_then_up,positive,up
2007-09-20,3.26,-4.92,-1.82,pos_then_down,positive,down
2007-12-19,3.15,0.3,3.46,pos_then_up,positive,up
2008-03-19,4.66,3.96,8.8,pos_then_up,positive,up
2008-06-25,-7.76,-2.22,-9.81,neg_then_down,negative,down
2008-09-24,5.31,4.15,9.68,pos_then_up,positive,up
2008-12-17,0.1,3.95,4.05,pos_then_up,positive,up
2009-03-18,-4.66,6.21,1.26,neg_then_up,negative,up
2009-06-24,-4.47,1.24,-3.28,neg_then_up,negative,up
2009-09-29,6.52,1.08,7.67,pos_then_up,positive,up
2009-12-17,1.82,0.03,1.85,pos_then_up,positive,up
2010-03-17,3.48,1.79,5.33,pos_then_up,positive,up
2010-06-23,-3.46,-0.54,-3.99,neg_then_down,negative,down
2010-09-23,4.74,-2.19,2.45,pos_then_down,positive,down
2010-12-21,-5.74,-0.06,-5.8,neg_then_down,negative,down
2011-03-17,-8.69,-0.51,-9.16,neg_then_down,negative,down
2011-06-27,4.47,5.43,10.14,pos_then_up,positive,up
2011-09-22,4.28,0.98,5.3,pos_then_up,positive,up
2011-12-20,2.35,0.54,2.91,pos_then_up,positive,up
2012-03-22,0.2,-3.41,-3.22,pos_then_down,positive,down
2012-06-28,-9.34,-0.07,-9.4,neg_then_down,negative,down
2012-09-27,-3.06,1.99,-1.14,neg_then_up,negative,up
2012-12-20,3.54,2.54,6.16,pos_then_up,positive,up
2013-03-21,8.21,2.64,11.06,pos_then_up,positive,up
2013-06-27,-0.61,2.81,2.18,neg_then_up,negative,up
2013-09-26,6.37,-1.58,4.69,pos_then_down,positive,down
2013-12-19,-1.05,-0.13,-1.18,neg_then_down,negative,down
2014-03-20,-2.74,-2.45,-5.12,neg_then_down,negative,down
2014-06-26,2.17,-1.08,1.07,pos_then_down,positive,down
2014-09-25,10.32,1.73,12.23,pos_then_up,positive,up
2014-12-18,-1.63,-0.69,-2.31,neg_then_down,negative,down
2015-03-19,4.38,-0.63,3.72,pos_then_down,positive,down
2015-06-25,2.99,1.24,4.27,pos_then_up,positive,up
2015-09-24,7.27,1.52,8.89,pos_then_up,positive,up
2015-12-22,3.33,-5.53,-2.38,pos_then_down,positive,down
2016-03-22,-5.5,1.81,-3.79,neg_then_up,negative,up
2016-06-28,2.66,1.16,3.84,pos_then_up,positive,up
2016-09-27,-1.34,-2.47,-3.78,neg_then_down,negative,down
2016-12-20,2.14,-1.13,0.98,pos_then_down,positive,down
2017-03-21,-5.6,-1.53,-7.05,neg_then_down,negative,down
2017-06-29,6.45,4.24,10.96,pos_then_up,positive,up
2017-09-26,-2.85,0.96,-1.92,neg_then_up,negative,up
2017-12-21,-5.51,3.42,-2.28,neg_then_up,negative,up
2018-03-22,3.54,-3.1,0.33,pos_then_down,positive,down
2018-06-28,9.85,1.17,11.13,pos_then_up,positive,up
2018-09-25,-2.57,1.32,-1.29,neg_then_up,negative,up
2018-12-20,8.53,-1.26,7.17,pos_then_down,positive,down
2019-03-21,-3.19,-3.53,-6.61,neg_then_down,negative,down
2019-06-27,0.39,-0.05,0.35,pos_then_down,positive,down
2019-09-24,5.28,-1.06,4.16,pos_then_down,positive,down
2019-12-19,-0.15,-1.03,-1.18,neg_then_down,negative,down
2020-03-24,10.76,-1.37,9.24,pos_then_down,positive,down
2020-06-25,-2.86,-4.9,-7.62,neg_then_down,negative,down
2020-09-22,11.42,-2.39,8.76,pos_then_down,positive,down
2020-12-18,5.49,-0.55,4.91,pos_then_down,positive,down
2021-03-18,-2.21,-1.79,-3.97,neg_then_down,negative,down
2021-06-24,14.08,1.27,15.53,pos_then_up,positive,up
2021-09-23,-5.35,-0.96,-6.26,neg_then_down,negative,down
2021-12-20,6.19,-0.04,6.15,pos_then_down,positive,down
2022-03-21,5.45,-3.05,2.23,pos_then_down,positive,down
2022-06-27,-2.08,-5.01,-6.99,neg_then_down,negative,down
2022-09-29,-12.62,-0.22,-12.81,neg_then_down,negative,down
2022-12-20,13.13,-0.84,12.18,pos_then_down,positive,down
2023-03-21,-1.55,-3.36,-4.86,neg_then_down,negative,down
2023-06-29,-1.57,-1.09,-2.65,neg_then_down,negative,down
2023-09-28,10.87,-3.77,6.68,pos_then_down,positive,down
2023-12-21,-11.65,-0.2,-11.83,neg_then_down,negative,down
2024-03-21,-6.91,0.01,-6.9,neg_then_up,negative,up
2024-06-27,-18.11,-2.28,-19.98,neg_then_down,negative,down
2024-10-01,-7.0,0.25,-6.77,neg_then_up,negative,up
2024-12-19,-1.48,1.29,-0.21,neg_then_up,negative,up
2025-03-20,-7.33,2.03,-5.46,neg_then_up,negative,up
2025-06-26,11.59,3.22,15.19,pos_then_up,positive,up
2025-09-30,6.63,-0.2,6.41,pos_then_down,positive,down
