date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-11-18,-6.53,-2.88,-9.22,neg_then_down,negative,down
2004-02-17,7.32,-1.13,6.11,pos_then_down,positive,down
2004-05-18,-2.17,-4.64,-6.71,neg_then_down,negative,down
2004-08-17,6.33,6.54,13.28,pos_then_up,positive,up
2004-11-16,13.91,3.75,18.19,pos_then_up,positive,up
2005-02-15,-12.72,5.8,-7.65,neg_then_up,negative,up
2005-05-24,-3.52,-1.4,-4.87,neg_then_down,negative,down
2005-08-04,-4.12,0.45,-3.69,neg_then_up,negative,up
2005-11-16,3.75,1.02,4.81,pos_then_up,positive,up
2006-02-15,9.18,-1.29,7.77,pos_then_down,positive,down
2006-05-24,-2.09,1.77,-0.36,neg_then_up,negative,up
2006-08-16,-0.59,0.43,-0.15,neg_then_up,negative,up
2006-11-15,-0.11,5.27,5.16,neg_then_up,negative,up
2007-02-14,0.31,4.59,4.92,pos_then_up,positive,up
2007-05-23,-16.0,-0.66,-16.55,neg_then_down,negative,down
2007-08-02,-14.42,-6.51,-19.99,neg_then_down,negative,down
2007-11-14,0.08,-1.61,-1.54,pos_then_down,positive,down
2008-02-13,-1.69,-4.24,-5.86,neg_then_down,negative,down
2008-05-21,-9.46,5.35,-4.61,neg_then_up,negative,up
2008-08-13,-5.33,1.32,-4.09,neg_then_up,negative,up
2008-11-12,9.72,6.49,16.84,pos_then_up,positive,up
2009-02-11,-7.24,16.31,7.89,neg_then_up,negative,up
2009-05-20,-3.29,6.62,3.11,neg_then_up,negative,up
2009-08-19,-4.06,-1.87,-5.85,neg_then_down,negative,down
2009-11-18,3.75,0.33,4.09,pos_then_up,positive,up
2010-02-17,-1.56,0.32,-1.25,neg_then_up,negative,up
2010-05-26,9.25,7.73,17.7,pos_then_up,positive,up
2010-08-18,-2.26,5.91,3.51,neg_then_up,negative,up
2010-11-17,6.76,1.03,7.86,pos_then_up,positive,up
2011-02-16,-7.29,0.92,-6.44,neg_then_up,negative,up
2011-05-25,2.82,3.99,6.92,pos_then_up,positive,up
2011-08-17,-14.28,0.28,-14.04,neg_then_up,negative,up
2011-11-16,-10.7,-1.79,-12.3,neg_then_down,negative,down
2012-02-15,6.54,0.59,7.17,pos_then_up,positive,up
2012-05-23,-13.33,1.19,-12.29,neg_then_up,negative,up
2012-08-15,4.06,-0.21,3.84,pos_then_down,positive,down
2012-11-14,11.43,-0.07,11.36,pos_then_down,positive,down
2013-02-13,-2.32,2.49,0.11,neg_then_up,negative,up
2013-05-21,6.14,-4.12,1.77,pos_then_down,positive,down
2013-08-14,-4.58,4.06,-0.71,neg_then_up,negative,up
2013-11-13,-0.39,-0.15,-0.53,neg_then_down,negative,down
2014-02-12,-5.17,1.76,-3.5,neg_then_up,negative,up
2014-05-21,0.99,3.82,4.84,pos_then_up,positive,up
2014-08-13,1.78,3.37,5.22,pos_then_up,positive,up
2014-11-12,-4.21,1.38,-2.88,neg_then_up,negative,up
2015-02-11,-8.95,1.85,-7.26,neg_then_up,negative,up
2015-05-20,-12.11,2.32,-10.08,neg_then_up,negative,up
2015-08-19,7.39,-3.75,3.36,pos_then_down,positive,down
2015-11-18,1.0,-1.21,-0.23,pos_then_down,positive,down
2016-02-17,-2.46,4.18,1.61,neg_then_up,negative,up
2016-05-25,-7.48,5.46,-2.43,neg_then_up,negative,up
2016-08-17,7.66,9.08,17.44,pos_then_up,positive,up
2016-11-16,10.71,-4.03,6.25,pos_then_down,positive,down
2017-02-15,4.8,-0.59,4.19,pos_then_down,positive,down
2017-05-24,1.01,2.5,3.54,pos_then_up,positive,up
2017-08-16,-4.81,-2.01,-6.72,neg_then_down,negative,down
2017-11-15,12.2,3.31,15.91,pos_then_up,positive,up
2018-02-14,-10.01,5.68,-4.9,neg_then_up,negative,up
2018-05-23,-4.18,6.38,1.93,neg_then_up,negative,up
2018-08-15,-3.61,0.03,-3.59,neg_then_up,negative,up
2018-11-14,-9.0,-3.0,-11.73,neg_then_down,negative,down
2019-02-13,-8.69,3.51,-5.48,neg_then_up,negative,up
2019-05-22,-9.02,1.0,-8.11,neg_then_up,negative,up
2019-08-01,-17.0,-3.88,-20.22,neg_then_down,negative,down
2019-11-13,-0.35,3.54,3.18,neg_then_up,negative,up
2020-02-12,-12.07,3.18,-9.27,neg_then_up,negative,up
2020-05-27,-3.28,-1.41,-4.64,neg_then_down,negative,down
2020-08-26,9.74,-5.2,4.03,pos_then_down,positive,down
2020-12-01,6.83,2.37,9.36,pos_then_up,positive,up
2021-02-24,-5.06,-9.92,-14.48,neg_then_down,negative,down
2021-06-02,-0.4,2.51,2.1,neg_then_up,negative,up
2021-08-25,6.36,-1.54,4.72,pos_then_down,positive,down
2021-11-30,0.7,-0.04,0.65,pos_then_down,positive,down
2022-02-23,-13.41,8.9,-5.71,neg_then_up,negative,up
2022-06-01,-0.43,0.97,0.54,neg_then_up,negative,up
2022-08-24,8.61,-0.67,7.88,pos_then_down,positive,down
2022-11-29,-9.65,4.24,-5.82,neg_then_up,negative,up
2023-02-22,-1.97,2.62,0.59,neg_then_up,negative,up
2023-05-31,5.95,2.36,8.46,pos_then_up,positive,up
2023-08-23,-1.63,0.33,-1.31,neg_then_up,negative,up
2023-11-28,11.24,3.05,14.63,pos_then_up,positive,up
2024-02-29,18.81,-0.54,18.17,pos_then_down,positive,down
2024-05-30,2.58,0.78,3.37,pos_then_up,positive,up
2024-08-28,-5.18,-4.7,-9.64,neg_then_down,negative,down
2024-11-21,6.65,-9.44,-3.43,pos_then_down,positive,down
2025-02-27,-15.98,0.48,-15.57,neg_then_up,negative,up
2025-05-29,-4.75,4.93,-0.05,neg_then_up,negative,up
2025-08-27,-3.14,7.93,4.54,neg_then_up,negative,up
