date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-20,0.64,0.35,0.99,pos_then_up,positive,up
2005-01-19,-0.22,-2.29,-2.51,neg_then_down,negative,down
2005-04-19,-0.02,-1.72,-1.74,neg_then_down,negative,down
2005-07-20,-0.1,-0.26,-0.36,neg_then_down,negative,down
2005-10-19,-0.27,-0.29,-0.55,neg_then_down,negative,down
2006-01-18,-0.23,-2.76,-2.99,neg_then_down,negative,down
2006-04-18,-0.68,0.98,0.3,neg_then_up,negative,up
2006-07-19,0.41,0.12,0.53,pos_then_up,positive,up
2006-10-18,-0.5,-3.04,-3.53,neg_then_down,negative,down
2007-01-17,0.37,0.33,0.7,pos_then_up,positive,up
2007-07-18,-0.46,-0.97,-1.43,neg_then_down,negative,down
2007-10-17,-0.53,1.39,0.85,neg_then_up,negative,up
2008-01-16,0.77,-2.18,-1.42,pos_then_down,positive,down
2008-04-15,2.67,3.46,6.23,pos_then_up,positive,up
2008-07-16,0.76,2.48,3.26,pos_then_up,positive,up
2008-10-22,1.49,-2.47,-1.02,pos_then_down,positive,down
2009-01-21,-1.93,-3.4,-5.27,neg_then_down,negative,down
2009-04-21,-2.88,-1.56,-4.4,neg_then_down,negative,down
2009-07-22,0.14,1.45,1.59,pos_then_up,positive,up
2009-10-21,-0.46,-0.02,-0.48,neg_then_down,negative,down
2010-01-20,-1.68,-1.83,-3.48,neg_then_down,negative,down
2010-04-20,-0.25,-0.91,-1.16,neg_then_down,negative,down
2010-07-21,1.36,-1.74,-0.4,pos_then_down,positive,down
2010-10-21,0.06,0.78,0.84,pos_then_up,positive,up
2011-01-19,-0.08,0.88,0.8,neg_then_up,negative,up
2011-04-19,1.13,-0.39,0.74,pos_then_down,positive,down
2011-07-20,0.23,3.52,3.76,pos_then_up,positive,up
2011-10-19,-0.05,1.85,1.79,neg_then_up,negative,up
2012-01-18,0.17,2.01,2.18,pos_then_up,positive,up
2012-04-17,-0.47,-0.21,-0.68,neg_then_down,negative,down
2012-07-18,0.15,-0.67,-0.52,pos_then_down,positive,down
2012-10-17,0.39,-0.17,0.23,pos_then_down,positive,down
2013-01-16,0.28,0.26,0.54,pos_then_up,positive,up
2013-04-16,-0.99,-0.26,-1.25,neg_then_down,negative,down
2013-07-17,-0.79,0.32,-0.47,neg_then_up,negative,up
2013-10-16,-0.15,2.82,2.67,neg_then_up,negative,up
2014-01-22,0.24,-0.25,-0.02,pos_then_down,positive,down
2014-04-15,1.51,-2.46,-0.99,pos_then_down,positive,down
2014-07-16,-0.51,0.3,-0.22,neg_then_up,negative,up
2014-10-22,0.42,1.13,1.55,pos_then_up,positive,up
2015-01-21,0.24,2.29,2.53,pos_then_up,positive,up
2015-04-21,0.51,2.2,2.73,pos_then_up,positive,up
2015-07-22,0.42,-0.38,0.04,pos_then_down,positive,down
2015-10-21,-0.03,2.36,2.33,neg_then_up,negative,up
2016-01-20,0.99,-4.88,-3.94,pos_then_down,positive,down
2016-04-19,-0.93,1.52,0.57,neg_then_up,negative,up
2016-07-20,0.86,-0.46,0.39,pos_then_down,positive,down
2016-10-19,0.01,-0.22,-0.21,pos_then_down,positive,down
2017-01-18,0.13,-0.69,-0.56,pos_then_down,positive,down
2017-04-25,-0.33,1.55,1.21,neg_then_up,negative,up
2017-07-19,0.02,-1.94,-1.92,pos_then_down,positive,down
2017-10-18,-0.1,0.52,0.42,neg_then_up,negative,up
2018-01-24,1.2,-2.26,-1.09,pos_then_down,positive,down
2018-04-17,1.48,-1.59,-0.13,pos_then_down,positive,down
2018-07-18,-0.01,-2.02,-2.03,neg_then_down,negative,down
2018-10-17,0.89,-2.04,-1.17,pos_then_down,positive,down
2019-01-23,-1.15,0.53,-0.62,neg_then_up,negative,up
2019-07-24,0.64,-1.07,-0.43,pos_then_down,positive,down
2019-10-23,0.33,-0.14,0.19,pos_then_down,positive,down
2020-01-22,-0.58,-0.36,-0.94,neg_then_down,negative,down
2020-04-21,2.65,-0.3,2.34,pos_then_down,positive,down
2020-07-22,-0.45,2.92,2.46,neg_then_up,negative,up
2020-10-21,0.05,-0.06,-0.01,pos_then_down,positive,down
2021-01-21,0.93,-0.53,0.4,pos_then_down,positive,down
2021-04-20,-0.82,0.23,-0.59,neg_then_up,negative,up
2021-07-21,-0.98,-1.48,-2.44,neg_then_down,negative,down
2021-10-20,0.63,-0.85,-0.22,pos_then_down,positive,down
2022-01-20,-0.87,-4.24,-5.07,neg_then_down,negative,down
2022-04-26,0.44,-0.6,-0.16,pos_then_down,positive,down
2022-07-20,-0.83,1.18,0.34,neg_then_up,negative,up
2022-10-19,-1.41,-1.61,-2.99,neg_then_down,negative,down
2023-01-19,0.45,2.74,3.21,pos_then_up,positive,up
2023-04-25,-1.2,-0.96,-2.15,neg_then_down,negative,down
2023-07-19,-0.41,-1.69,-2.09,neg_then_down,negative,down
2023-10-18,-0.08,-0.59,-0.67,neg_then_down,negative,down
2024-01-18,0.51,-0.22,0.28,pos_then_down,positive,down
2024-04-16,2.17,-0.07,2.1,pos_then_down,positive,down
2024-07-17,1.95,-1.83,0.08,pos_then_down,positive,down
2024-10-23,1.24,-0.95,0.27,pos_then_down,positive,down
2025-01-23,-0.32,1.58,1.26,neg_then_up,negative,up
2025-04-22,2.07,-0.67,1.39,pos_then_down,positive,down
2025-07-23,0.41,3.22,3.65,pos_then_up,positive,up
2025-10-22,0.53,-1.12,-0.59,pos_then_down,positive,down
